depth,sector,condition,rg_similarity,quantization_coherence,discrete_state_persistence,transition_boundary_stability,recursive_quantization_alignment,attractor_discretization_strength,discrete_regime_gain,classification
1,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
2,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
4,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
6,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
8,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
12,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
16,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
20,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
24,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
32,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
40,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
48,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
64,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
80,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
96,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
128,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
160,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
192,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
256,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
320,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
512,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
768,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
1024,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
1536,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
2048,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
3072,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
4096,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
6144,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
