depth,sector,condition,rg_similarity,localization_coherence,packet_persistence,bounded_transport_stability,recursive_identity_retention,interference_confinement_strength,localization_gain,classification
1,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
2,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
4,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
6,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
8,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
12,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
16,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
20,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
24,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
32,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
40,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
48,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
64,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
80,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
96,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
128,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
160,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
192,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
256,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
320,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
512,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
768,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
1024,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
1536,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
2048,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
3072,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
4096,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
6144,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
8192,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
12288,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
16384,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
24576,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
32768,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
65536,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
131072,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
262144,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
524288,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
1048576,Projection,LocalizedPacketEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
2097152,Projection,LocalizedPacketEmergence,0.96,0.9534,0.94,0.93,0.9179,0.91,0.93,LOCALIZATION-STABLE
4194304,Projection,LocalizedPacketEmergence,0.9537,0.91,0.8876,0.9057,0.8699,0.8558,0.883,LOCALIZATION-STABLE
8388608,Projection,LocalizedPacketEmergence,0.8503,0.8205,0.7979,0.794,0.7656,0.7828,0.7945,LOCALIZATION-BOUNDED
1,Projection,RecursiveLocalizationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
2,Projection,RecursiveLocalizationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
4,Projection,RecursiveLocalizationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
6,Projection,RecursiveLocalizationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
8,Projection,RecursiveLocalizationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
