depth,sector,condition,emergence_survival_fraction,operator_necessity_index,collapse_depth,hierarchy_preservation_rate,recursive_coherence_loss,phase_dependency_score,minimal_operator_sufficiency,efficacy,emergence_value,classification
1,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
2,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
4,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
6,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
8,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
12,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
16,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
20,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
24,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
32,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
40,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
48,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
64,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
80,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
96,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
128,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
160,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
192,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
256,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
320,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
512,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
768,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
1024,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
1536,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
2048,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
