depth,sector,condition,robustness_survival_fraction,perturbation_resilience_index,collapse_threshold_depth,hierarchy_resilience_rate,recursive_recovery_strength,coherence_retention,perturbation_drift_bound,efficacy,base_emergence,perturbed_emergence,classification
1,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
2,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
4,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
6,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
8,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
12,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
16,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
20,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
24,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
32,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
40,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
48,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
64,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
80,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
96,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
128,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
160,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
192,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
256,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
320,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
512,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
768,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
1024,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
1536,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
2048,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
