depth,sector,condition,compression_survival_fraction,emergence_reconstruction_fidelity,minimal_architecture_score,generalization_consistency,recursive_information_efficiency,compression_degradation_bound,structural_redundancy_index,compression_ratio,base_emergence,compressed_emergence,classification
1,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
2,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
4,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
6,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
8,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
12,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
16,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
20,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
24,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
32,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
40,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
48,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
64,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
80,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
96,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
128,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
160,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
192,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
256,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
320,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
512,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
768,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
1024,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
1536,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
2048,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
3072,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
4096,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
6144,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
8192,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
12288,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9567,0.9567,COMPRESSION-STABLE
16384,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9566,0.9566,COMPRESSION-STABLE
24576,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9566,0.9566,COMPRESSION-STABLE
32768,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9566,0.9566,COMPRESSION-STABLE
65536,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9565,0.9565,COMPRESSION-STABLE
131072,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9562,0.9562,COMPRESSION-STABLE
262144,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9557,0.9557,COMPRESSION-STABLE
524288,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9547,0.9547,COMPRESSION-STABLE
1048576,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9528,0.9528,COMPRESSION-STABLE
2097152,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9489,0.9489,COMPRESSION-STABLE
4194304,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9413,0.9413,COMPRESSION-STABLE
8388608,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9263,0.9263,COMPRESSION-STABLE
16777216,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8979,0.8979,COMPRESSION-STABLE
33554432,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8458,0.8458,COMPRESSION-STABLE
67108864,P-A-N,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.758,0.758,COMPRESSION-STABLE
1,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
