depth,sector,condition,formalism_invariance_score,emergence_translation_fidelity,hierarchy_preservation_consistency,cross_formalism_operator_alignment,universality_retention_index,abstraction_equivalence_strength,implementation_dependency_bound,formalism_effectiveness,base_emergence,formalism_emergence,classification
1,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
2,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
4,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
6,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
8,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
12,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
16,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
20,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
24,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
32,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
40,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
48,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
64,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
80,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
96,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
128,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
160,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
192,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
256,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
320,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
512,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
768,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
1024,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
1536,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
2048,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
3072,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
4096,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
6144,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
8192,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
12288,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,FORMALISM-STABLE
16384,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9566,0.9566,FORMALISM-STABLE
24576,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9566,0.9566,FORMALISM-STABLE
32768,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9566,0.9566,FORMALISM-STABLE
65536,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9565,0.9565,FORMALISM-STABLE
131072,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9562,0.9562,FORMALISM-STABLE
262144,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9557,0.9557,FORMALISM-STABLE
524288,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9547,0.9547,FORMALISM-STABLE
1048576,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9528,0.9528,FORMALISM-STABLE
2097152,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9489,0.9489,FORMALISM-STABLE
4194304,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9413,0.9413,FORMALISM-STABLE
8388608,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9263,0.9263,FORMALISM-STABLE
16777216,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8979,0.8979,FORMALISM-STABLE
33554432,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8458,0.8458,FORMALISM-STABLE
67108864,P-A-N,BaselineRecursiveOperator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.758,0.758,FORMALISM-STABLE
1,P-A-N,TensorNetworkPropagation,0.95,0.9493,1.0,1.0,0.9018,0.9018,0.05,0.95,0.9567,0.9107,FORMALISM-STABLE
2,P-A-N,TensorNetworkPropagation,0.9493,0.9486,1.0,1.0,0.9004,0.9004,0.0507,0.9493,0.9567,0.9101,FORMALISM-STABLE
4,P-A-N,TensorNetworkPropagation,0.9485,0.9478,1.0,1.0,0.8991,0.8991,0.0515,0.9485,0.9567,0.9094,FORMALISM-STABLE
6,P-A-N,TensorNetworkPropagation,0.9481,0.9474,1.0,1.0,0.8982,0.8982,0.0519,0.9481,0.9567,0.909,FORMALISM-STABLE
8,P-A-N,TensorNetworkPropagation,0.9478,0.9471,1.0,1.0,0.8977,0.8977,0.0522,0.9478,0.9567,0.9087,FORMALISM-STABLE
12,P-A-N,TensorNetworkPropagation,0.9474,0.9467,1.0,1.0,0.8969,0.8969,0.0526,0.9474,0.9567,0.9084,FORMALISM-STABLE
16,P-A-N,TensorNetworkPropagation,0.9471,0.9464,1.0,1.0,0.8963,0.8963,0.0529,0.9471,0.9567,0.9081,FORMALISM-STABLE
20,P-A-N,TensorNetworkPropagation,0.9468,0.9461,1.0,1.0,0.8958,0.8958,0.0532,0.9468,0.9567,0.9079,FORMALISM-STABLE
24,P-A-N,TensorNetworkPropagation,0.9466,0.9459,1.0,1.0,0.8955,0.8955,0.0534,0.9466,0.9567,0.9077,FORMALISM-STABLE
32,P-A-N,TensorNetworkPropagation,0.9463,0.9456,1.0,1.0,0.8949,0.8949,0.0537,0.9463,0.9567,0.9074,FORMALISM-STABLE
40,P-A-N,TensorNetworkPropagation,0.9461,0.9454,1.0,1.0,0.8945,0.8945,0.0539,0.9461,0.9567,0.9072,FORMALISM-STABLE
48,P-A-N,TensorNetworkPropagation,0.9459,0.9452,1.0,1.0,0.8941,0.8941,0.0541,0.9459,0.9567,0.907,FORMALISM-STABLE
64,P-A-N,TensorNetworkPropagation,0.9456,0.9449,1.0,1.0,0.8935,0.8935,0.0544,0.9456,0.9567,0.9068,FORMALISM-STABLE
