depth,sector,condition,artifact_reproduction_score,hierarchy_spoof_success,leakage_dependence_index,adversarial_false_positive_rate,universality_authenticity_score,recursive_bias_sensitivity,structural_nonrandomness_index,adversarial_emergence,authentic_emergence,classification
1,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
2,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
4,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
6,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
8,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
12,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
16,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
20,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
24,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
32,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
40,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
48,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
64,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
80,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
96,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
128,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
160,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
192,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
256,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
320,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
512,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
768,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
1024,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
1536,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
2048,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
3072,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
4096,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
6144,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
8192,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
12288,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9567,0.9567,ARTIFACT-STABLE
16384,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9855,0.0,1.0,0.0,1.0,0.9566,0.9566,ARTIFACT-STABLE
24576,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9854,0.0,1.0,0.0,1.0,0.9566,0.9566,ARTIFACT-STABLE
32768,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9854,0.0,1.0,0.0,1.0,0.9566,0.9566,ARTIFACT-STABLE
65536,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9853,0.0,1.0,0.0,1.0,0.9565,0.9565,ARTIFACT-STABLE
131072,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.985,0.0,1.0,0.0,1.0,0.9562,0.9562,ARTIFACT-STABLE
262144,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9845,0.0,1.0,0.0,1.0,0.9557,0.9557,ARTIFACT-STABLE
524288,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9834,0.0,1.0,0.0,1.0,0.9547,0.9547,ARTIFACT-STABLE
1048576,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9813,0.0,1.0,0.0,1.0,0.9528,0.9528,ARTIFACT-STABLE
2097152,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9771,0.0,1.0,0.0,1.0,0.9489,0.9489,ARTIFACT-STABLE
4194304,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9688,0.0,1.0,0.0,1.0,0.9413,0.9413,ARTIFACT-STABLE
8388608,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9525,0.0,1.0,0.0,1.0,0.9263,0.9263,ARTIFACT-STABLE
16777216,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.9216,0.0,1.0,0.0,1.0,0.8979,0.8979,ARTIFACT-STABLE
33554432,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.865,0.0,1.0,0.0,1.0,0.8458,0.8458,ARTIFACT-STABLE
67108864,P-A-N,AuthenticBaselineRecursion,1.0,1.0,0.7696,0.0,1.0,0.0,1.0,0.758,0.758,ARTIFACT-STABLE
1,P-A-N,RandomizedMetricScrambling,0.7424,1.0,0.7177,0.0,0.7424,0.2576,0.7424,0.7103,0.9567,ARTIFACT-BOUNDED
2,P-A-N,RandomizedMetricScrambling,0.8444,1.0,0.8237,1.0,0.8444,0.1556,0.8444,0.8078,0.9567,ARTIFACT-STABLE
4,P-A-N,RandomizedMetricScrambling,0.534,1.0,0.501,0.0,0.534,0.466,0.534,0.5109,0.9567,ARTIFACT-DEGRADING
6,P-A-N,RandomizedMetricScrambling,0.9,1.0,0.8816,1.0,0.9,0.1,0.9,0.8611,0.9567,ARTIFACT-STABLE
8,P-A-N,RandomizedMetricScrambling,0.3278,1.0,0.2865,0.0,0.3278,0.6722,0.3278,0.3136,0.9567,ARTIFACT-DEGRADING
12,P-A-N,RandomizedMetricScrambling,0.7311,1.0,0.7059,0.0,0.7311,0.2689,0.7311,0.6994,0.9567,ARTIFACT-BOUNDED
