AdversarialHierarchyEngineering,0.7325,bounded
AntiCoherenceInjection,0.3925,projected
BandwidthNullification,0.9075,confirmed
DepthIncoherence,0.52,projected
DimensionalCollapse,0.45,projected
DisconnectedTopology,0.3725,projected
FormalismDegeneration,0.6375,bounded
FullNullEmergenceRegime,0.865,confirmed
InfiniteNoiseAsymptotics,0.4575,projected
MaximalStochasticInstability,0.7425,confirmed-partial
MemoryErasure,0.5775,projected
NonAssociativeCorruption,0.985,confirmed
OperatorDepletion,1.0,confirmed
RandomRecursiveReplacement,1.0,confirmed
RecursiveDiscontinuity,0.915,confirmed
