name,class,TRE_raw,TRE_norm,CSR,RBS,RTP,SRD,ADI,stability_score
EnergyMomentumConservation,positive,0.055825,-0.189003,0.757904,0.278211,0.128046,0.564023,1.0,1.036115
ChemicalEquilibriumNetwork,positive,0.101328,0.422121,0.790077,0.278148,0.282413,0.641206,1.0,1.068225
SuperconductorCoherence,positive,0.118459,0.652207,0.803387,0.30824,0.385628,0.692814,1.0,1.111627
DoubleSlitInterference,positive,0.101328,0.422121,0.790077,0.278148,0.282413,0.641206,1.0,1.068225
TurbulenceEnergyCascade,positive,0.118459,0.652207,0.803387,0.30824,0.385628,0.692814,1.0,1.111627
reaction_diffusion,positive,0.094463,0.329927,0.550689,-0.206644,0.74713,0.873565,0.049501,0.344045
synchronized_oscillators,positive,0.0,-0.938763,0.528004,0.273416,0.427997,1.0,1.0,0.80142
recursive_market,positive,0.31784,3.329992,0.301572,-0.007598,0.733435,0.566641,0.914354,0.293974
predator_prey_cycles,positive,0.113987,0.592133,0.373153,-0.002989,0.340206,0.664949,1.0,0.370164
neural_cascade,positive,0.109945,0.537859,0.491485,-0.298989,0.67352,0.83676,0.123098,0.192496
avalanche_redistribution,positive,0.122151,0.70179,0.458589,-1.011786,0.424518,0.712259,0.418245,-0.553197
percolation_transport,positive,0.0,-0.938763,0.619902,-0.033525,0.122629,1.0,1.0,0.586377
CrystallizationFromLiquid,negative,0.093056,0.311029,0.768332,0.191687,0.75276,0.87638,1.0,0.960019
LaserOpticalCoherence,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978
FerromagneticMagnetization,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978
ElectronTransportMesoscopic,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978
LimitCycleOscillations,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978
HeatTransportPhononic,negative,0.093056,0.311029,0.768332,0.191687,0.75276,0.87638,1.0,0.960019
StrangeAttractorLorenz,negative,0.071821,0.025835,0.779535,0.189247,0.826124,0.913062,1.0,0.968782
AndersonLocalization,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978
PhaseEquilibriumMulticomponent,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978
PhotonicBandgapLocalization,negative,0.053696,-0.217604,0.700107,0.112605,0.877636,0.938818,1.0,0.812712
CriticalPhenomenaScaling,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978
ChargeConservationEM,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978
StandingWavePatterns,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978
random_walk,negative,0.007108,-0.843295,0.278302,0.178382,0.044643,0.840774,1.0,0.456684
static_equilibrium,negative,0.0,-0.938763,0.995792,0.983556,0.0,1.0,1.0,1.979348
memoryless_diffusion,negative,0.088577,0.250876,0.490594,-0.026583,0.693427,0.872261,0.143065,0.464011
white_noise,negative,0.082049,0.163194,0.545724,0.126362,0.730397,0.887665,1.0,0.672086
disconnected_flow,negative,0.270561,2.69501,0.66026,0.491778,0.53038,0.489873,1.0,1.152038
monotonic_decay,negative,0.089509,0.263389,0.715604,0.093523,0.766424,0.883212,0.635118,0.809127
