name,class,TRE_raw,TRE_norm,CSR,RBS,RTP,SRD,ADI,stability_score,curvature,high_curvature,transition_score
EnergyMomentumConservation,positive,0.055825,-0.189003,0.757904,0.278211,0.128046,0.564023,1.0,1.036115,0.0006541248476419117,0,0.0016074446157422725
ChemicalEquilibriumNetwork,positive,0.101328,0.422121,0.790077,0.278148,0.282413,0.641206,1.0,1.068225,0.0006541248476419117,0,0.0012042429539481465
SuperconductorCoherence,positive,0.118459,0.652207,0.803387,0.30824,0.385628,0.692814,1.0,1.111627,0.0006541248476419118,0,0.0009947063724447883
DoubleSlitInterference,positive,0.101328,0.422121,0.790077,0.278148,0.282413,0.641206,1.0,1.068225,0.0006541248476419117,0,0.0012042429539481472
TurbulenceEnergyCascade,positive,0.118459,0.652207,0.803387,0.30824,0.385628,0.692814,1.0,1.111627,0.0006541248476419423,0,0.0009947063724448336
reaction_diffusion,positive,0.094463,0.329927,0.550689,-0.206644,0.74713,0.873565,0.049501,0.344045,0.017449433046474488,1,0.05655178884047228
synchronized_oscillators,positive,0.0,-0.938763,0.528004,0.273416,0.427997,1.0,1.0,0.80142,0.0215163562303066,1,0.007491983217598325
recursive_market,positive,0.31784,3.329992,0.301572,-0.007598,0.733435,0.566641,0.914354,0.293974,0.01684705243310204,0,0.04698290883216699
predator_prey_cycles,positive,0.113987,0.592133,0.373153,-0.002989,0.340206,0.664949,1.0,0.370164,0.10714643532295272,1,0.26001503698835154
neural_cascade,positive,0.109945,0.537859,0.491485,-0.298989,0.67352,0.83676,0.123098,0.192496,0.017449433046474488,1,0.05691800182828959
avalanche_redistribution,positive,0.122151,0.70179,0.458589,-1.011786,0.424518,0.712259,0.418245,-0.553197,0.015655428582025212,0,0.06523234745474896
percolation_transport,positive,0.0,-0.938763,0.619902,-0.033525,0.122629,1.0,1.0,0.586377,0.03991308257654477,1,0.025301928772550296
CrystallizationFromLiquid,negative,0.093056,0.311029,0.768332,0.191687,0.75276,0.87638,1.0,0.960019,0.0004533281205783671,0,0.0003386019198068581
LaserOpticalCoherence,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0
FerromagneticMagnetization,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0
ElectronTransportMesoscopic,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0
LimitCycleOscillations,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0
HeatTransportPhononic,negative,0.093056,0.311029,0.768332,0.191687,0.75276,0.87638,1.0,0.960019,0.0004533281205783671,0,0.0003386019198068581
StrangeAttractorLorenz,negative,0.071821,0.025835,0.779535,0.189247,0.826124,0.913062,1.0,0.968782,0.0001415120688880081,0,0.000141535729275023
AndersonLocalization,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0
PhaseEquilibriumMulticomponent,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0
PhotonicBandgapLocalization,negative,0.053696,-0.217604,0.700107,0.112605,0.877636,0.938818,1.0,0.812712,0.0001415120688880081,0,0.0001474130417449994
CriticalPhenomenaScaling,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0
ChargeConservationEM,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0
StandingWavePatterns,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0
random_walk,negative,0.007108,-0.843295,0.278302,0.178382,0.044643,0.840774,1.0,0.456684,0.046929133183381364,1,0.10623693623150855
static_equilibrium,negative,0.0,-0.938763,0.995792,0.983556,0.0,1.0,1.0,1.979348,5.726364562419056e-05,0,0.00022324571807523172
memoryless_diffusion,negative,0.088577,0.250876,0.490594,-0.026583,0.693427,0.872261,0.143065,0.464011,0.017449433046474477,1,0.047716938204896496
white_noise,negative,0.082049,0.163194,0.545724,0.126362,0.730397,0.887665,1.0,0.672086,0.006869605591109999,0,0.005793663492096248
disconnected_flow,negative,0.270561,2.69501,0.66026,0.491778,0.53038,0.489873,1.0,1.152038,0.0006541248476418816,0,0.0013903459408708917
monotonic_decay,negative,0.089509,0.263389,0.715604,0.093523,0.766424,0.883212,0.635118,0.809127,0.11795241288621139,1,0.11446477711634777
