system,stability,betweenness,degree
EnergyMomentumConservation,1.036115,0.014367816091954023,0.16666666666666666
ChemicalEquilibriumNetwork,1.068225,0.03409961685823754,0.2
SuperconductorCoherence,1.111627,0.03409961685823754,0.2
DoubleSlitInterference,1.068225,0.03409961685823754,0.2
TurbulenceEnergyCascade,1.111627,0.0005747126436781609,0.16666666666666666
reaction_diffusion,0.344045,0.007239554825761724,0.13333333333333333
synchronized_oscillators,0.80142,0.027620872103630727,0.2
recursive_market,0.293974,0.3701149425287356,0.13333333333333333
predator_prey_cycles,0.370164,0.06077723043240287,0.16666666666666666
neural_cascade,0.192496,0.007239554825761724,0.13333333333333333
avalanche_redistribution,-0.553197,0.02835249042145594,0.13333333333333333
percolation_transport,0.586377,0.006458675424192666,0.13333333333333333
CrystallizationFromLiquid,0.960019,0.15879948914431674,0.23333333333333334
LaserOpticalCoherence,0.9978,0.051133004926108366,0.16666666666666666
FerromagneticMagnetization,0.9978,0.31454844006568133,0.36666666666666664
ElectronTransportMesoscopic,0.9978,0.007060755336617405,0.26666666666666666
LimitCycleOscillations,0.9978,0.007060755336617405,0.26666666666666666
HeatTransportPhononic,0.960019,0.15688742930122238,0.23333333333333334
StrangeAttractorLorenz,0.968782,0.02533661740558292,0.16666666666666666
AndersonLocalization,0.9978,0.007060755336617405,0.26666666666666666
PhaseEquilibriumMulticomponent,0.9978,0.0,0.13333333333333333
PhotonicBandgapLocalization,0.812712,0.10160554643313262,0.23333333333333334
CriticalPhenomenaScaling,0.9978,0.0,0.13333333333333333
ChargeConservationEM,0.9978,0.0,0.13333333333333333
StandingWavePatterns,0.9978,0.0,0.13333333333333333
random_walk,0.456684,0.016666666666666666,0.16666666666666666
static_equilibrium,1.979348,0.0,0.13333333333333333
memoryless_diffusion,0.464011,0.04774128808611567,0.16666666666666666
white_noise,0.672086,0.3848969166210544,0.3
disconnected_flow,1.152038,0.3310344827586207,0.16666666666666666
monotonic_decay,0.809127,0.1007553366174056,0.23333333333333334
