system,cluster,stability,boundary_margin,nearest_center_distance
EnergyMomentumConservation,1,1.036115,1.999103098916545,0.7574206982401618
ChemicalEquilibriumNetwork,1,1.068225,2.2269469732538147,0.29080979220802705
SuperconductorCoherence,1,1.111627,1.8946428790852543,0.5426270539320577
DoubleSlitInterference,1,1.068225,2.2269469732538147,0.29080979220802705
TurbulenceEnergyCascade,1,1.111627,1.8946428790852543,0.5426270539320577
reaction_diffusion,2,0.344045,3.0161442638138527,0.36118765661044483
synchronized_oscillators,3,0.80142,0.7719966884139653,1.3802107675900432
recursive_market,3,0.293974,1.1085669253422097,2.1847180171778615
predator_prey_cycles,3,0.370164,1.4457698905227898,1.174856925093848
neural_cascade,2,0.192496,2.3794978549713384,0.4657526292653125
avalanche_redistribution,5,-0.553197,3.291922202486009,0.0
percolation_transport,3,0.586377,0.9612693269990378,1.8241174625634358
CrystallizationFromLiquid,0,0.960019,1.4116207701810524,0.7485939209500976
LaserOpticalCoherence,0,0.9978,2.650240839772401,0.3370685885180533
FerromagneticMagnetization,0,0.9978,2.650240839772401,0.3370685885180533
ElectronTransportMesoscopic,0,0.9978,2.650240839772401,0.3370685885180533
LimitCycleOscillations,0,0.9978,2.650240839772401,0.3370685885180533
HeatTransportPhononic,0,0.960019,1.4116207701810524,0.7485939209500976
StrangeAttractorLorenz,0,0.968782,2.0586768303384244,0.4271483311306672
AndersonLocalization,0,0.9978,2.650240839772401,0.3370685885180533
PhaseEquilibriumMulticomponent,0,0.9978,2.650240839772401,0.3370685885180533
PhotonicBandgapLocalization,0,0.812712,1.7460686456348795,0.537079020389859
CriticalPhenomenaScaling,0,0.9978,2.650240839772401,0.3370685885180533
ChargeConservationEM,0,0.9978,2.650240839772401,0.3370685885180533
StandingWavePatterns,0,0.9978,2.650240839772401,0.3370685885180533
random_walk,3,0.456684,1.8965585701241081,1.5197830046552574
static_equilibrium,4,1.979348,3.716168081706775,0.0
memoryless_diffusion,2,0.464011,2.6515577895373887,0.5426693961194733
white_noise,3,0.672086,0.26895887986448463,1.2858390212739905
disconnected_flow,1,1.152038,1.5488916088806568,1.3503580696892516
monotonic_decay,0,0.809127,0.9328723473231786,1.4629301893904707
