system_a,system_b,consensus,stability_diff
EnergyMomentumConservation,ChemicalEquilibriumNetwork,0.8076923076923077,0.03211000000000008
EnergyMomentumConservation,SuperconductorCoherence,0.8076923076923077,0.07551200000000002
EnergyMomentumConservation,DoubleSlitInterference,0.8076923076923077,0.03211000000000008
EnergyMomentumConservation,TurbulenceEnergyCascade,0.8076923076923077,0.07551200000000002
ChemicalEquilibriumNetwork,SuperconductorCoherence,1.0,0.04340199999999994
ChemicalEquilibriumNetwork,DoubleSlitInterference,1.0,0.0
ChemicalEquilibriumNetwork,TurbulenceEnergyCascade,1.0,0.04340199999999994
SuperconductorCoherence,DoubleSlitInterference,1.0,0.04340199999999994
SuperconductorCoherence,TurbulenceEnergyCascade,1.0,0.0
DoubleSlitInterference,TurbulenceEnergyCascade,1.0,0.04340199999999994
reaction_diffusion,neural_cascade,1.0,0.151549
reaction_diffusion,memoryless_diffusion,0.9615384615384616,0.11996600000000002
neural_cascade,memoryless_diffusion,0.9615384615384616,0.271515
CrystallizationFromLiquid,HeatTransportPhononic,1.0,0.0
CrystallizationFromLiquid,StrangeAttractorLorenz,0.9615384615384616,0.008763000000000076
LaserOpticalCoherence,FerromagneticMagnetization,1.0,0.0
LaserOpticalCoherence,ElectronTransportMesoscopic,1.0,0.0
LaserOpticalCoherence,LimitCycleOscillations,1.0,0.0
LaserOpticalCoherence,AndersonLocalization,1.0,0.0
LaserOpticalCoherence,PhaseEquilibriumMulticomponent,1.0,0.0
LaserOpticalCoherence,PhotonicBandgapLocalization,0.8076923076923077,0.18508800000000003
LaserOpticalCoherence,CriticalPhenomenaScaling,1.0,0.0
LaserOpticalCoherence,ChargeConservationEM,1.0,0.0
LaserOpticalCoherence,StandingWavePatterns,1.0,0.0
FerromagneticMagnetization,ElectronTransportMesoscopic,1.0,0.0
FerromagneticMagnetization,LimitCycleOscillations,1.0,0.0
FerromagneticMagnetization,AndersonLocalization,1.0,0.0
FerromagneticMagnetization,PhaseEquilibriumMulticomponent,1.0,0.0
FerromagneticMagnetization,PhotonicBandgapLocalization,0.8076923076923077,0.18508800000000003
FerromagneticMagnetization,CriticalPhenomenaScaling,1.0,0.0
FerromagneticMagnetization,ChargeConservationEM,1.0,0.0
FerromagneticMagnetization,StandingWavePatterns,1.0,0.0
ElectronTransportMesoscopic,LimitCycleOscillations,1.0,0.0
ElectronTransportMesoscopic,AndersonLocalization,1.0,0.0
ElectronTransportMesoscopic,PhaseEquilibriumMulticomponent,1.0,0.0
ElectronTransportMesoscopic,PhotonicBandgapLocalization,0.8076923076923077,0.18508800000000003
ElectronTransportMesoscopic,CriticalPhenomenaScaling,1.0,0.0
ElectronTransportMesoscopic,ChargeConservationEM,1.0,0.0
ElectronTransportMesoscopic,StandingWavePatterns,1.0,0.0
LimitCycleOscillations,AndersonLocalization,1.0,0.0
LimitCycleOscillations,PhaseEquilibriumMulticomponent,1.0,0.0
LimitCycleOscillations,PhotonicBandgapLocalization,0.8076923076923077,0.18508800000000003
LimitCycleOscillations,CriticalPhenomenaScaling,1.0,0.0
LimitCycleOscillations,ChargeConservationEM,1.0,0.0
LimitCycleOscillations,StandingWavePatterns,1.0,0.0
HeatTransportPhononic,StrangeAttractorLorenz,0.9615384615384616,0.008763000000000076
StrangeAttractorLorenz,PhotonicBandgapLocalization,0.8076923076923077,0.15607000000000004
AndersonLocalization,PhaseEquilibriumMulticomponent,1.0,0.0
AndersonLocalization,PhotonicBandgapLocalization,0.8076923076923077,0.18508800000000003
AndersonLocalization,CriticalPhenomenaScaling,1.0,0.0
AndersonLocalization,ChargeConservationEM,1.0,0.0
AndersonLocalization,StandingWavePatterns,1.0,0.0
PhaseEquilibriumMulticomponent,PhotonicBandgapLocalization,0.8076923076923077,0.18508800000000003
PhaseEquilibriumMulticomponent,CriticalPhenomenaScaling,1.0,0.0
PhaseEquilibriumMulticomponent,ChargeConservationEM,1.0,0.0
PhaseEquilibriumMulticomponent,StandingWavePatterns,1.0,0.0
PhotonicBandgapLocalization,CriticalPhenomenaScaling,0.8076923076923077,0.18508800000000003
PhotonicBandgapLocalization,ChargeConservationEM,0.8076923076923077,0.18508800000000003
PhotonicBandgapLocalization,StandingWavePatterns,0.8076923076923077,0.18508800000000003
CriticalPhenomenaScaling,ChargeConservationEM,1.0,0.0
CriticalPhenomenaScaling,StandingWavePatterns,1.0,0.0
ChargeConservationEM,StandingWavePatterns,1.0,0.0
