system,stability,flexibility,consensus_strength
EnergyMomentumConservation,1.036115,0.7692307692307692,0.23589743589743592
ChemicalEquilibriumNetwork,1.068225,0.7692307692307692,0.24743589743589742
SuperconductorCoherence,1.111627,0.7692307692307692,0.24743589743589742
DoubleSlitInterference,1.068225,0.7692307692307692,0.24743589743589742
TurbulenceEnergyCascade,1.111627,0.7692307692307692,0.24743589743589742
reaction_diffusion,0.344045,0.6153846153846154,0.10512820512820516
synchronized_oscillators,0.80142,0.46153846153846156,0.17820512820512818
recursive_market,0.293974,0.7307692307692308,0.12307692307692308
predator_prey_cycles,0.370164,0.7307692307692308,0.12435897435897436
neural_cascade,0.192496,0.6153846153846154,0.10512820512820516
avalanche_redistribution,-0.553197,0.6538461538461539,0.043589743589743594
percolation_transport,0.586377,0.6153846153846154,0.16153846153846158
CrystallizationFromLiquid,0.960019,0.6153846153846154,0.3871794871794872
LaserOpticalCoherence,0.9978,0.6538461538461539,0.432051282051282
FerromagneticMagnetization,0.9978,0.6538461538461539,0.432051282051282
ElectronTransportMesoscopic,0.9978,0.6538461538461539,0.432051282051282
LimitCycleOscillations,0.9978,0.6538461538461539,0.432051282051282
HeatTransportPhononic,0.960019,0.6153846153846154,0.3871794871794871
StrangeAttractorLorenz,0.968782,0.6153846153846154,0.3923076923076922
AndersonLocalization,0.9978,0.6538461538461539,0.432051282051282
PhaseEquilibriumMulticomponent,0.9978,0.6538461538461539,0.432051282051282
PhotonicBandgapLocalization,0.812712,0.6538461538461539,0.3820512820512821
CriticalPhenomenaScaling,0.9978,0.6538461538461539,0.432051282051282
ChargeConservationEM,0.9978,0.6538461538461539,0.432051282051282
StandingWavePatterns,0.9978,0.6538461538461539,0.432051282051282
random_walk,0.456684,0.6153846153846154,0.11410256410256411
static_equilibrium,1.979348,0.6923076923076923,0.04230769230769231
memoryless_diffusion,0.464011,0.6153846153846154,0.11282051282051282
white_noise,0.672086,0.6923076923076923,0.19615384615384618
disconnected_flow,1.152038,0.7692307692307692,0.19487179487179482
monotonic_decay,0.809127,0.6923076923076923,0.3
