system,stability,mean_consensus,consensus_entropy,density
EnergyMomentumConservation,1.036115,0.25310173697270477,4.1539332833190254,0.18394673412734008
ChemicalEquilibriumNetwork,1.068225,0.2667493796526055,4.032388504970146,0.2094073240937619
SuperconductorCoherence,1.111627,0.2667493796526055,4.032388504970146,0.2094073240937619
DoubleSlitInterference,1.068225,0.2667493796526055,4.032388504970146,0.2094073240937619
TurbulenceEnergyCascade,1.111627,0.2667493796526055,4.032388504970146,0.2094073240937619
reaction_diffusion,0.344045,0.13399503722084366,2.864804996958453,0.15423625112432246
synchronized_oscillators,0.80142,0.20347394540942929,4.499642531842131,0.15350305258136127
recursive_market,0.293974,0.15384615384615383,4.094893413626704,0.1481332151685221
predator_prey_cycles,0.370164,0.15260545905707196,3.43929317299669,0.14400386504539328
neural_cascade,0.192496,0.13399503722084366,2.864804996958453,0.15423625112432246
avalanche_redistribution,-0.553197,0.06947890818858561,2.7395827506800634,0.1270306880704178
percolation_transport,0.586377,0.1861042183622829,4.4449128743479065,0.15270605195263035
CrystallizationFromLiquid,0.960019,0.4193548387096774,4.375220268153445,0.2557287470697554
LaserOpticalCoherence,0.9978,0.4565756823821339,4.2407271830347195,0.37066657878488074
FerromagneticMagnetization,0.9978,0.4565756823821339,4.2407271830347195,0.37066657878488074
ElectronTransportMesoscopic,0.9978,0.4565756823821339,4.2407271830347195,0.37066657878488074
LimitCycleOscillations,0.9978,0.4565756823821339,4.2407271830347195,0.37066657878488074
HeatTransportPhononic,0.960019,0.4193548387096774,4.375220268153445,0.2557287470697554
StrangeAttractorLorenz,0.968782,0.424317617866005,4.340520047094968,0.2643867636164849
AndersonLocalization,0.9978,0.4565756823821339,4.2407271830347195,0.37066657878488074
PhaseEquilibriumMulticomponent,0.9978,0.4565756823821339,4.2407271830347195,0.37066657878488074
PhotonicBandgapLocalization,0.812712,0.413151364764268,4.232674949357802,0.28293147030157023
CriticalPhenomenaScaling,0.9978,0.4565756823821339,4.2407271830347195,0.37066657878488074
ChargeConservationEM,0.9978,0.4565756823821339,4.2407271830347195,0.37066657878488074
StandingWavePatterns,0.9978,0.4565756823821339,4.2407271830347195,0.37066657878488074
random_walk,0.456684,0.14392059553349873,3.9539940429595815,0.14384414023143538
static_equilibrium,1.979348,0.07320099255583126,3.222196944720624,0.1255464852061231
memoryless_diffusion,0.464011,0.14143920595533496,3.0714174689514735,0.1524042690638735
white_noise,0.672086,0.2220843672456576,4.3367734179671125,0.14547466353852131
disconnected_flow,1.152038,0.2096774193548387,3.9618615309235414,0.16623695346506837
monotonic_decay,0.809127,0.33870967741935476,4.245047096720553,0.20003659247551792
