projection,corr,p,r2,mean_cluster_variance
CSR+ADI,0.913825430548665,7.144774980332341e-13,0.8350769175174533,0.035285187543861375
CSR+RBS,0.9691015011285811,3.5538975660923685e-19,0.939157719489669,0.012099366646645718
CSR+RTP,0.7941248467591552,9.713087779339766e-08,0.6306342722402516,0.04837284241011385
CSR+SRD,0.9097043278811997,1.368995993257229e-12,0.827561964165785,0.035435806548930145
ADI+RBS,0.9422512510371542,2.5934244505957468e-15,0.8878374200810821,0.011428541011284953
ADI+RTP,0.7580732247531423,7.832367098675192e-07,0.5746750140876273,0.08308735275211228
ADI+SRD,0.6388113044868533,0.0001098934754917115,0.40807988274019547,0.13989725430238573
RBS+RTP,0.9513457706322717,2.292431046570775e-16,0.9050587752999106,0.016307118567476846
RBS+SRD,0.8646311610874634,3.598900485298842e-10,0.7475870447234547,0.02843596428793127
RTP+SRD,0.32964216334957597,0.07014955049603053,0.10866395585778865,0.18085195789765204
CSR+ADI+RBS,0.9865863889990636,2.2102982387936133e-24,0.9733527029582116,0.004685558032729814
CSR+ADI+RTP,0.9010350141189688,4.885439904995242e-12,0.8118640966683698,0.04012096637386883
CSR+ADI+SRD,0.8365011996783838,4.597648958027255e-09,0.6997342570633749,0.039905889812678744
CSR+RBS+RTP,0.9715042948280682,1.115813020185708e-19,0.943820594869383,0.009828950347444946
CSR+RBS+SRD,0.9696278960478053,2.779470197816687e-19,0.9401782567940937,0.008531930287457955
CSR+RTP+SRD,0.9169202200336098,4.290324883374609e-13,0.8407426899064838,0.03536737544877162
ADI+RBS+RTP,0.9125075461590845,8.826870124306394e-13,0.8326700217972738,0.020806489235941476
ADI+RBS+SRD,0.8727046703615989,1.5575054456519037e-10,0.7616134416709474,0.028045340977543992
ADI+RTP+SRD,0.6746309326170093,3.1531093475446994e-05,0.45512689524369576,0.13206160934126898
RBS+RTP+SRD,0.8494379363177932,1.5190081976212295e-09,0.7215448076558313,0.03524393854976731
CSR+ADI+RBS+RTP,0.9529857094490134,1.40920926856127e-16,0.9081817624140388,0.014142266878958159
CSR+ADI+RBS+SRD,0.9693877213670082,3.110968928119312e-19,0.9397125543371203,0.005682237766624583
CSR+ADI+RTP+SRD,0.9308170590079046,3.305446772484793e-14,0.8664203973401248,0.029072677369540136
CSR+RBS+RTP+SRD,0.9696278960478053,2.779470197816687e-19,0.9401782567940937,0.008531930287457955
ADI+RBS+RTP+SRD,0.892526683728178,1.5269830665168712e-11,0.7966038811668192,0.025196904974502016
CSR+ADI+RBS+RTP+SRD,0.9734042240370472,4.152869402954015e-20,0.9475157833731661,0.008079530863957955
