system,cluster,stability,assigned_energy,alt_energy_gap,susceptibility
EnergyMomentumConservation,0,1.036115,0.14796830528036156,0.8683746771740863,1.1515753219323834
ChemicalEquilibriumNetwork,0,1.068225,0.13412935353781036,1.0425022776280357,0.9592295980836227
SuperconductorCoherence,0,1.111627,0.2625883276110804,1.030553371789361,0.9703515189244125
DoubleSlitInterference,0,1.068225,0.13412935353781036,1.0425022776280357,0.9592295980836227
TurbulenceEnergyCascade,0,1.111627,0.2625883276110804,1.030553371789361,0.9703515189244125
reaction_diffusion,1,0.344045,0.32533942252373566,2.723232896674161,0.3672104703240081
synchronized_oscillators,4,0.80142,0.8168421064952663,0.6425556364795743,1.5562830468591513
recursive_market,2,0.293974,0.30975325467369386,1.6537739846614532,0.6046771835799122
predator_prey_cycles,2,0.370164,0.3997980812973769,1.1638769071857986,0.8591966509768645
neural_cascade,1,0.192496,0.42804947247853553,2.186704513594505,0.45730894891109536
avalanche_redistribution,3,-0.553197,0.0,3.0235336687981285,0.33073872455297676
percolation_transport,4,0.586377,0.5596096539064807,0.7656955204371473,1.3060004496678206
CrystallizationFromLiquid,0,0.960019,0.19189453736185316,0.759569685002043,1.3165331676765675
LaserOpticalCoherence,0,0.9978,0.11419361795414391,0.9378309655325011,1.0662890973567956
FerromagneticMagnetization,0,0.9978,0.11419361795414391,0.9378309655325011,1.0662890973567956
ElectronTransportMesoscopic,0,0.9978,0.11419361795414391,0.9378309655325011,1.0662890973567956
LimitCycleOscillations,0,0.9978,0.11419361795414391,0.9378309655325011,1.0662890973567956
HeatTransportPhononic,0,0.960019,0.19189453736185316,0.759569685002043,1.3165331676765675
StrangeAttractorLorenz,0,0.968782,0.1963439433866561,0.8153695139585713,1.22643630457651
AndersonLocalization,0,0.9978,0.11419361795414391,0.9378309655325011,1.0662890973567956
PhaseEquilibriumMulticomponent,0,0.9978,0.11419361795414391,0.9378309655325011,1.0662890973567956
PhotonicBandgapLocalization,4,0.812712,0.5363414310647981,0.10315369751206072,9.694178007580133
CriticalPhenomenaScaling,0,0.9978,0.11419361795414391,0.9378309655325011,1.0662890973567956
ChargeConservationEM,0,0.9978,0.11419361795414391,0.9378309655325011,1.0662890973567956
StandingWavePatterns,0,0.9978,0.11419361795414391,0.9378309655325011,1.0662890973567956
random_walk,2,0.456684,0.4837575814439082,1.6031039114452021,0.6237894930397899
static_equilibrium,5,1.979348,0.0,2.7946594872006565,0.3578252186911175
memoryless_diffusion,1,0.464011,0.5365194473820324,2.4046116156074917,0.41586740147221757
white_noise,4,0.672086,0.5268636883577674,0.8640756605055856,1.1573047227255084
disconnected_flow,0,1.152038,1.0709652613430367,0.238711896265124,4.189132701441317
monotonic_decay,4,0.809127,1.1845639535601205,0.25996201723679757,3.846701006278561
