system,stability,cluster,margin,locking,certainty,compactness,silhouette
EnergyMomentumConservation,1.036115,0,0.8683746771740863,0.7458268925703344,6.758203593149381,0.42435836064477567,0.7574191920086578
ChemicalEquilibriumNetwork,1.068225,0,1.0425022776280357,0.7953412421032029,7.4554890415036175,0.49210573772923233,0.8123070688319035
SuperconductorCoherence,1.111627,0,1.030553371789361,0.6624242942361654,3.8082422437248526,0.6131002837927471,0.7637190981178094
DoubleSlitInterference,1.068225,0,1.0425022776280357,0.7953412421032029,7.4554890415036175,0.49210573772923233,0.8123070688319035
TurbulenceEnergyCascade,1.111627,0,1.030553371789361,0.6624242942361654,3.8082422437248526,0.6131002837927471,0.7637190981178094
reaction_diffusion,0.344045,1,2.723232896674161,0.8071440799494995,3.0737128673360044,1.0117572645070099,0.7841495738830765
synchronized_oscillators,0.80142,5,0.6425556364795743,0.2822881928748743,1.2242267872897994,1.5306475740415109,0.2276985835656859
recursive_market,0.293974,2,1.6537739846614532,0.7274834679420722,3.2283759819398155,0.7620618360927037,0.7008273550290078
predator_prey_cycles,0.370164,2,1.1638769071857986,0.5927643822424493,2.5012625666994053,0.7686838861249876,0.5939198520856599
neural_cascade,0.192496,1,2.186704513594505,0.7186479627076973,2.336178504900178,0.9286187332831137,0.7220984693006347
avalanche_redistribution,-0.553197,3,3.0235336687981285,0.9999999966926116,100000000.0,0.7254262763319161,0.0
percolation_transport,0.586377,5,0.7656955204371473,0.4062228727256416,1.786959848082815,1.024917765616633,0.2528146806222476
CrystallizationFromLiquid,0.960019,0,0.759569685002043,0.664331883494659,5.211195491210662,0.41708699493287665,0.7928524747532734
LaserOpticalCoherence,0.9978,0,0.9378309655325011,0.8041642261561585,8.757056045207394,0.4109734513553539,0.8664711983006599
FerromagneticMagnetization,0.9978,0,0.9378309655325011,0.8041642261561585,8.757056045207394,0.4109734513553539,0.8664711983006599
ElectronTransportMesoscopic,0.9978,0,0.9378309655325011,0.8041642261561585,8.757056045207394,0.4109734513553539,0.8664711983006599
LimitCycleOscillations,0.9978,0,0.9378309655325011,0.8041642261561585,8.757056045207394,0.4109734513553539,0.8664711983006599
HeatTransportPhononic,0.960019,0,0.759569685002043,0.664331883494659,5.211195491210662,0.41708699493287665,0.7928524747532734
StrangeAttractorLorenz,0.968782,0,0.8153695139585713,0.6749426862623954,5.093103111918709,0.43049745147354,0.8090493330848509
AndersonLocalization,0.9978,0,0.9378309655325011,0.8041642261561585,8.757056045207394,0.4109734513553539,0.8664711983006599
PhaseEquilibriumMulticomponent,0.9978,0,0.9378309655325011,0.8041642261561585,8.757056045207394,0.4109734513553539,0.8664711983006599
PhotonicBandgapLocalization,0.812712,5,0.10315369751206072,0.08772792084830072,1.8644839339930566,0.510662353640313,-0.3347416921923116
CriticalPhenomenaScaling,0.9978,0,0.9378309655325011,0.8041642261561585,8.757056045207394,0.4109734513553539,0.8664711983006599
ChargeConservationEM,0.9978,0,0.9378309655325011,0.8041642261561585,8.757056045207394,0.4109734513553539,0.8664711983006599
StandingWavePatterns,0.9978,0,0.9378309655325011,0.8041642261561585,8.757056045207394,0.4109734513553539,0.8664711983006599
random_walk,0.456684,2,1.6031039114452021,0.6236256165744404,2.067151022922914,0.8596297839872239,0.6433742413772511
static_equilibrium,1.979348,4,2.7946594872006565,0.9999999964217465,100000000.0,0.7591339978981743,0.0
memoryless_diffusion,0.464011,1,2.4046116156074917,0.6914471714514258,1.8638653011384505,1.1070097548083653,0.7193998787886193
white_noise,0.672086,5,0.8640756605055856,0.4505549523229841,1.8980241058873422,1.3348242798100025,0.33965988952949006
disconnected_flow,1.152038,0,0.238711896265124,0.10027204983080538,0.9337370937770529,0.9443112887311861,0.23336795246375874
monotonic_decay,0.809127,5,0.25996201723679757,0.0988790888586978,0.8441924883436206,1.0828391099715238,-0.061798663907414654
