system,stability,cluster,margin,spread,hybridity,predicted_stability
EnergyMomentumConservation,1.036115,0,0.8683746771740863,0.2979294904778584,0.37576537409724586,0.989034618404034
ChemicalEquilibriumNetwork,1.068225,0,1.0425022776280357,0.3298062096310585,0.3281238888738178,0.9264665226513649
SuperconductorCoherence,1.111627,0,1.030553371789361,0.3800757398363454,0.3052981855962574,0.8855318414855373
DoubleSlitInterference,1.068225,0,1.0425022776280357,0.3298062096310585,0.3281238888738178,0.9264665226513649
TurbulenceEnergyCascade,1.111627,0,1.030553371789361,0.3800757398363454,0.3052981855962574,0.8855318414855373
reaction_diffusion,0.344045,3,2.723232896674161,0.5029221379523366,0.1335070557879112,0.34968800639653175
synchronized_oscillators,0.80142,5,0.6425556364795743,0.6048442263325613,0.24057375281020052,0.7308545531923065
recursive_market,0.293974,1,1.6537739846614532,0.43248302669249283,0.21385279100168222,0.6503512162993694
predator_prey_cycles,0.370164,1,1.1638769071857986,0.43460784154544335,0.26128665478937524,0.7865640663682609
neural_cascade,0.192496,3,2.186704513594505,0.48149419958309414,0.1627090927963218,0.4691397308225641
avalanche_redistribution,-0.553197,2,3.0235336687981285,0.4204330757464178,0.14404425859488454,0.39413054211528586
percolation_transport,0.586377,5,0.7656955204371473,0.506152784582105,0.27968990672617744,0.8311575589987534
CrystallizationFromLiquid,0.960019,0,0.759569685002043,0.29432702185840953,0.40104861100785055,1.0096789311900751
LaserOpticalCoherence,0.9978,0,0.9378309655325011,0.2912694430647017,0.3657339414743765,0.9784304112200215
FerromagneticMagnetization,0.9978,0,0.9378309655325011,0.2912694430647017,0.3657339414743765,0.9784304112200215
ElectronTransportMesoscopic,0.9978,0,0.9378309655325011,0.2912694430647017,0.3657339414743765,0.9784304112200215
LimitCycleOscillations,0.9978,0,0.9378309655325011,0.2912694430647017,0.3657339414743765,0.9784304112200215
HeatTransportPhononic,0.960019,0,0.759569685002043,0.29432702185840953,0.40104861100785055,1.0096789311900751
StrangeAttractorLorenz,0.968782,0,0.8153695139585713,0.30094248055464146,0.3850772606184197,0.9976511335853502
AndersonLocalization,0.9978,0,0.9378309655325011,0.2912694430647017,0.3657339414743765,0.9784304112200215
PhaseEquilibriumMulticomponent,0.9978,0,0.9378309655325011,0.2912694430647017,0.3657339414743765,0.9784304112200215
PhotonicBandgapLocalization,0.812712,5,0.10315369751206072,0.3380387102450434,0.6000626125333903,0.8680860932513546
CriticalPhenomenaScaling,0.9978,0,0.9378309655325011,0.2912694430647017,0.3657339414743765,0.9784304112200215
ChargeConservationEM,0.9978,0,0.9378309655325011,0.2912694430647017,0.3657339414743765,0.9784304112200215
StandingWavePatterns,0.9978,0,0.9378309655325011,0.2912694430647017,0.3657339414743765,0.9784304112200215
random_walk,0.456684,1,1.6031039114452021,0.46225855887514106,0.20657701706049583,0.6267461392630125
static_equilibrium,1.979348,4,2.7946594872006565,0.43153847222849023,0.14980567549971846,0.4177906454160464
memoryless_diffusion,0.464011,3,2.4046116156074917,0.5253937492610464,0.1394009961557006,0.3747331876917309
white_noise,0.672086,5,0.8640756605055856,0.5717022438702002,0.22976414809988688,0.699459709107815
disconnected_flow,1.152038,0,0.238711896265124,0.48567906497494157,0.4152062610973563,1.0174350049113126
monotonic_decay,0.809127,5,0.25996201723679757,0.5198861039181889,0.381054261567933,0.9940735025421203
