system,true,pred,residual,residual_abs,assignment,asn_stability,PI_low,PI_high,PI_width
EnergyMomentumConservation,1.036115,1.0223977647058824,0.013717235294117502,0.013717235294117502,2,0.35660000000000003,0.9716128486111112,1.0485266271008404,0.07691377848972925
ChemicalEquilibriumNetwork,1.068225,1.0205089411764707,0.04771605882352925,0.04771605882352925,0,0.3683666666666667,0.9716128486111112,1.0485266271008404,0.07691377848972925
SuperconductorCoherence,1.111627,1.0179558823529413,0.0936711176470586,0.0936711176470586,1,0.35913333333333336,0.9716128486111112,1.0485266271008404,0.07691377848972925
DoubleSlitInterference,1.068225,1.0205089411764707,0.04771605882352925,0.04771605882352925,5,0.3779,0.9716128486111112,1.0485266271008404,0.07691377848972925
TurbulenceEnergyCascade,1.111627,1.0179558823529413,0.0936711176470586,0.0936711176470586,0,0.3720333333333333,0.9716128486111112,1.0485266271008404,0.07691377848972925
reaction_diffusion,0.344045,0.3282535,0.015791500000000014,0.015791500000000014,3,0.3666333333333333,0.192496,0.809127,0.616631
synchronized_oscillators,0.80142,0.7200755000000001,0.08134449999999993,0.08134449999999993,5,0.3596,0.4741820857142857,1.152038,0.6778559142857141
recursive_market,0.293974,0.413424,-0.11945,0.11945,3,0.3603666666666667,0.293974,0.7068907883333333,0.4129167883333333
predator_prey_cycles,0.370164,0.375329,-0.005165000000000031,0.005165000000000031,2,0.3641666666666667,0.293974,0.7068907883333333,0.4129167883333333
neural_cascade,0.192496,0.404028,-0.211532,0.211532,1,0.3569333333333333,-0.553197,0.464011,1.0172080000000001
avalanche_redistribution,-0.553197,0.3335173333333333,-0.8867143333333334,0.8867143333333334,1,0.3620000000000001,-0.553197,0.464011,1.0172080000000001
percolation_transport,0.586377,0.8751813333333333,-0.2888043333333332,0.2888043333333332,5,0.36749999999999994,0.586377,1.0141130079545455,0.42773600795454547
CrystallizationFromLiquid,0.960019,1.026874,-0.06685500000000011,0.06685500000000011,0,0.36856666666666676,0.9716128486111112,1.0411011925438596,0.06948834393274839
LaserOpticalCoherence,0.9978,1.024651588235294,-0.02685158823529399,0.02685158823529399,5,0.36429999999999996,0.9716128486111112,1.0411011925438596,0.06948834393274839
FerromagneticMagnetization,0.9978,1.024651588235294,-0.02685158823529399,0.02685158823529399,0,0.36130000000000007,0.9716128486111112,1.0411011925438596,0.06948834393274839
ElectronTransportMesoscopic,0.9978,1.024651588235294,-0.02685158823529399,0.02685158823529399,3,0.3582666666666667,0.9716128486111112,1.0411011925438596,0.06948834393274839
LimitCycleOscillations,0.9978,1.024651588235294,-0.02685158823529399,0.02685158823529399,1,0.34740000000000004,0.9716128486111112,1.0411011925438596,0.06948834393274839
HeatTransportPhononic,0.960019,1.026874,-0.06685500000000011,0.06685500000000011,0,0.36886666666666656,0.9716128486111112,1.0411011925438596,0.06948834393274839
StrangeAttractorLorenz,0.968782,1.0263585294117645,-0.0575765294117645,0.0575765294117645,5,0.35353333333333337,0.9716128486111112,1.0411011925438596,0.06948834393274839
AndersonLocalization,0.9978,1.0246515882352942,-0.02685158823529421,0.02685158823529421,5,0.3627999999999999,0.9716128486111112,1.0411011925438596,0.06948834393274839
PhaseEquilibriumMulticomponent,0.9978,1.0246515882352942,-0.02685158823529421,0.02685158823529421,2,0.34819999999999995,0.9716128486111112,1.0411011925438596,0.06948834393274839
PhotonicBandgapLocalization,0.812712,1.0231598333333336,-0.2104478333333336,0.2104478333333336,2,0.35366666666666663,0.661822,1.0352398614285714,0.37341786142857136
CriticalPhenomenaScaling,0.9978,1.0246515882352942,-0.02685158823529421,0.02685158823529421,2,0.3651999999999999,0.9716128486111112,1.0411011925438596,0.06948834393274839
ChargeConservationEM,0.9978,1.0246515882352942,-0.02685158823529421,0.02685158823529421,0,0.35563333333333336,0.9716128486111112,1.0411011925438596,0.06948834393274839
StandingWavePatterns,0.9978,1.0246515882352942,-0.02685158823529421,0.02685158823529421,5,0.35400000000000004,0.9716128486111112,1.0411011925438596,0.06948834393274839
random_walk,0.456684,0.332069,0.12461499999999998,0.12461499999999998,2,0.36499999999999994,0.293974,0.7151983,0.42122429999999994
static_equilibrium,1.979348,1.0120836315789477,0.9672643684210525,0.9672643684210525,3,0.3685333333333333,0.9987366522569444,1.979348,0.9806113477430557
memoryless_diffusion,0.464011,0.26827049999999997,0.19574050000000004,0.19574050000000004,0,0.35620000000000007,0.192496,0.809127,0.616631
white_noise,0.672086,0.752409,-0.08032300000000003,0.08032300000000003,0,0.37573333333333336,0.40950766666666666,1.0351653333333333,0.6256576666666667
disconnected_flow,1.152038,1.0155787647058825,0.1364592352941174,0.1364592352941174,5,0.3666333333333334,0.80142,1.152038,0.3506179999999999
monotonic_decay,0.809127,1.0120836315789477,-0.2029566315789476,0.2029566315789476,1,0.3544,0.661822,1.0280790597619047,0.3662570597619047
