k,silhouette,davies_bouldin,calinski_harabasz,train_R2,LOOCV_R2,LOOCV_R2_std,LOOCV_r,LOOCV_RMSE,ANOVA_F,ANOVA_p,seed_ARI,mean_margin
2,0.629,0.8353,31.5,0.6027,0.3104,0.0056,0.5624,0.3485,44.0,2.85e-07,1.0,2.2674
3,0.6221,0.6096,41.0,0.6603,0.5278,0.0011,0.7321,0.2884,27.21,2.72e-07,1.0,1.7438
4,0.6455,0.4586,43.7,0.7979,0.4929,0.0047,0.7045,0.2988,36.52,2.1e-08,1.0,1.9012
5,0.6536,0.3428,60.8,0.9055,0.5553,0.0034,0.7606,0.2798,43.08,5.58e-09,1.0,1.9266
6,0.611,0.5035,78.1,0.9724,0.6188,0.0013,0.8002,0.2591,116.03,8.9e-15,0.9624,1.1683
7,0.6343,0.3395,95.9,0.9691,0.6568,0.0042,0.8281,0.2458,97.34,1.43e-13,1.0,1.3157
8,0.6204,0.328,118.6,0.9729,0.6814,0.0019,0.8465,0.2369,102.01,1.97e-13,1.0,1.218
9,0.6089,0.3555,140.4,0.978,0.6924,0.0086,0.8509,0.2327,91.78,2.15e-13,1.0,1.0838
10,0.5648,0.3578,157.8,0.9827,0.6914,0.0032,0.8451,0.2331,105.24,1.41e-13,1.0,0.9441
11,0.5325,0.3474,182.0,0.9849,0.6973,0.0012,0.8465,0.2309,107.7,3.39e-13,0.9282,0.8984
12,0.4834,0.3549,216.2,0.9898,0.7018,0.0003,0.8478,0.2291,127.09,8.43e-14,0.9287,0.5633
13,0.477,0.292,277.9,0.9946,0.731,0.0012,0.868,0.2176,261.37,1.12e-15,1.0,0.5745
14,0.4538,0.2385,342.1,0.9967,0.73,0.0009,0.8655,0.2181,292.5,7.99e-15,1.0,0.5643
15,0.4338,0.2001,492.2,0.9972,0.7308,0.0,0.8657,0.2178,87.44,2.44e-09,1.0,0.5651
