invariant,R2,LOOCV_R2
CSR,0.670681,0.582401
RBS,0.897342,0.872633
ADI,0.357645,0.245356
CSR+RBS,0.979822,0.971246
CSR-RBS,0.020178,-0.397842
CSR*RBS,0.033953,-1.450899
CSR/RBS,0.022754,-0.069465
RBS/CSR,0.060057,-0.66886
CSR^2,0.070817,-0.111466
RBS^2,0.128346,-1.646173
sqrt(|CSR|),0.094836,-0.104922
sqrt(|RBS|),0.078853,-0.611593
log(|CSR|+1),0.09861,-0.109605
log(|RBS|+1),0.079445,-0.638647
|CSR|,0.092824,-0.116839
|RBS|,0.096487,-0.895512
exp(CSR),0.668954,0.454538
exp(RBS),0.393878,-7.314704
CSR**3,0.356921,0.15097
RBS**3,0.570522,-0.237632
