target,train_domain,test_domain,model,R2,MAE,Spearman_r
stability_return_time,cellular_automata,cellular_automata,Linear,0.0238,7.505,0.0326
stability_return_time,cellular_automata,cellular_automata,Ridge,0.0238,7.5017,0.0316
stability_return_time,cellular_automata,cellular_automata,RF,0.852,2.6162,0.4523
stability_return_time,cellular_automata,cellular_automata,GB,0.8136,3.1077,0.3828
stability_return_time,cellular_automata,graph_diffusion,Linear,-0.4555,224.585,0.3265
stability_return_time,cellular_automata,graph_diffusion,Ridge,-0.4555,224.585,0.3252
stability_return_time,cellular_automata,graph_diffusion,RF,-0.437,221.995,0.2309
stability_return_time,cellular_automata,graph_diffusion,GB,-0.4259,220.6249,0.1738
stability_return_time,cellular_automata,nonlinear_oscillator,Linear,-0.7246,74.3524,-0.2365
stability_return_time,cellular_automata,nonlinear_oscillator,Ridge,-0.7246,74.3518,-0.236
stability_return_time,cellular_automata,nonlinear_oscillator,RF,-0.7791,77.0503,0.1678
stability_return_time,cellular_automata,nonlinear_oscillator,GB,-0.6839,73.3485,0.1029
stability_return_time,cellular_automata,population,Linear,-0.269,27.1735,-0.4996
stability_return_time,cellular_automata,population,Ridge,-0.2688,27.1667,-0.4996
stability_return_time,cellular_automata,population,RF,-0.3089,30.5489,-0.412
stability_return_time,cellular_automata,population,GB,-0.279,30.8107,-0.2951
stability_return_time,graph_diffusion,cellular_automata,Linear,-20.0,244.1823,0.0152
stability_return_time,graph_diffusion,cellular_automata,Ridge,-20.0,242.3209,0.0217
stability_return_time,graph_diffusion,cellular_automata,RF,-20.0,191.6495,-0.1182
stability_return_time,graph_diffusion,cellular_automata,GB,-20.0,127.2716,-0.1411
stability_return_time,graph_diffusion,graph_diffusion,Linear,0.649,141.363,0.7845
stability_return_time,graph_diffusion,graph_diffusion,Ridge,0.6489,141.5879,0.7869
stability_return_time,graph_diffusion,graph_diffusion,RF,0.963,37.373,0.9508
stability_return_time,graph_diffusion,graph_diffusion,GB,0.9664,41.1476,0.8886
stability_return_time,graph_diffusion,nonlinear_oscillator,Linear,-11.2558,256.5003,-0.0788
stability_return_time,graph_diffusion,nonlinear_oscillator,Ridge,-10.2723,246.4046,-0.0577
stability_return_time,graph_diffusion,nonlinear_oscillator,RF,-6.5406,166.1599,-0.0635
stability_return_time,graph_diffusion,nonlinear_oscillator,GB,-7.1121,171.5301,-0.2573
stability_return_time,graph_diffusion,population,Linear,-20.0,296.68,-0.144
stability_return_time,graph_diffusion,population,Ridge,-20.0,286.3664,-0.1302
stability_return_time,graph_diffusion,population,RF,-20.0,161.0239,0.1103
stability_return_time,graph_diffusion,population,GB,-20.0,154.9653,-0.1188
stability_return_time,nonlinear_oscillator,cellular_automata,Linear,-20.0,75.9516,0.0249
stability_return_time,nonlinear_oscillator,cellular_automata,Ridge,-20.0,75.8825,0.0256
stability_return_time,nonlinear_oscillator,cellular_automata,RF,-20.0,126.6129,0.0786
stability_return_time,nonlinear_oscillator,cellular_automata,GB,-20.0,119.7747,0.0918
stability_return_time,nonlinear_oscillator,graph_diffusion,Linear,-0.3177,224.0485,-0.612
stability_return_time,nonlinear_oscillator,graph_diffusion,Ridge,-0.3165,223.8725,-0.6109
stability_return_time,nonlinear_oscillator,graph_diffusion,RF,-0.2962,246.1031,-0.2921
stability_return_time,nonlinear_oscillator,graph_diffusion,GB,-0.2628,235.8978,-0.2564
stability_return_time,nonlinear_oscillator,nonlinear_oscillator,Linear,0.2181,57.9692,0.5112
stability_return_time,nonlinear_oscillator,nonlinear_oscillator,Ridge,0.2181,57.9867,0.5115
stability_return_time,nonlinear_oscillator,nonlinear_oscillator,RF,0.8855,20.8149,0.8835
stability_return_time,nonlinear_oscillator,nonlinear_oscillator,GB,0.7922,28.7482,0.784
stability_return_time,nonlinear_oscillator,population,Linear,-0.5901,53.5426,0.4777
stability_return_time,nonlinear_oscillator,population,Ridge,-0.5883,53.5646,0.4779
stability_return_time,nonlinear_oscillator,population,RF,-0.7212,45.2321,0.4728
stability_return_time,nonlinear_oscillator,population,GB,-0.7707,48.2947,0.3254
