domain,variant,target,R2
branching,raw,poss_reachable_volume,-0.09380041474252532
branching,raw,poss_branching_diversity,0.07863130345750446
branching,raw,poss_adaptive_recovery,0.10342506342812696
branching,raw,poss_future_entropy,0.039681980515695714
branching,raw,poss_divergence_capacity,0.03729608953747732
branching,raw,poss_stability_fertility_coupling,0.013226348574398972
cellular_automata,raw,poss_reachable_volume,0.1513806701159348
cellular_automata,raw,poss_branching_diversity,0.0695134814202365
cellular_automata,raw,poss_adaptive_recovery,-0.015390491443239007
cellular_automata,raw,poss_future_entropy,0.005286731320418792
cellular_automata,raw,poss_divergence_capacity,0.003545011313838886
cellular_automata,raw,poss_stability_fertility_coupling,-0.008856098965395187
coupled_map_lattice,raw,poss_reachable_volume,0.02489757444425089
coupled_map_lattice,raw,poss_branching_diversity,-0.025083821979157594
coupled_map_lattice,raw,poss_adaptive_recovery,-0.014403457698306088
coupled_map_lattice,raw,poss_future_entropy,0.030537307792296797
coupled_map_lattice,raw,poss_divergence_capacity,0.011031017680381727
coupled_map_lattice,raw,poss_stability_fertility_coupling,0.01745144352803074
graph_diffusion,raw,poss_reachable_volume,0.5745773967760697
graph_diffusion,raw,poss_branching_diversity,0.1007409201705517
graph_diffusion,raw,poss_adaptive_recovery,-0.0018919016312741732
graph_diffusion,raw,poss_future_entropy,0.21605251869643105
graph_diffusion,raw,poss_divergence_capacity,0.7067468539112167
graph_diffusion,raw,poss_stability_fertility_coupling,0.6875737413693473
gray_scott,raw,poss_reachable_volume,-0.005601562250107994
gray_scott,raw,poss_branching_diversity,-0.01912754039822473
gray_scott,raw,poss_adaptive_recovery,-0.010183149387346102
gray_scott,raw,poss_future_entropy,-0.008998595283983724
gray_scott,raw,poss_divergence_capacity,0.008406347032694939
gray_scott,raw,poss_stability_fertility_coupling,-0.011753746477955351
kuramoto,raw,poss_reachable_volume,0.2557001722859886
kuramoto,raw,poss_branching_diversity,0.009570596846001256
kuramoto,raw,poss_adaptive_recovery,0.0866554435099105
kuramoto,raw,poss_future_entropy,0.216180622469911
kuramoto,raw,poss_divergence_capacity,0.2981958793551498
kuramoto,raw,poss_stability_fertility_coupling,0.005749925420546975
lotka_volterra,raw,poss_reachable_volume,-0.002586971189682874
lotka_volterra,raw,poss_branching_diversity,-0.017223029687650326
lotka_volterra,raw,poss_adaptive_recovery,-0.021324614488668958
lotka_volterra,raw,poss_future_entropy,-0.008950141928757871
lotka_volterra,raw,poss_divergence_capacity,0.08807109549544223
lotka_volterra,raw,poss_stability_fertility_coupling,-0.024735292549332266
nonlinear_oscillator,raw,poss_reachable_volume,0.19236136310600227
nonlinear_oscillator,raw,poss_branching_diversity,0.0007857639020014684
nonlinear_oscillator,raw,poss_adaptive_recovery,0.2634166748111417
nonlinear_oscillator,raw,poss_future_entropy,0.20442110514363998
nonlinear_oscillator,raw,poss_divergence_capacity,0.10037295965588966
nonlinear_oscillator,raw,poss_stability_fertility_coupling,0.1146611747431463
population,raw,poss_reachable_volume,0.16106673079651546
population,raw,poss_branching_diversity,-0.014248258701939909
population,raw,poss_adaptive_recovery,-0.12801696245882455
population,raw,poss_future_entropy,0.09115511979462354
population,raw,poss_divergence_capacity,0.16627406320348415
population,raw,poss_stability_fertility_coupling,-0.07456603982873933
replicator,raw,poss_reachable_volume,-0.010336979210999964
replicator,raw,poss_branching_diversity,-0.20022351982583197
replicator,raw,poss_adaptive_recovery,0.007258737434104434
replicator,raw,poss_future_entropy,0.0002877872466229281
replicator,raw,poss_divergence_capacity,-0.05237469299085595
replicator,raw,poss_stability_fertility_coupling,-0.0057882172891294825
branching,standardized,poss_reachable_volume,0.3052192900430214
branching,standardized,poss_branching_diversity,0.3791925977199717
branching,standardized,poss_adaptive_recovery,0.07938952489104323
branching,standardized,poss_future_entropy,0.08880978793044292
branching,standardized,poss_divergence_capacity,0.5201063180933659
branching,standardized,poss_stability_fertility_coupling,-0.0038785111570895925
cellular_automata,standardized,poss_reachable_volume,0.0045582487979481945
cellular_automata,standardized,poss_branching_diversity,-0.01912134854144587
cellular_automata,standardized,poss_adaptive_recovery,0.007488760894377777
cellular_automata,standardized,poss_future_entropy,0.20521967521622264
cellular_automata,standardized,poss_divergence_capacity,0.3039357460067601
cellular_automata,standardized,poss_stability_fertility_coupling,0.16371255267800844
coupled_map_lattice,standardized,poss_reachable_volume,0.20647677547331955
coupled_map_lattice,standardized,poss_branching_diversity,0.053236443310238246
coupled_map_lattice,standardized,poss_adaptive_recovery,0.10465028802355902
coupled_map_lattice,standardized,poss_future_entropy,0.26108879668468843
coupled_map_lattice,standardized,poss_divergence_capacity,0.06463775406592986
coupled_map_lattice,standardized,poss_stability_fertility_coupling,0.16524455523771364
graph_diffusion,standardized,poss_reachable_volume,0.4262999034164783
graph_diffusion,standardized,poss_branching_diversity,0.1527992397375283
graph_diffusion,standardized,poss_adaptive_recovery,0.07061088826241246
graph_diffusion,standardized,poss_future_entropy,0.11318396892490146
graph_diffusion,standardized,poss_divergence_capacity,0.555465013702342
graph_diffusion,standardized,poss_stability_fertility_coupling,0.5706389878024595
gray_scott,standardized,poss_reachable_volume,0.49414254017152637
gray_scott,standardized,poss_branching_diversity,0.18344382485426525
gray_scott,standardized,poss_adaptive_recovery,0.2029222214650056
gray_scott,standardized,poss_future_entropy,0.22807952181415692
gray_scott,standardized,poss_divergence_capacity,0.0675166599775282
gray_scott,standardized,poss_stability_fertility_coupling,0.2620664318050442
kuramoto,standardized,poss_reachable_volume,0.32061458035295864
kuramoto,standardized,poss_branching_diversity,0.024233587674105106
kuramoto,standardized,poss_adaptive_recovery,0.09498722416138572
kuramoto,standardized,poss_future_entropy,0.30829565274430304
kuramoto,standardized,poss_divergence_capacity,0.3594260364533056
kuramoto,standardized,poss_stability_fertility_coupling,0.031184057502478324
lotka_volterra,standardized,poss_reachable_volume,0.04344228465900368
lotka_volterra,standardized,poss_branching_diversity,0.019402835225697634
lotka_volterra,standardized,poss_adaptive_recovery,0.01778289373209574
lotka_volterra,standardized,poss_future_entropy,0.01718263885294402
lotka_volterra,standardized,poss_divergence_capacity,0.2794732866780909
lotka_volterra,standardized,poss_stability_fertility_coupling,-0.02134903657585796
