possibility_metric,fertility_metric,pearson_r,p_value,r2,flagged
poss_reachable_volume,fertility_state_diversity,0.916837,0.0,0.840589,True
poss_reachable_volume,fertility_novelty_rate,0.166852,1.5291251986244816e-32,0.027839,False
poss_reachable_volume,fertility_state_coverage,0.969498,0.0,0.939927,True
poss_reachable_volume,fertility_transition_entropy,0.376885,1.611265353089273e-168,0.142042,False
poss_branching_diversity,fertility_state_diversity,0.025752,0.06863428442264008,0.000663,False
poss_branching_diversity,fertility_novelty_rate,0.229694,7.318655746340184e-61,0.052759,False
poss_branching_diversity,fertility_state_coverage,-0.054543,0.00011400242309652535,0.002975,False
poss_branching_diversity,fertility_transition_entropy,0.333183,6.621025018769115e-130,0.111011,False
poss_adaptive_recovery,fertility_state_diversity,-8.9e-05,0.9949981052899416,0.0,False
poss_adaptive_recovery,fertility_novelty_rate,0.01659,0.24084697366467242,0.000275,False
poss_adaptive_recovery,fertility_state_coverage,0.027373,0.052938135387502014,0.000749,False
poss_adaptive_recovery,fertility_transition_entropy,-0.164803,8.871431927243616e-32,0.02716,False
poss_future_entropy,fertility_state_diversity,0.16671,1.7287095824079402e-32,0.027792,False
poss_future_entropy,fertility_novelty_rate,0.359159,4.05285806192947e-152,0.128995,False
poss_future_entropy,fertility_state_coverage,0.086004,1.120675773918821e-09,0.007397,False
poss_future_entropy,fertility_transition_entropy,0.711816,0.0,0.506682,False
poss_divergence_capacity,fertility_state_diversity,0.051413,0.0002758649610114895,0.002643,False
poss_divergence_capacity,fertility_novelty_rate,0.110322,5.163965742943354e-15,0.012171,False
poss_divergence_capacity,fertility_state_coverage,0.07594,7.607650999279013e-08,0.005767,False
poss_divergence_capacity,fertility_transition_entropy,-0.139867,2.888437989333785e-23,0.019563,False
poss_stability_fertility_coupling,fertility_state_diversity,0.831269,0.0,0.691007,False
poss_stability_fertility_coupling,fertility_novelty_rate,0.224281,4.8550660878663245e-58,0.050302,False
poss_stability_fertility_coupling,fertility_state_coverage,0.853806,0.0,0.728985,True
poss_stability_fertility_coupling,fertility_transition_entropy,0.297528,9.607230788531766e-103,0.088523,False
