domain,add_r2,mult_gain,log_slope,tree_r2,continuity,sync,sym_inv
branching_nullA_0,0.012066154267154294,0.03488700645669862,-0.025705668565825974,0.44784380605963137,-0.07049672050050826,,0.9970717739927278
branching_nullA_1,0.007825801587578174,0.030211848880370984,-0.01147966484981038,0.45319500687043257,-0.06147050779920904,,0.9985395951118837
branching_nullA_2,0.005323439073245395,0.04200545644795539,-0.044449213144974443,0.38805835404891986,-0.04565812756252474,,0.9990287221963948
branching_nullA_3,0.010588966518048526,0.020976513745123326,-0.0014518105997915697,0.4666333126266994,-0.012074645916954951,,0.9981211140199077
branching_nullA_4,0.0028202763219103977,0.014176225154580169,0.0021805495080306466,0.4535695669075982,-0.06262560990216426,,0.9993791135323277
cellular_automata_nullA_0,0.0021022801520880208,0.013139610042681826,-0.20882425339732263,0.3484892339149145,-0.10138960288102328,,0.9995944733468481
cellular_automata_nullA_1,0.0023717952723130153,0.023998672108224706,-0.14000842615083206,0.3704595661469555,-0.052182027237065665,,0.9994881410553283
cellular_automata_nullA_2,0.007477507471569944,0.012351077662883014,0.15940748666947807,0.3033520342030336,-0.06985874180095553,,0.9984114442634844
cellular_automata_nullA_3,0.0035687740521529454,0.011980019272462505,0.183266340439845,0.34439506155512845,-0.06771335760390551,,0.9991544953206778
cellular_automata_nullA_4,0.00530438031133984,0.023532559837945777,0.3031354938600242,0.33716615489238466,-0.058269837183589246,,0.9987136897632507
coupled_map_lattice_nullA_0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
coupled_map_lattice_nullA_1,1.0,0.0,0.0,1.0,1.0,0.0,0.0
coupled_map_lattice_nullA_2,1.0,0.0,0.0,1.0,1.0,0.0,0.0
coupled_map_lattice_nullA_3,1.0,0.0,0.0,1.0,1.0,0.0,0.0
coupled_map_lattice_nullA_4,1.0,0.0,0.0,1.0,1.0,0.0,0.0
graph_diffusion_nullA_0,0.0017663995001183652,0.050820500336480556,0.012371658080056972,0.4834256518226706,-0.058620643018493235,,0.9996757929053953
graph_diffusion_nullA_1,0.008523627440746528,0.03324389617181356,-0.0031593294354636927,0.4892764833144222,-0.027805551964103614,,0.9982652632520601
graph_diffusion_nullA_2,0.0012007238664691888,0.025013060569545886,-0.03196736280586031,0.485493468675709,-0.04364566696593086,,0.9997316043140863
graph_diffusion_nullA_3,0.016764666054988164,0.02426701758917993,0.015693707976815005,0.4595702643922699,-0.04985246668914267,,0.9965324789486522
graph_diffusion_nullA_4,0.001213359260009761,0.048060888032129156,-0.0060359850608740235,0.5045848811618543,-0.0329276506352032,,0.9996644142110045
gray_scott_nullA_0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
gray_scott_nullA_1,1.0,0.0,0.0,1.0,1.0,0.0,0.0
gray_scott_nullA_2,1.0,0.0,0.0,1.0,1.0,0.0,0.0
gray_scott_nullA_3,1.0,0.0,0.0,1.0,1.0,0.0,0.0
gray_scott_nullA_4,1.0,0.0,0.0,1.0,1.0,0.0,0.0
kuramoto_nullA_0,0.0077181534339353375,0.011235528322812938,0.19124753457248225,0.4417261468782342,-0.06476531080222969,,0.9985866948476402
kuramoto_nullA_1,0.005049622041660484,0.023996893188512725,0.048066423991880526,0.37331217412527695,-0.06343827801352675,,0.999059578711483
kuramoto_nullA_2,0.009355760736247443,0.008906074403050135,0.17428555910944507,0.365643293642394,-0.04962771895253537,,0.9985224546261614
kuramoto_nullA_3,0.009196572070887754,0.02010115908995158,0.018028613653202887,0.45987703096478827,-0.05012876596345173,,0.9979208701667516
kuramoto_nullA_4,0.008643891036082096,0.030550168215675022,0.23614626500789018,0.36622109655499346,-0.03408420563244019,,0.9982544994359022
lotka_volterra_nullA_0,0.009521628702355067,0.030836573267193912,0.004881319385137235,0.4268717675778644,-0.03996842961966718,,0.9979160715294465
lotka_volterra_nullA_1,0.013734263045635409,0.004064704890559989,0.006439698746469684,0.422346349432415,-0.055121552261121254,,0.9975392253222816
lotka_volterra_nullA_2,0.009448318865030614,0.018634671120211443,0.010479735151814398,0.333551711577456,-0.09189959619283039,,0.9982554723138584
lotka_volterra_nullA_3,0.00617294069513219,0.02528287936886242,0.014931554729782161,0.4014924761233657,-0.047940741762479755,,0.9988507647550189
lotka_volterra_nullA_4,0.018575214533538387,0.015896672767901854,0.01484823528459232,0.31801083591207846,-0.03666684342320581,,0.9959369074500716
nonlinear_oscillator_nullA_0,0.010136148064928019,0.019293417062152485,0.03262391678318982,0.5308500446151942,-0.04096713240883876,,0.9978926115504928
nonlinear_oscillator_nullA_1,0.0022114882072469255,0.03248371827034269,-0.05035103537663631,0.5318027031355963,-0.06380468041403908,,0.999661676729871
nonlinear_oscillator_nullA_2,0.005525119381796673,0.027688463472359537,-0.029279154120607675,0.5330021338687783,-0.026234086165990878,,0.9990430112471644
nonlinear_oscillator_nullA_3,0.01076713033685639,0.01440599475664095,-0.07577067989973754,0.45736068921092843,-0.05935863052162782,,0.9980756643282624
nonlinear_oscillator_nullA_4,0.010283706758208555,0.025158757868247505,-0.00793192064672463,0.522009821271205,-0.05653644448726336,,0.9977826900843153
population_nullA_0,0.011420502298562285,0.012592681196863298,0.035498315765458255,0.4368050920992349,-0.04606472224164393,,0.9978425635707191
population_nullA_1,0.0048248430140573895,0.008178650115221453,0.145426803781128,0.45369951378315954,-0.07476097644919188,,0.9990352267119698
population_nullA_2,0.008071451923193806,0.020464564112321115,-0.16011531505266371,0.5181466409040087,-0.0108924694173278,,0.9984720611702541
population_nullA_3,0.019809882162209247,0.013544495881470442,-0.34844671520501774,0.454932502592867,-0.024765794873605307,,0.9961571462098381
population_nullA_4,0.02017301957628781,0.008647545551350055,0.13910307699224767,0.5333320767297647,-0.06661386909247557,,0.99603175493523
replicator_nullA_0,0.005344755417561964,0.015803200812439244,-0.24112591902485767,0.4108809697177688,-0.044042705089750056,,0.9988652216195179
replicator_nullA_1,0.013112860715227548,0.020871053543177642,-0.3029562487412404,0.5141416310388481,-0.06635234247347555,,0.9974267308021999
replicator_nullA_2,0.016140634115392904,0.011462209692049141,0.0005249324027594982,0.37575149476729,-0.06572179560311864,,0.9963059521675967
replicator_nullA_3,0.008449335032187255,0.026626399386799116,-0.10512170324163683,0.3743007728776512,-0.051801902690346235,,0.9986455667053582
replicator_nullA_4,0.014608648461741813,0.0136377155053784,-0.08229137720467386,0.4184973565269865,-0.033093372617927,,0.997810406979727
