,branching,cellular_automata,coupled_map_lattice,graph_diffusion,gray_scott,kuramoto,lotka_volterra,nonlinear_oscillator,population,replicator
branching,0.0,7.197347542551029,8.547124099925286,8.44312315206381,8.190051542322816,7.498817262040647,7.888078244712873,7.219603656199677,8.79493541275063,8.506236422237299
cellular_automata,7.197347542551029,0.0,6.373315948264278,6.259831673960124,6.261469264690015,3.324605273591908,5.05553219802534,3.4919657726046607,5.355748833010257,4.072627963814545
coupled_map_lattice,8.547124099925286,6.373315948264278,0.0,7.469705263166973,3.6686128858549107,5.092084682906224,7.283274699505147,5.360979655614468,6.49431727588344,8.213135614145783
graph_diffusion,8.44312315206381,6.259831673960124,7.469705263166973,0.0,7.942953958419197,6.117316739072447,6.810995740605985,5.420461325616843,6.5529363865837995,8.374536990609085
gray_scott,8.190051542322816,6.261469264690015,3.6686128858549107,7.942953958419197,0.0,5.560490313958773,6.645694676036902,5.523554108974052,6.783701383104835,8.229450607287154
kuramoto,7.498817262040647,3.324605273591908,5.092084682906224,6.117316739072447,5.560490313958773,0.0,4.423870176441525,2.354516886644443,5.604601361592872,5.091418855407267
lotka_volterra,7.888078244712873,5.05553219802534,7.283274699505147,6.810995740605985,6.645694676036902,4.423870176441525,0.0,4.119805060406661,7.976457329090205,5.710175699043174
nonlinear_oscillator,7.219603656199677,3.4919657726046607,5.360979655614468,5.420461325616843,5.523554108974052,2.354516886644443,4.119805060406661,0.0,5.349311497720812,5.651559842265464
population,8.79493541275063,5.355748833010257,6.49431727588344,6.5529363865837995,6.783701383104835,5.604601361592872,7.976457329090205,5.349311497720812,0.0,7.204809836785834
replicator,8.506236422237299,4.072627963814545,8.213135614145783,8.374536990609085,8.229450607287154,5.091418855407267,5.710175699043174,5.651559842265464,7.204809836785834,0.0
