domain,N,additive_linear_r2,additive_superposition,additive_closure,multiplicative_interaction_r2_gain,multiplicative_log_log_slope,multiplicative_log_log_slope_std,multiplicative_sensitivity_amplification,hierarchical_tree_depth,hierarchical_tree_r2,hierarchical_multiscale_var_ratio,topological_neighborhood_corr,topological_continuity,topological_deformation_stability,network_graph_behav_corr,network_propagation,network_sync_coupling,symmetry_invariance,symmetry_conservation
branching,500,0.199876,-12941654545.582851,1.0,0.061275,0.440887,1.296028,5768529269311.674,11,0.723659,1.875605,-0.037026,0.472729,-124206250163.81773,0.0,0.62328,0.931726,0.905658,
cellular_automata,500,0.348306,-5206811243.955251,0.998,0.031323,0.161708,0.2848,10.639713,15,0.60205,1.875605,-0.003082,0.3363,-5857189230.101701,-0.078848,0.66948,0.776078,0.921305,0.816517
coupled_map_lattice,500,0.620516,-2071802.782004,1.0,0.051759,1.92683,8.575776,0.854725,12,0.827455,1.875605,0.283401,0.654383,-7614176.749288,,1.0,0.995707,,
graph_diffusion,500,0.615878,-18943387.08089,0.0,0.078593,-5.978637,17.491506,298.603237,15,0.64323,1.875605,-0.006132,0.598901,-34768438.515549,-0.351366,0.97804,0.999755,0.810218,0.719845
gray_scott,500,0.414717,-6492428.941439,1.0,0.101933,7.496667,82.186399,12.964428,12,0.822726,1.875605,-0.002376,0.546553,-23285749.247749,,0.99548,0.949397,,
kuramoto,500,0.413336,-289852521.355127,1.0,0.034376,-0.236929,0.5102,3447673878.29769,13,0.520644,1.875605,0.120717,0.41801,-1375000000.460908,-0.134961,1.0,0.74734,0.872139,
lotka_volterra,500,0.147889,0.480909,0.108,0.030516,0.060891,1.12369,141123521852.1048,11,0.341873,1.875605,-0.128709,0.141609,-1.462086,0.0,0.99784,0.915419,0.954749,
nonlinear_oscillator,500,0.402615,-583781.005028,1.0,0.02421,-0.237048,9.036424,22046185365.41525,14,0.593578,1.875605,-0.004258,0.398125,-344246782.423454,0.0,0.99576,0.904692,0.876718,
population,500,0.596752,-102693411.906638,1.0,0.113504,-1.105649,5.957551,26.981976,17,0.787814,1.875605,0.165375,0.703074,-2637853937.418461,0.412831,0.80572,0.75839,0.817805,0.723446
replicator,500,0.082271,-1134582025.863114,0.908,0.018945,0.780144,1.916158,18.289913,13,0.267722,1.875605,0.15794,0.044709,-3233226581.410566,0.062642,0.25354,0.686173,0.976015,0.893485
