domain,regime,self_transition_prob,escape_probability,transition_entropy,n_interventions
branching,constrained_generative,0.3062,0.6938,0.6961,307
branching,chaotic_fertility,0.8403,0.1597,0.3471,939
branching,collapse,0.0185,0.9815,0.4609,54
cellular_automata,rigid_coherence,0.3,0.7,0.4406,510
cellular_automata,collapse,0.8382,0.1618,0.3194,1693
coupled_map_lattice,constrained_generative,0.2095,0.7905,0.9172,420
coupled_map_lattice,rigid_coherence,0.6564,0.3436,0.7089,1327
coupled_map_lattice,chaotic_fertility,0.3763,0.6237,0.9466,465
coupled_map_lattice,collapse,0.0909,0.9091,0.8695,220
graph_diffusion,rigid_coherence,0.3517,0.6483,0.4678,799
graph_diffusion,collapse,0.7188,0.2812,0.4286,1561
gray_scott,constrained_generative,0.4116,0.5884,0.9107,707
gray_scott,rigid_coherence,0.4017,0.5983,0.8477,722
gray_scott,chaotic_fertility,0.3167,0.6833,0.9862,420
gray_scott,collapse,0.1125,0.8875,0.9523,160
kuramoto,constrained_generative,0.3464,0.6536,0.5382,716
kuramoto,rigid_coherence,0.0,1.0,0.6359,16
kuramoto,chaotic_fertility,0.6685,0.3315,0.5122,1240
kuramoto,collapse,0.0,1.0,0.4056,28
lotka_volterra,chaotic_fertility,0.9823,0.0177,0.0641,1980
lotka_volterra,collapse,0.0,1.0,-0.0,20
nonlinear_oscillator,constrained_generative,0.5154,0.4846,0.8439,1040
nonlinear_oscillator,rigid_coherence,0.2169,0.7831,0.8253,332
nonlinear_oscillator,chaotic_fertility,0.459,0.541,0.7731,512
nonlinear_oscillator,collapse,0.0517,0.9483,0.7897,116
population,constrained_generative,0.3797,0.6203,0.9162,590
population,rigid_coherence,0.7215,0.2785,0.5846,1375
population,chaotic_fertility,0.368,0.632,0.8645,375
population,collapse,0.1538,0.8462,0.8888,143
replicator,rigid_coherence,0.9059,0.0941,0.2251,733
replicator,collapse,0.2421,0.7579,0.3993,95
