domain,intervention,regime_from,regime_to,probability,n_trials
branching,perturb_CSR,constrained_generative,constrained_generative,0.4098,122
branching,perturb_CSR,constrained_generative,rigid_coherence,0.0,122
branching,perturb_CSR,constrained_generative,chaotic_fertility,0.4344,122
branching,perturb_CSR,constrained_generative,collapse,0.1557,122
branching,perturb_CSR,chaotic_fertility,constrained_generative,0.1352,355
branching,perturb_CSR,chaotic_fertility,rigid_coherence,0.0,355
branching,perturb_CSR,chaotic_fertility,chaotic_fertility,0.8479,355
branching,perturb_CSR,chaotic_fertility,collapse,0.0169,355
branching,perturb_CSR,collapse,constrained_generative,0.9565,23
branching,perturb_CSR,collapse,rigid_coherence,0.0,23
branching,perturb_CSR,collapse,chaotic_fertility,0.0,23
branching,perturb_CSR,collapse,collapse,0.0435,23
branching,perturb_RBS,constrained_generative,constrained_generative,0.0909,77
branching,perturb_RBS,constrained_generative,rigid_coherence,0.0,77
branching,perturb_RBS,constrained_generative,chaotic_fertility,0.7273,77
branching,perturb_RBS,constrained_generative,collapse,0.1818,77
branching,perturb_RBS,chaotic_fertility,constrained_generative,0.0635,299
branching,perturb_RBS,chaotic_fertility,rigid_coherence,0.0,299
branching,perturb_RBS,chaotic_fertility,chaotic_fertility,0.9331,299
branching,perturb_RBS,chaotic_fertility,collapse,0.0033,299
branching,perturb_RBS,collapse,constrained_generative,0.2308,13
branching,perturb_RBS,collapse,rigid_coherence,0.0,13
branching,perturb_RBS,collapse,chaotic_fertility,0.7692,13
branching,perturb_RBS,collapse,collapse,0.0,13
branching,perturb_ADI,constrained_generative,constrained_generative,0.3426,108
branching,perturb_ADI,constrained_generative,rigid_coherence,0.0,108
branching,perturb_ADI,constrained_generative,chaotic_fertility,0.5648,108
branching,perturb_ADI,constrained_generative,collapse,0.0926,108
branching,perturb_ADI,chaotic_fertility,constrained_generative,0.2526,285
branching,perturb_ADI,chaotic_fertility,rigid_coherence,0.0,285
branching,perturb_ADI,chaotic_fertility,chaotic_fertility,0.7333,285
branching,perturb_ADI,chaotic_fertility,collapse,0.014,285
branching,perturb_ADI,collapse,constrained_generative,0.8333,18
branching,perturb_ADI,collapse,rigid_coherence,0.0,18
branching,perturb_ADI,collapse,chaotic_fertility,0.1667,18
branching,perturb_ADI,collapse,collapse,0.0,18
cellular_automata,perturb_CSR,rigid_coherence,constrained_generative,0.0,102
cellular_automata,perturb_CSR,rigid_coherence,rigid_coherence,0.3039,102
cellular_automata,perturb_CSR,rigid_coherence,chaotic_fertility,0.0,102
cellular_automata,perturb_CSR,rigid_coherence,collapse,0.6961,102
cellular_automata,perturb_CSR,collapse,constrained_generative,0.0,259
cellular_automata,perturb_CSR,collapse,rigid_coherence,0.1699,259
cellular_automata,perturb_CSR,collapse,chaotic_fertility,0.0,259
cellular_automata,perturb_CSR,collapse,collapse,0.8301,259
cellular_automata,perturb_RBS,rigid_coherence,constrained_generative,0.0,103
cellular_automata,perturb_RBS,rigid_coherence,rigid_coherence,0.3107,103
cellular_automata,perturb_RBS,rigid_coherence,chaotic_fertility,0.0,103
cellular_automata,perturb_RBS,rigid_coherence,collapse,0.6893,103
cellular_automata,perturb_RBS,collapse,constrained_generative,0.0,262
cellular_automata,perturb_RBS,collapse,rigid_coherence,0.2137,262
cellular_automata,perturb_RBS,collapse,chaotic_fertility,0.0,262
cellular_automata,perturb_RBS,collapse,collapse,0.7863,262
cellular_automata,perturb_ADI,rigid_coherence,constrained_generative,0.0,93
cellular_automata,perturb_ADI,rigid_coherence,rigid_coherence,0.4086,93
cellular_automata,perturb_ADI,rigid_coherence,chaotic_fertility,0.0,93
cellular_automata,perturb_ADI,rigid_coherence,collapse,0.5914,93
cellular_automata,perturb_ADI,collapse,constrained_generative,0.0,384
cellular_automata,perturb_ADI,collapse,rigid_coherence,0.2448,384
cellular_automata,perturb_ADI,collapse,chaotic_fertility,0.0,384
cellular_automata,perturb_ADI,collapse,collapse,0.7552,384
cellular_automata,perturb_RTP,rigid_coherence,constrained_generative,0.0,106
cellular_automata,perturb_RTP,rigid_coherence,rigid_coherence,0.1604,106
cellular_automata,perturb_RTP,rigid_coherence,chaotic_fertility,0.0,106
cellular_automata,perturb_RTP,rigid_coherence,collapse,0.8396,106
cellular_automata,perturb_RTP,collapse,constrained_generative,0.0,394
cellular_automata,perturb_RTP,collapse,rigid_coherence,0.1168,394
cellular_automata,perturb_RTP,collapse,chaotic_fertility,0.0,394
cellular_automata,perturb_RTP,collapse,collapse,0.8832,394
cellular_automata,perturb_SRD,rigid_coherence,constrained_generative,0.0,106
