null_iteration,n1_mean_persistence,n2_mean_boundary_density
0,1.25,0.6464
1,1.24,0.6406000000000001
2,1.19,0.6275999999999999
3,1.32,0.6441999999999999
4,1.16,0.6437999999999999
5,1.24,0.6428
6,1.32,0.6464000000000001
7,1.19,0.626
8,1.3,0.6406
9,1.25,0.6364000000000001
10,1.23,0.6444
11,1.32,0.6408000000000001
12,1.2,0.65
13,1.28,0.6416
14,1.25,0.6476
15,1.29,0.6426000000000001
16,1.24,0.6444
17,1.2,0.6378
18,1.42,0.6494
19,1.24,0.6370000000000001
20,1.36,0.6275999999999999
21,1.18,0.6324000000000001
22,1.23,0.6594
23,1.31,0.6416
24,1.19,0.639
25,1.33,0.6366
26,1.27,0.6504
27,1.17,0.6496000000000001
28,1.24,0.6386000000000001
29,1.28,0.6252
30,1.17,0.6546
31,1.38,0.6462000000000001
32,1.26,0.645
33,1.27,0.6434
34,1.2,0.6397999999999999
35,1.29,0.6504
36,1.19,0.6411999999999999
37,1.26,0.6499999999999999
38,1.26,0.641
39,1.26,0.636
40,1.3,0.6396000000000001
41,1.24,0.6392
42,1.26,0.641
43,1.26,0.66
44,1.31,0.6317999999999999
45,1.15,0.6382
46,1.18,0.651
47,1.22,0.6416
48,1.3,0.6458
49,1.12,0.6466000000000001
50,1.18,0.6544000000000001
51,1.26,0.638
52,1.24,0.6354
53,1.26,0.6576
54,1.23,0.6504
55,1.32,0.6426000000000001
56,1.22,0.6397999999999999
57,1.25,0.6378
58,1.23,0.6456
59,1.34,0.6437999999999999
60,1.18,0.6346
61,1.2,0.6401999999999999
62,1.38,0.6412
63,1.25,0.6384
64,1.32,0.6546000000000001
65,1.23,0.6254000000000001
66,1.15,0.6428
67,1.18,0.6364
68,1.29,0.6294000000000001
69,1.21,0.646
70,1.26,0.633
71,1.23,0.6482
72,1.18,0.6258000000000001
73,1.2,0.6418
74,1.27,0.6422000000000001
75,1.32,0.6337999999999999
76,1.23,0.6496
77,1.27,0.6544000000000001
78,1.23,0.6442
79,1.35,0.6399999999999999
80,1.16,0.649
81,1.23,0.6599999999999999
82,1.12,0.637
83,1.39,0.6368
84,1.19,0.6476000000000001
85,1.2,0.6448
86,1.17,0.6492
87,1.23,0.6382
88,1.2,0.6444000000000001
89,1.27,0.635
90,1.18,0.6376
91,1.31,0.6302000000000001
92,1.19,0.6432
93,1.18,0.641
94,1.21,0.6362
95,1.18,0.6277999999999999
96,1.38,0.6427999999999999
97,1.16,0.6437999999999999
98,1.27,0.6476000000000001
99,1.26,0.6386000000000001
