domain,sys_idx,persistence_half_life,persistence_max_survival,persistence_variance,perturbation_tolerance
branching,6,20,45,158,inf
branching,14,100,100,473,inf
branching,15,7,52,137,0.3575
branching,23,10,71,291,inf
branching,28,14,35,70,inf
branching,29,100,100,687,inf
branching,30,100,100,734,inf
branching,34,100,100,496,inf
branching,37,100,100,13,inf
branching,39,12,75,281,inf
branching,40,7,29,61,inf
branching,45,13,47,126,inf
branching,55,100,100,1232,1.4781
branching,59,15,53,203,inf
branching,61,1,20,24,0.424
branching,62,7,42,169,0.7958
branching,67,16,48,153,0.3421
branching,70,2,32,93,0.4465
branching,72,100,100,1510,1.4867
branching,73,100,100,1425,inf
branching,76,9,68,211,0.2278
branching,85,100,100,1359,1.2783
branching,96,100,100,1360,inf
branching,99,17,45,164,inf
branching,104,100,100,1371,1.6689
branching,105,13,90,399,inf
branching,108,100,100,382,inf
branching,113,15,100,1215,inf
branching,114,6,100,1423,5.9745
branching,122,1,21,20,0.3969
branching,123,10,46,160,0.614
branching,128,1,1,0,0.5838
branching,129,100,100,489,inf
branching,131,5,46,110,0.5039
branching,135,9,37,95,0.3055
branching,138,100,100,760,inf
branching,140,12,34,67,inf
branching,141,100,100,1178,inf
branching,142,13,50,142,inf
branching,144,100,100,9,inf
branching,145,100,100,294,inf
branching,149,100,100,706,inf
branching,153,100,100,591,inf
branching,159,5,36,155,0.6025
branching,173,100,100,1034,inf
branching,174,100,100,976,inf
branching,175,10,56,194,inf
branching,177,100,100,563,inf
branching,181,100,100,303,inf
branching,186,10,61,222,0.7631
branching,190,11,33,71,0.547
branching,196,88,100,1828,2.0182
branching,202,100,100,886,inf
branching,211,16,48,181,inf
branching,220,100,100,975,inf
branching,223,100,100,953,inf
branching,224,100,100,539,inf
branching,225,100,100,404,inf
branching,231,100,100,838,1.6395
branching,234,4,24,35,0.7942
branching,235,100,100,32,inf
branching,236,100,100,282,inf
branching,242,13,48,193,0.8755
branching,244,100,100,693,inf
branching,245,100,100,282,inf
branching,246,15,69,289,inf
branching,248,7,28,75,0.5501
branching,250,100,100,1114,inf
branching,253,8,32,84,0.5335
branching,254,12,100,1247,4.9874
branching,257,6,40,109,0.7103
branching,260,100,100,819,inf
branching,261,100,100,1890,inf
branching,272,10,33,96,0.822
branching,274,100,100,894,inf
branching,296,100,100,113,inf
branching,314,100,100,419,inf
branching,317,100,100,1188,inf
branching,320,9,41,113,0.6403
branching,322,12,45,121,inf
branching,323,2,43,126,0.3252
branching,324,100,100,758,inf
branching,326,100,100,357,inf
branching,327,100,100,1448,1.3587
branching,332,100,100,193,inf
branching,333,8,33,92,inf
branching,334,15,42,78,inf
branching,342,6,28,50,0.5633
branching,345,100,100,33,inf
branching,352,1,80,372,0.3658
branching,353,1,27,47,0.3354
branching,355,100,100,630,inf
branching,356,100,100,649,inf
branching,365,100,100,1193,inf
branching,367,99,100,1650,inf
branching,377,100,100,876,inf
branching,382,100,100,86,inf
branching,384,100,100,996,inf
branching,385,7,57,172,2.406
branching,389,11,51,169,0.5384
branching,391,14,59,214,0.3207
branching,397,13,47,159,inf
branching,404,1,30,82,0.6417
branching,408,100,100,938,inf
branching,414,18,59,170,inf
branching,426,100,100,269,inf
branching,430,1,1,0,0.938
branching,434,100,100,543,inf
branching,436,13,34,97,0.8596
branching,437,10,52,201,0.6857
branching,441,100,100,365,inf
branching,454,100,100,1121,1.6395
branching,464,100,100,948,inf
branching,465,100,100,904,inf
branching,478,100,100,569,inf
branching,479,9,69,305,0.7073
branching,481,11,66,202,0.7373
branching,485,1,17,12,0.3204
branching,486,100,100,740,inf
branching,488,9,26,64,0.7103
branching,489,5,42,159,0.5627
branching,493,100,100,1096,inf
coupled_map_lattice,5,1,5,1,0.1755
coupled_map_lattice,6,1,6,1,0.1933
coupled_map_lattice,19,2,11,5,0.4996
coupled_map_lattice,37,1,5,0,0.1731
coupled_map_lattice,40,1,3,0,0.2618
coupled_map_lattice,47,1,6,1,0.7894
