domain,sys_idx,collapse_available,recovery_possible,recovery_steps_mean,recovery_probability,recovery_entropy,collapse_regime_shifts
branching,6,0,-1,-1.0,-1.0,-1.0,-1
branching,14,0,-1,-1.0,-1.0,-1.0,-1
branching,15,5,1,3.73,0.6,0.0,1
branching,23,0,-1,-1.0,-1.0,-1.0,-1
branching,28,0,-1,-1.0,-1.0,-1.0,-1
branching,29,0,-1,-1.0,-1.0,-1.0,-1
branching,30,0,-1,-1.0,-1.0,-1.0,-1
branching,34,0,-1,-1.0,-1.0,-1.0,-1
branching,37,0,-1,-1.0,-1.0,-1.0,-1
branching,39,0,-1,-1.0,-1.0,-1.0,-1
branching,40,0,-1,-1.0,-1.0,-1.0,-1
branching,45,0,-1,-1.0,-1.0,-1.0,-1
branching,55,1,1,1.0,1.0,0.0,1
branching,59,0,-1,-1.0,-1.0,-1.0,-1
branching,61,10,1,1.0,0.14,0.0,1
branching,62,1,1,1.0,0.9,0.0,1
branching,67,2,1,1.24,0.85,0.0,1
branching,70,8,1,1.06,0.34,0.0,1
branching,72,1,1,1.0,1.0,0.0,1
branching,73,0,-1,-1.0,-1.0,-1.0,-1
branching,76,2,1,1.06,0.9,0.0,1
branching,85,1,1,1.0,1.0,0.0,1
branching,96,0,-1,-1.0,-1.0,-1.0,-1
branching,99,0,-1,-1.0,-1.0,-1.0,-1
branching,104,1,1,1.0,1.0,0.0,1
branching,105,0,-1,-1.0,-1.0,-1.0,-1
branching,108,0,-1,-1.0,-1.0,-1.0,-1
branching,113,0,-1,-1.0,-1.0,-1.0,-1
branching,114,6,1,5.34,1.0,0.7219,2
branching,122,12,1,1.33,0.12,0.0,1
branching,123,1,1,1.22,0.9,0.0,1
branching,128,18,1,4.82,1.0,0.7219,2
branching,129,0,-1,-1.0,-1.0,-1.0,-1
branching,131,4,1,1.07,0.375,0.0,1
branching,135,2,1,1.14,0.7,0.0,1
branching,138,0,-1,-1.0,-1.0,-1.0,-1
branching,140,0,-1,-1.0,-1.0,-1.0,-1
branching,141,0,-1,-1.0,-1.0,-1.0,-1
branching,142,0,-1,-1.0,-1.0,-1.0,-1
branching,144,0,-1,-1.0,-1.0,-1.0,-1
branching,145,0,-1,-1.0,-1.0,-1.0,-1
branching,149,0,-1,-1.0,-1.0,-1.0,-1
branching,153,0,-1,-1.0,-1.0,-1.0,-1
branching,159,9,1,2.6,1.0,0.7219,2
branching,173,0,-1,-1.0,-1.0,-1.0,-1
branching,174,0,-1,-1.0,-1.0,-1.0,-1
branching,175,0,-1,-1.0,-1.0,-1.0,-1
branching,177,0,-1,-1.0,-1.0,-1.0,-1
branching,181,0,-1,-1.0,-1.0,-1.0,-1
branching,186,1,1,1.0,0.9,0.0,1
branching,190,1,1,1.1,1.0,0.0,1
branching,196,2,1,1.0,0.5,1.0,2
branching,202,0,-1,-1.0,-1.0,-1.0,-1
branching,211,0,-1,-1.0,-1.0,-1.0,-1
branching,220,0,-1,-1.0,-1.0,-1.0,-1
branching,223,0,-1,-1.0,-1.0,-1.0,-1
branching,224,0,-1,-1.0,-1.0,-1.0,-1
branching,225,0,-1,-1.0,-1.0,-1.0,-1
branching,231,1,1,1.0,1.0,0.0,1
branching,234,1,1,1.12,0.8,0.0,1
branching,235,0,-1,-1.0,-1.0,-1.0,-1
branching,236,0,-1,-1.0,-1.0,-1.0,-1
branching,242,1,1,2.0,1.0,0.0,1
branching,244,0,-1,-1.0,-1.0,-1.0,-1
branching,245,0,-1,-1.0,-1.0,-1.0,-1
branching,246,0,-1,-1.0,-1.0,-1.0,-1
branching,248,1,1,1.0,0.5,0.0,1
