domain_1,domain_2,cluster_1,cluster_2,same_cluster,process_geometry_ks_distance
branching,cellular_automata,4,2,0,0.3561
branching,coupled_map_lattice,4,1,0,0.4137
branching,graph_diffusion,4,3,0,0.4231
branching,gray_scott,4,1,0,0.419
branching,kuramoto,4,2,0,0.3821
branching,lotka_volterra,4,2,0,0.3501
branching,nonlinear_oscillator,4,2,0,0.284
branching,population,4,3,0,0.307
branching,replicator,4,2,0,0.4111
cellular_automata,coupled_map_lattice,2,1,0,0.448
cellular_automata,graph_diffusion,2,3,0,0.5029
cellular_automata,gray_scott,2,1,0,0.4639
cellular_automata,kuramoto,2,2,1,0.3694
cellular_automata,lotka_volterra,2,2,1,0.3767
cellular_automata,nonlinear_oscillator,2,2,1,0.3387
cellular_automata,population,2,3,0,0.3381
cellular_automata,replicator,2,2,1,0.4357
coupled_map_lattice,graph_diffusion,1,3,0,0.5267
coupled_map_lattice,gray_scott,1,1,1,0.3903
coupled_map_lattice,kuramoto,1,2,0,0.4126
coupled_map_lattice,lotka_volterra,1,2,0,0.4021
coupled_map_lattice,nonlinear_oscillator,1,2,0,0.3249
coupled_map_lattice,population,1,3,0,0.3654
coupled_map_lattice,replicator,1,2,0,0.4421
graph_diffusion,gray_scott,3,1,0,0.4397
graph_diffusion,kuramoto,3,2,0,0.4437
graph_diffusion,lotka_volterra,3,2,0,0.4473
graph_diffusion,nonlinear_oscillator,3,2,0,0.3759
graph_diffusion,population,3,3,1,0.444
graph_diffusion,replicator,3,2,0,0.4566
gray_scott,kuramoto,1,2,0,0.3821
gray_scott,lotka_volterra,1,2,0,0.3479
gray_scott,nonlinear_oscillator,1,2,0,0.3626
gray_scott,population,1,3,0,0.4043
gray_scott,replicator,1,2,0,0.4616
kuramoto,lotka_volterra,2,2,1,0.2924
kuramoto,nonlinear_oscillator,2,2,1,0.3146
kuramoto,population,2,3,0,0.3281
kuramoto,replicator,2,2,1,0.3193
lotka_volterra,nonlinear_oscillator,2,2,1,0.2381
lotka_volterra,population,2,3,0,0.3243
lotka_volterra,replicator,2,2,1,0.3449
nonlinear_oscillator,population,2,3,0,0.2496
nonlinear_oscillator,replicator,2,2,1,0.323
population,replicator,3,2,0,0.3439
