domain,sys_idx,process_regime,transition_neighbor_fraction,transition_sharpness,org_gradient_predictive_shear,org_curvature_local_curvature,process_rigidity,is_near_transition
branching,0,CH,0.7,0.9002,0.8484,1.2633,0.3086,1
branching,1,CH,0.0,0.9162,0.001,0.1319,0.0363,0
branching,2,CH,0.0,1.293,0.0347,0.703,0.2417,0
branching,3,CH,0.0,2.4888,0.0035,0.1327,0.0042,0
branching,4,CH,0.0,1.3924,0.0046,0.0919,0.017,0
branching,5,CL,0.4667,1.1871,0.8863,0.704,0.35,1
branching,6,CG,0.1667,1.1219,0.5505,1.0421,0.2537,0
branching,7,CH,0.0,1.646,0.0028,0.0293,0.0064,0
branching,8,CH,0.0,1.6063,0.0033,0.0333,0.006,0
branching,9,CH,0.0,1.6324,0.0009,0.3003,0.0402,0
branching,10,CH,0.0,1.7746,0.0054,0.1106,0.0112,0
branching,11,CH,0.0,1.192,0.0108,0.1412,0.0223,0
branching,12,CH,0.0,1.4879,0.0033,0.0427,0.006,0
branching,13,CH,0.0,1.9209,0.0052,0.1474,0.007,0
branching,14,CG,0.0,4.3979,0.497,1.4714,0.2041,0
branching,15,CG,0.3667,0.3575,0.1146,0.5754,0.1787,1
branching,16,CH,0.0,2.6445,0.0038,0.0982,0.0038,0
branching,17,CH,0.0,1.6834,0.0033,0.0402,0.006,0
branching,18,CH,0.0,1.1697,0.0046,0.0701,0.0122,0
branching,19,CH,0.0,1.46,0.0467,0.849,0.2523,0
branching,20,CH,0.0,1.7417,0.0045,0.0664,0.0078,0
branching,21,CH,0.0,2.5801,0.0026,0.0704,0.0038,0
branching,22,CH,0.0,1.3939,0.0465,0.534,0.0622,0
branching,23,CG,0.0,1.0993,0.5868,1.1138,0.2728,0
branching,24,CH,0.0,1.2095,0.0014,0.0973,0.0281,0
branching,25,CH,0.0,1.269,0.0041,0.0974,0.0178,0
branching,26,CH,0.0,0.8853,0.0009,0.1509,0.0416,0
branching,27,CL,0.5333,1.393,0.9878,0.8401,0.3536,1
branching,28,CG,0.1667,1.2124,0.7107,1.1127,0.2861,0
branching,29,CG,0.0,3.2272,0.9619,0.7321,0.3298,0
branching,30,CG,0.0,2.8417,0.497,1.4724,0.2041,0
branching,31,CH,0.0,2.7163,0.0035,0.0456,0.0049,0
branching,32,CH,0.0,1.5844,0.0018,0.3854,0.0499,0
branching,33,CH,0.0,1.8795,0.0028,0.0738,0.0021,0
branching,34,CG,0.0,1.9841,0.197,0.5599,0.1675,0
branching,35,CH,0.0333,0.9803,0.03,0.2526,0.0313,0
branching,36,CH,0.0,2.4873,0.0025,0.1035,0.0032,0
branching,37,CG,0.0,3.8518,0.1643,0.5093,0.1781,0
branching,38,CH,0.0,0.8396,0.0113,0.1558,0.0228,0
branching,39,CG,0.0333,0.9002,0.8321,1.2689,0.2744,0
branching,40,CG,0.0333,0.8181,0.0007,0.102,0.0644,0
branching,41,CH,0.0,2.4549,0.0021,0.122,0.0028,0
branching,42,CL,0.4333,1.082,0.0288,0.4252,0.2458,1
branching,43,CH,0.0,2.5046,0.0047,0.1639,0.005,0
branching,44,CH,0.0,1.4875,0.0046,0.0582,0.0077,0
branching,45,CG,0.0,1.0311,0.413,1.0026,0.2186,0
branching,46,CH,0.0,1.2569,0.0025,0.1017,0.0211,0
branching,47,CH,0.0,0.9064,0.0064,0.1893,0.021,0
branching,48,CH,0.0,1.0764,0.0009,0.1538,0.0415,0
branching,49,CH,0.0,1.7037,0.0001,0.218,0.028,0
branching,50,CH,0.0,1.1518,0.0064,0.1747,0.0217,0
branching,51,CH,0.0,1.6703,0.0003,0.298,0.0282,0
branching,52,CH,0.0,1.6624,0.0001,0.2379,0.0264,0
branching,53,CH,0.0,1.3212,0.0037,0.0637,0.0129,0
branching,54,CH,0.0,1.6439,0.001,0.3486,0.0354,0
branching,55,CG,0.0333,1.4781,0.0584,0.6845,0.0461,0
branching,56,CL,0.4667,1.8094,0.8933,0.6879,0.3512,1
branching,57,CH,0.0,1.2941,0.0252,0.7722,0.1363,0
branching,58,CL,1.0,1.2783,0.4203,1.4836,0.1819,1
branching,59,CG,0.0,1.0452,0.0063,0.2112,0.0924,0
branching,60,CH,0.0,1.2074,0.038,0.3111,0.0369,0
branching,61,CG,0.6,0.424,0.0008,0.1234,0.05,1
branching,62,CG,0.0333,0.7958,0.1142,0.5713,0.1786,0
branching,63,CH,0.0,1.3695,0.0024,0.0391,0.0071,0
branching,64,CH,0.0,1.3537,0.0359,0.341,0.0347,0
branching,65,CH,0.0333,1.1651,0.0037,0.0457,0.0132,0
branching,66,CH,0.0,1.1838,0.0103,0.1702,0.0224,0
branching,67,CG,0.0667,0.3421,0.0053,0.1646,0.0937,0
branching,68,CH,0.0,1.6078,0.0012,0.3577,0.0367,0
branching,69,CH,0.0,2.5847,0.0034,0.0436,0.0048,0
branching,70,CG,0.4667,0.4465,0.0007,0.1298,0.0478,1
branching,71,CH,0.0,0.7235,0.0243,0.8487,0.0651,0
branching,72,CG,0.1,1.4867,0.0152,0.2907,0.0367,0
branching,73,CG,0.0,3.4472,0.0468,1.0848,0.0747,0
branching,74,CL,0.4333,1.2566,0.0284,0.4275,0.2412,1
branching,75,CH,0.6667,1.1217,0.0297,0.4906,0.2264,1
branching,76,CG,0.1667,0.2278,0.168,0.4675,0.1806,0
branching,77,CH,0.0,2.2923,0.0038,0.2483,0.0082,0
branching,78,CH,0.0,1.5214,0.0019,0.3111,0.0499,0
branching,79,CH,0.1667,0.4759,0.0702,0.5881,0.1118,0
branching,80,CH,0.0,1.2582,0.0059,0.2248,0.0214,0
branching,81,CH,0.0,1.2011,0.0108,0.1537,0.0232,0
branching,82,CH,0.6,1.2566,0.7656,1.56,0.2546,1
branching,83,CH,0.0,1.3882,0.0425,1.0138,0.0644,0
branching,84,CH,0.0,0.6476,0.0529,0.7783,0.0815,0
branching,85,CG,0.0333,1.2783,0.3771,0.8007,0.2673,0
branching,86,CL,0.7,0.7685,0.0309,0.4527,0.2481,1
branching,87,CH,0.0,1.3468,0.004,0.1124,0.0169,0
branching,88,CH,0.0,0.8247,0.0092,0.2225,0.0234,0
branching,89,CH,0.0,1.722,0.0001,0.2162,0.0279,0
branching,90,CH,0.0,0.8836,0.0012,0.1291,0.0367,0
branching,91,CH,0.0,2.7107,0.0024,0.1068,0.0026,0
branching,92,CH,0.0,1.2419,0.0108,0.1466,0.0222,0
branching,93,CH,0.0,0.9161,0.0087,0.1897,0.0231,0
branching,94,CH,0.0,1.5505,0.0002,0.2274,0.0338,0
branching,95,CH,0.0,1.6013,0.0001,0.2967,0.0148,0
branching,96,CG,0.0,5.6933,0.284,1.246,0.1736,0
branching,97,CH,0.0,1.2684,0.0247,0.5118,0.098,0
