domain,sys_idx,process_regime,transition_continuity,transition_curvature,transition_smoothness,transition_reversibility,transition_branching,transition_fragmentation
branching,0,CH,0.1187,1.2633,0.9956,0.6268,0.1699,0.5
branching,1,CH,0.0,0.1319,0.9989,0.5263,0.0555,0.25
branching,2,CH,0.0,0.703,0.9996,0.4627,0.0399,0.25
branching,3,CH,0.0,0.1327,0.9989,0.3323,0.0182,0.25
branching,4,CH,0.0,0.0919,0.9991,0.4575,0.0733,0.25
branching,5,CL,0.117,0.704,0.9558,0.0,0.5178,0.75
branching,6,CG,0.35,1.0421,0.9946,0.7302,0.0335,0.5
branching,7,CH,0.0,0.0293,0.9997,0.3968,0.0376,0.25
branching,8,CH,0.0,0.0333,0.9997,0.3963,0.0414,0.25
branching,9,CH,0.0,0.3003,0.9997,0.3947,0.0541,0.25
branching,10,CH,0.0,0.1106,0.9983,0.3962,0.0414,0.25
branching,11,CH,0.0,0.1412,0.9995,0.4656,0.0174,0.25
branching,12,CH,0.0,0.0427,0.9995,0.3986,0.0208,0.25
branching,13,CH,0.0,0.1474,0.9987,0.3949,0.0524,0.25
branching,14,CG,0.0,1.4714,0.9964,0.2,0.7553,0.25
branching,15,CG,0.0519,0.5754,0.9972,0.5986,0.0182,0.5
branching,16,CH,0.0,0.0982,0.9979,0.3268,0.0713,0.25
branching,17,CH,0.0,0.0402,0.9996,0.3991,0.0157,0.25
branching,18,CH,0.0,0.0701,0.9995,0.4649,0.0222,0.25
branching,19,CH,0.0,0.849,0.9994,0.462,0.0446,0.25
branching,20,CH,0.0,0.0664,0.9998,0.3962,0.0423,0.25
branching,21,CH,0.0,0.0704,0.9977,0.3311,0.0318,0.25
branching,22,CH,0.0,0.534,0.9997,0.4625,0.0413,0.25
branching,23,CG,0.0,1.1138,0.9987,0.6593,0.0562,0.25
branching,24,CH,0.0,0.0973,0.9996,0.4618,0.0466,0.25
branching,25,CH,0.0,0.0974,0.9997,0.463,0.0378,0.25
branching,26,CH,0.0,0.1509,0.9989,0.5217,0.0801,0.25
branching,27,CL,0.0696,0.8401,0.9777,0.0,0.5357,0.75
branching,28,CG,0.35,1.1127,0.9946,0.7299,0.0345,0.5
branching,29,CG,0.0,0.7321,0.9985,0.2,0.7622,0.25
branching,30,CG,0.0,1.4724,0.9985,0.2,0.7622,0.25
branching,31,CH,0.0,0.0456,0.9982,0.3289,0.0536,0.25
branching,32,CH,0.0,0.3854,0.9995,0.3965,0.0404,0.25
branching,33,CH,0.0,0.0738,0.9975,0.3966,0.0371,0.25
branching,34,CG,0.0,0.5599,0.9988,0.3333,0.7622,0.25
branching,35,CH,0.7892,0.2526,0.999,0.4628,0.038,0.5
branching,36,CH,0.0,0.1035,0.9987,0.3302,0.0416,0.25
branching,37,CG,0.0,0.5093,0.9981,0.2,0.7591,0.25
branching,38,CH,0.0,0.1558,0.9989,0.5295,0.0357,0.25
branching,39,CG,0.7892,1.2689,0.9974,0.6497,0.0977,0.5
branching,40,CG,0.7892,0.102,0.9982,0.5999,0.0153,0.5
branching,41,CH,0.0,0.122,0.9978,0.331,0.0332,0.25
branching,42,CL,0.2702,0.4252,0.9445,0.0,0.5071,0.75
branching,43,CH,0.0,0.1639,0.9983,0.3278,0.0637,0.25
branching,44,CH,0.0,0.0582,0.9996,0.3988,0.0185,0.25
branching,45,CG,0.0,1.0026,0.9985,0.6625,0.0415,0.25
branching,46,CH,0.0,0.1017,0.9996,0.4654,0.0186,0.25
branching,47,CH,0.0,0.1893,0.9988,0.5317,0.0202,0.25
branching,48,CH,0.0,0.1538,0.9995,0.4625,0.0422,0.25
branching,49,CH,0.0,0.218,0.9995,0.3985,0.0218,0.25
branching,50,CH,0.0,0.1747,0.9995,0.4602,0.0571,0.25
branching,51,CH,0.0,0.298,0.9997,0.3952,0.0509,0.25
branching,52,CH,0.0,0.2379,0.9995,0.3986,0.0208,0.25
branching,53,CH,0.0,0.0637,0.9997,0.4625,0.041,0.25
branching,54,CH,0.0,0.3486,0.9997,0.3955,0.0479,0.25
branching,55,CG,0.7892,0.6845,0.9954,0.4,0.7622,0.5
branching,56,CL,0.1969,0.6879,0.9527,0.0,0.5151,0.75
branching,57,CH,0.0,0.7722,0.9997,0.4639,0.031,0.25
branching,58,CL,0.531,1.4836,0.9916,0.4,0.0,0.5
branching,59,CG,0.0,0.2112,0.9985,0.6651,0.0256,0.25
branching,60,CH,0.0,0.3111,0.9995,0.4654,0.0182,0.25
branching,61,CG,0.029,0.1234,0.9977,0.5201,0.0931,0.5
branching,62,CG,0.7892,0.5713,0.9982,0.5984,0.0271,0.5
branching,63,CH,0.0,0.0391,0.9996,0.3987,0.0204,0.25
branching,64,CH,0.0,0.341,0.9996,0.4601,0.0576,0.25
branching,65,CH,0.7892,0.0457,0.9983,0.3953,0.0489,0.5
branching,66,CH,0.0,0.1702,0.9995,0.4655,0.0176,0.25
branching,67,CG,0.6466,0.1646,0.9983,0.5786,0.1209,0.5
branching,68,CH,0.0,0.3577,0.9997,0.3972,0.0344,0.25
branching,69,CH,0.0,0.0436,0.9978,0.3313,0.0297,0.25
branching,70,CG,0.0032,0.1298,0.9973,0.5134,0.1237,0.5
branching,71,CH,0.0,0.8487,0.9989,0.5297,0.0348,0.25
branching,72,CG,0.6462,0.2907,0.9878,0.4667,0.7622,0.75
branching,73,CG,0.0,1.0848,0.9944,0.4,0.7544,0.25
branching,74,CL,0.0129,0.4275,0.9461,0.0,0.5107,0.5
branching,75,CH,0.0277,0.4906,0.9473,0.4878,0.4157,0.75
branching,76,CG,0.35,0.4675,0.998,0.5893,0.0751,0.5
branching,77,CH,0.0,0.2483,0.999,0.3311,0.0325,0.25
branching,78,CH,0.0,0.3111,0.9996,0.3996,0.0095,0.25
branching,79,CH,0.35,0.5881,0.9978,0.5276,0.0502,0.5
branching,80,CH,0.0,0.2248,0.9993,0.4644,0.0273,0.25
branching,81,CH,0.0,0.1537,0.9995,0.466,0.0133,0.25
branching,82,CH,0.2702,1.56,0.9456,0.2449,0.4931,0.75
branching,83,CH,0.0,1.0138,0.9994,0.4636,0.0331,0.25
branching,84,CH,0.0,0.7783,0.999,0.5302,0.0319,0.25
branching,85,CG,0.7892,0.8007,0.9949,0.4,0.7622,0.5
branching,86,CL,0.0206,0.4527,0.9727,0.0,0.7241,0.75
branching,87,CH,0.0,0.1124,0.9994,0.4556,0.0842,0.25
branching,88,CH,0.0,0.2225,0.9989,0.5254,0.0604,0.25
