operator_A,operator_B,domain_A,domain_B,cg_rate_A,cg_rate_B,comp_cg_rate,comp_continuity,comp_reversibility,cg_preservation_ratio,preserves_CG
additive,multiplicative,coupled_map_lattice,gray_scott,0.168,0.35,0.259,0.2326,0.4967,0.74,0
additive,multiplicative,coupled_map_lattice,graph_diffusion,0.168,0.0,0.084,0.1642,0.131,0.5,0
additive,multiplicative,graph_diffusion,gray_scott,0.0,0.35,0.175,0.221,0.3665,0.5,0
additive,branching,coupled_map_lattice,lotka_volterra,0.168,0.0,0.084,0.1261,0.183,0.5,0
additive,branching,coupled_map_lattice,cellular_automata,0.168,0.0,0.084,0.1972,0.1729,0.5,0
additive,branching,graph_diffusion,lotka_volterra,0.0,0.0,0.0,0.1145,0.0528,0.0,0
additive,branching,graph_diffusion,cellular_automata,0.0,0.0,0.0,0.1856,0.0426,0.0,0
additive,synchronization,coupled_map_lattice,graph_diffusion,0.168,0.0,0.084,0.1642,0.131,0.5,0
additive,synchronization,graph_diffusion,coupled_map_lattice,0.0,0.168,0.084,0.1642,0.131,0.5,0
additive,recursive_feedback,coupled_map_lattice,gray_scott,0.168,0.35,0.259,0.2326,0.4967,0.74,0
additive,recursive_feedback,coupled_map_lattice,kuramoto,0.168,0.358,0.263,0.2038,0.4255,0.7346,0
additive,recursive_feedback,graph_diffusion,gray_scott,0.0,0.35,0.175,0.221,0.3665,0.5,0
additive,recursive_feedback,graph_diffusion,kuramoto,0.0,0.358,0.179,0.1922,0.2952,0.5,0
additive,competitive_exclusion,coupled_map_lattice,graph_diffusion,0.168,0.0,0.084,0.1642,0.131,0.5,0
additive,competitive_exclusion,coupled_map_lattice,replicator,0.168,0.0,0.084,0.1291,0.1406,0.5,0
additive,competitive_exclusion,graph_diffusion,replicator,0.0,0.0,0.0,0.1175,0.0104,0.0,0
additive,diffusion,coupled_map_lattice,cellular_automata,0.168,0.0,0.084,0.1972,0.1729,0.5,0
additive,diffusion,graph_diffusion,cellular_automata,0.0,0.0,0.0,0.1856,0.0426,0.0,0
additive,diffusion,graph_diffusion,coupled_map_lattice,0.0,0.168,0.084,0.1642,0.131,0.5,0
additive,hierarchical_nesting,coupled_map_lattice,population,0.168,0.238,0.203,0.191,0.3137,0.8529,1
additive,hierarchical_nesting,graph_diffusion,population,0.0,0.238,0.119,0.1794,0.1835,0.5,0
additive,hierarchical_nesting,graph_diffusion,coupled_map_lattice,0.0,0.168,0.084,0.1642,0.131,0.5,0
additive,constraint_propagation,coupled_map_lattice,cellular_automata,0.168,0.0,0.084,0.1972,0.1729,0.5,0
additive,constraint_propagation,graph_diffusion,coupled_map_lattice,0.0,0.168,0.084,0.1642,0.131,0.5,0
additive,constraint_propagation,graph_diffusion,cellular_automata,0.0,0.0,0.0,0.1856,0.0426,0.0,0
additive,resonance_locking,coupled_map_lattice,gray_scott,0.168,0.35,0.259,0.2326,0.4967,0.74,0
additive,resonance_locking,coupled_map_lattice,kuramoto,0.168,0.358,0.263,0.2038,0.4255,0.7346,0
additive,resonance_locking,graph_diffusion,gray_scott,0.0,0.35,0.175,0.221,0.3665,0.5,0
additive,resonance_locking,graph_diffusion,kuramoto,0.0,0.358,0.179,0.1922,0.2952,0.5,0
multiplicative,branching,gray_scott,lotka_volterra,0.35,0.0,0.175,0.1829,0.4185,0.5,0
multiplicative,branching,gray_scott,cellular_automata,0.35,0.0,0.175,0.2541,0.4083,0.5,0
multiplicative,branching,graph_diffusion,lotka_volterra,0.0,0.0,0.0,0.1145,0.0528,0.0,0
multiplicative,branching,graph_diffusion,cellular_automata,0.0,0.0,0.0,0.1856,0.0426,0.0,0
multiplicative,synchronization,gray_scott,graph_diffusion,0.35,0.0,0.175,0.221,0.3665,0.5,0
