domain,op_additive,op_multiplicative,op_branching,op_synchronization,op_recursive_feedback,op_competitive_exclusion,op_diffusion,op_hierarchical_nesting,op_constraint_propagation,op_resonance_locking,dominant_operator
branching,0.2184971527835837,0.05110374492184809,0.2093154882793265,0.7830583388077126,0.562775293651119,0.49801770461022343,0.8407397103265024,0.532769754256913,0.030444664102256692,0.6479610329510239,op_diffusion
cellular_automata,0.49426376464249566,0.013558369698065134,0.6738944766149021,0.2867033184302672,0.11443218334222148,0.6699866014247671,1.0,0.6351804915234098,0.2637897286424645,0.1339463661053969,op_diffusion
coupled_map_lattice,1.0,0.25094072225951936,0.4851377858586509,0.9870910957899373,0.3561518371142196,0.39697390612068983,1.0,0.7165519561564164,1.0,0.36688031956963324,op_additive
graph_diffusion,0.9913831062062817,0.7958478039144804,0.0,1.0,0.0,0.9999999999999998,0.04568758120234828,0.6915195927259348,0.0,0.0,op_synchronization
gray_scott,0.6176480970561734,1.0,0.30751562096421187,0.8394104253432917,0.9999999999999999,0.0,1.0,0.7115256764722848,0.0020203799730252035,1.0,op_multiplicative
kuramoto,0.6150823509739989,0.023674462490532257,0.29847300234073515,0.19505902762275884,0.8052328014111659,0.062383750065509336,1.0,0.41026334072621484,0.010628761206667453,0.8604555273621406,op_diffusion
lotka_volterra,0.12191102564817138,0.0,0.9999999999999999,0.7310559917342196,0.1422283299831808,0.848277975069178,0.7687936171767535,0.041051491410308616,6.754672220117172e-05,0.18092897875265035,op_branching
nonlinear_oscillator,0.5951639123447502,0.023690466200165256,0.04603072079153929,0.6968480333692626,0.2516415747084,0.7512237019231682,0.0,0.5669560482480345,0.001966708913396898,0.30123045007990434,op_competitive_exclusion
population,0.9558491021746602,0.1405042325105006,0.14217889889769209,0.23029701959933924,0.49955012238312063,0.6936292349194935,0.8694900812939699,0.9999999999999998,0.04799562256193783,0.5439454319485768,op_hierarchical_nesting
replicator,0.0,0.09672870726606073,0.13486651080456602,0.0,0.026155802600812236,0.9788555193202442,1.0,0.0,0.000819684784585229,0.034395151801263,op_diffusion
