domain_A,domain_B,operator_A,operator_B,classification,geo_survival,cg_survival,coh_survival,fer_survival,comp_cg_rate
coupled_map_lattice,gray_scott,additive,multiplicative,maintained_CG,0.6784,0.74,0.9966,0.9211,0.74
coupled_map_lattice,graph_diffusion,additive,multiplicative,mixed_collapse,0.5015,0.5,0.9127,0.5015,0.5
graph_diffusion,gray_scott,additive,multiplicative,mixed_collapse,0.5005,0.5,0.9156,0.5013,0.5
coupled_map_lattice,lotka_volterra,additive,branching,mixed_collapse,0.7006,0.5,0.9443,0.8196,0.5
coupled_map_lattice,cellular_automata,additive,branching,mixed_collapse,0.6617,0.5,0.9826,0.5106,0.5
graph_diffusion,lotka_volterra,additive,branching,mixed_collapse,0.5038,0.0,0.9645,0.501,0.0
graph_diffusion,cellular_automata,additive,branching,dead_coherence,0.5047,0.0,0.9276,0.1484,0.0
coupled_map_lattice,graph_diffusion,additive,synchronization,mixed_collapse,0.5015,0.5,0.9127,0.5015,0.5
graph_diffusion,coupled_map_lattice,additive,synchronization,mixed_collapse,0.5015,0.5,0.9127,0.5015,0.5
coupled_map_lattice,gray_scott,additive,recursive_feedback,maintained_CG,0.6784,0.74,0.9966,0.9211,0.74
coupled_map_lattice,kuramoto,additive,recursive_feedback,maintained_CG,0.7215,0.7346,0.9805,0.7749,0.7346
graph_diffusion,gray_scott,additive,recursive_feedback,mixed_collapse,0.5005,0.5,0.9156,0.5013,0.5
graph_diffusion,kuramoto,additive,recursive_feedback,mixed_collapse,0.5007,0.5,0.9295,0.5008,0.5
coupled_map_lattice,graph_diffusion,additive,competitive_exclusion,mixed_collapse,0.5015,0.5,0.9127,0.5015,0.5
coupled_map_lattice,replicator,additive,competitive_exclusion,mixed_collapse,0.5381,0.5,0.9964,0.5684,0.5
graph_diffusion,replicator,additive,competitive_exclusion,mixed_collapse,0.52,0.0,0.9157,0.5112,0.0
coupled_map_lattice,cellular_automata,additive,diffusion,mixed_collapse,0.6617,0.5,0.9826,0.5106,0.5
graph_diffusion,cellular_automata,additive,diffusion,dead_coherence,0.5047,0.0,0.9276,0.1484,0.0
graph_diffusion,coupled_map_lattice,additive,diffusion,mixed_collapse,0.5015,0.5,0.9127,0.5015,0.5
coupled_map_lattice,population,additive,hierarchical_nesting,maintained_CG,0.8568,0.8529,0.9983,0.8822,0.8529
graph_diffusion,population,additive,hierarchical_nesting,mixed_collapse,0.5011,0.5,0.9113,0.502,0.5
graph_diffusion,coupled_map_lattice,additive,hierarchical_nesting,mixed_collapse,0.5015,0.5,0.9127,0.5015,0.5
coupled_map_lattice,cellular_automata,additive,constraint_propagation,mixed_collapse,0.6617,0.5,0.9826,0.5106,0.5
graph_diffusion,coupled_map_lattice,additive,constraint_propagation,mixed_collapse,0.5015,0.5,0.9127,0.5015,0.5
graph_diffusion,cellular_automata,additive,constraint_propagation,dead_coherence,0.5047,0.0,0.9276,0.1484,0.0
coupled_map_lattice,gray_scott,additive,resonance_locking,maintained_CG,0.6784,0.74,0.9966,0.9211,0.74
coupled_map_lattice,kuramoto,additive,resonance_locking,maintained_CG,0.7215,0.7346,0.9805,0.7749,0.7346
graph_diffusion,gray_scott,additive,resonance_locking,mixed_collapse,0.5005,0.5,0.9156,0.5013,0.5
graph_diffusion,kuramoto,additive,resonance_locking,mixed_collapse,0.5007,0.5,0.9295,0.5008,0.5
gray_scott,lotka_volterra,multiplicative,branching,mixed_collapse,0.5716,0.5,0.9474,0.8795,0.5
gray_scott,cellular_automata,multiplicative,branching,mixed_collapse,0.5577,0.5,0.986,0.509,0.5
graph_diffusion,lotka_volterra,multiplicative,branching,mixed_collapse,0.5038,0.0,0.9645,0.501,0.0
graph_diffusion,cellular_automata,multiplicative,branching,dead_coherence,0.5047,0.0,0.9276,0.1484,0.0
gray_scott,graph_diffusion,multiplicative,synchronization,mixed_collapse,0.5005,0.5,0.9156,0.5013,0.5
gray_scott,coupled_map_lattice,multiplicative,synchronization,maintained_CG,0.6784,0.74,0.9966,0.9211,0.74
graph_diffusion,coupled_map_lattice,multiplicative,synchronization,mixed_collapse,0.5015,0.5,0.9127,0.5015,0.5
gray_scott,kuramoto,multiplicative,recursive_feedback,maintained_CG,0.9027,0.9888,0.9838,0.8264,0.9888
graph_diffusion,gray_scott,multiplicative,recursive_feedback,mixed_collapse,0.5005,0.5,0.9156,0.5013,0.5
graph_diffusion,kuramoto,multiplicative,recursive_feedback,mixed_collapse,0.5007,0.5,0.9295,0.5008,0.5
gray_scott,graph_diffusion,multiplicative,competitive_exclusion,mixed_collapse,0.5005,0.5,0.9156,0.5013,0.5
gray_scott,replicator,multiplicative,competitive_exclusion,mixed_collapse,0.5136,0.5,0.9999,0.5576,0.5
graph_diffusion,replicator,multiplicative,competitive_exclusion,mixed_collapse,0.52,0.0,0.9157,0.5112,0.0
gray_scott,cellular_automata,multiplicative,diffusion,mixed_collapse,0.5577,0.5,0.986,0.509,0.5
gray_scott,coupled_map_lattice,multiplicative,diffusion,maintained_CG,0.6784,0.74,0.9966,0.9211,0.74
graph_diffusion,cellular_automata,multiplicative,diffusion,dead_coherence,0.5047,0.0,0.9276,0.1484,0.0
graph_diffusion,coupled_map_lattice,multiplicative,diffusion,mixed_collapse,0.5015,0.5,0.9127,0.5015,0.5
gray_scott,population,multiplicative,hierarchical_nesting,maintained_CG,0.75,0.84,0.9949,0.8219,0.84
gray_scott,coupled_map_lattice,multiplicative,hierarchical_nesting,maintained_CG,0.6784,0.74,0.9966,0.9211,0.74
graph_diffusion,population,multiplicative,hierarchical_nesting,mixed_collapse,0.5011,0.5,0.9113,0.502,0.5
graph_diffusion,coupled_map_lattice,multiplicative,hierarchical_nesting,mixed_collapse,0.5015,0.5,0.9127,0.5015,0.5
gray_scott,coupled_map_lattice,multiplicative,constraint_propagation,maintained_CG,0.6784,0.74,0.9966,0.9211,0.74
gray_scott,cellular_automata,multiplicative,constraint_propagation,mixed_collapse,0.5577,0.5,0.986,0.509,0.5
graph_diffusion,coupled_map_lattice,multiplicative,constraint_propagation,mixed_collapse,0.5015,0.5,0.9127,0.5015,0.5
graph_diffusion,cellular_automata,multiplicative,constraint_propagation,dead_coherence,0.5047,0.0,0.9276,0.1484,0.0
gray_scott,kuramoto,multiplicative,resonance_locking,maintained_CG,0.9027,0.9888,0.9838,0.8264,0.9888
graph_diffusion,gray_scott,multiplicative,resonance_locking,mixed_collapse,0.5005,0.5,0.9156,0.5013,0.5
graph_diffusion,kuramoto,multiplicative,resonance_locking,mixed_collapse,0.5007,0.5,0.9295,0.5008,0.5
lotka_volterra,graph_diffusion,branching,synchronization,mixed_collapse,0.5038,0.0,0.9645,0.501,0.0
lotka_volterra,coupled_map_lattice,branching,synchronization,mixed_collapse,0.7006,0.5,0.9443,0.8196,0.5
cellular_automata,graph_diffusion,branching,synchronization,dead_coherence,0.5047,0.0,0.9276,0.1484,0.0
cellular_automata,coupled_map_lattice,branching,synchronization,mixed_collapse,0.6617,0.5,0.9826,0.5106,0.5
