operator,n_compositions,cg_conservation_mean,cg_conservation_std,cg_rate_retention,identity_conservation,cg_in_identity_chains,form_function_gap
additive,29,0.467,0.241,0.1212,,,0.1058
multiplicative,31,0.5006,0.2665,0.1595,,,0.0722
branching,34,0.3235,0.2425,0.0836,,,0.2892
synchronization,29,0.467,0.241,0.1212,,,0.1058
recursive_feedback,33,0.6367,0.1667,0.2258,,,-0.0049
competitive_exclusion,33,0.3333,0.2394,0.0862,,,0.1918
diffusion,30,0.4514,0.2517,0.1172,,,0.166
hierarchical_nesting,32,0.6339,0.1581,0.1694,,,0.0232
constraint_propagation,30,0.4514,0.2517,0.1172,,,0.166
resonance_locking,33,0.6367,0.1667,0.2258,,,-0.0049
