domain_A,domain_B,cg_a_first,cg_b_first,composition_symmetry,classification
cellular_automata,coupled_map_lattice,0.5,0.5,1.0,mixed_collapse
cellular_automata,graph_diffusion,0.0,0.0,1.0,dead_coherence
cellular_automata,gray_scott,0.5,0.5,1.0,mixed_collapse
cellular_automata,kuramoto,0.5,0.5,1.0,mixed_collapse
cellular_automata,population,0.5,0.5,1.0,mixed_collapse
coupled_map_lattice,cellular_automata,0.5,0.5,1.0,mixed_collapse
coupled_map_lattice,graph_diffusion,0.5,0.5,1.0,mixed_collapse
coupled_map_lattice,gray_scott,0.74,0.74,1.0,maintained_CG
coupled_map_lattice,kuramoto,0.7346,0.7346,1.0,maintained_CG
coupled_map_lattice,population,0.8529,0.8529,1.0,maintained_CG
coupled_map_lattice,replicator,0.5,0.5,1.0,mixed_collapse
graph_diffusion,cellular_automata,0.0,0.0,1.0,dead_coherence
graph_diffusion,coupled_map_lattice,0.5,0.5,1.0,mixed_collapse
graph_diffusion,gray_scott,0.5,0.5,1.0,mixed_collapse
graph_diffusion,kuramoto,0.5,0.5,1.0,mixed_collapse
graph_diffusion,lotka_volterra,0.0,0.0,1.0,mixed_collapse
graph_diffusion,population,0.5,0.5,1.0,mixed_collapse
graph_diffusion,replicator,0.0,0.0,1.0,mixed_collapse
gray_scott,cellular_automata,0.5,0.5,1.0,mixed_collapse
gray_scott,coupled_map_lattice,0.74,0.74,1.0,maintained_CG
gray_scott,graph_diffusion,0.5,0.5,1.0,mixed_collapse
gray_scott,kuramoto,0.9888,0.9888,1.0,maintained_CG
gray_scott,population,0.84,0.84,1.0,maintained_CG
gray_scott,replicator,0.5,0.5,1.0,mixed_collapse
kuramoto,cellular_automata,0.5,0.5,1.0,mixed_collapse
kuramoto,coupled_map_lattice,0.7346,0.7346,1.0,maintained_CG
lotka_volterra,cellular_automata,0.0,0.0,1.0,mixed_collapse
lotka_volterra,coupled_map_lattice,0.5,0.5,1.0,mixed_collapse
lotka_volterra,graph_diffusion,0.0,0.0,1.0,mixed_collapse
lotka_volterra,gray_scott,0.5,0.5,1.0,mixed_collapse
lotka_volterra,kuramoto,0.5,0.5,1.0,mixed_collapse
replicator,cellular_automata,0.0,0.0,1.0,mixed_collapse
replicator,coupled_map_lattice,0.5,0.5,1.0,mixed_collapse
