domain_A,domain_B,operator_A,operator_B,property,val_A,val_B,comp_val,invariance
coupled_map_lattice,gray_scott,additive,multiplicative,cg_rate,0.168,0.35,0.259,0.74
coupled_map_lattice,gray_scott,additive,multiplicative,mean_coherence,0.5952,0.5911,0.5932,0.9966
coupled_map_lattice,gray_scott,additive,multiplicative,mean_fertility,0.1219,0.1448,0.1334,0.9211
coupled_map_lattice,gray_scott,additive,multiplicative,mean_reversibility,0.2613,0.7321,0.4967,0.6784
coupled_map_lattice,gray_scott,additive,multiplicative,mean_recursive_closure,0.2613,0.7321,0.4967,0.6784
coupled_map_lattice,gray_scott,additive,multiplicative,mean_continuity,0.846,0.9054,0.8757,0.9672
coupled_map_lattice,gray_scott,additive,multiplicative,mean_reconstruction,0.8314,0.9582,0.8948,0.9338
coupled_map_lattice,graph_diffusion,additive,multiplicative,cg_rate,0.168,0.0,0.084,0.5
coupled_map_lattice,graph_diffusion,additive,multiplicative,mean_coherence,0.5952,0.4913,0.5433,0.9127
coupled_map_lattice,graph_diffusion,additive,multiplicative,mean_fertility,0.1219,0.0004,0.0612,0.5015
coupled_map_lattice,graph_diffusion,additive,multiplicative,mean_reversibility,0.2613,0.0008,0.131,0.5015
coupled_map_lattice,graph_diffusion,additive,multiplicative,mean_recursive_closure,0.2613,0.0008,0.131,0.5015
coupled_map_lattice,graph_diffusion,additive,multiplicative,mean_continuity,0.846,0.9917,0.9189,0.9265
coupled_map_lattice,graph_diffusion,additive,multiplicative,mean_reconstruction,0.8314,0.0,0.4157,0.5
graph_diffusion,gray_scott,additive,multiplicative,cg_rate,0.0,0.35,0.175,0.5
graph_diffusion,gray_scott,additive,multiplicative,mean_coherence,0.4913,0.5911,0.5412,0.9156
graph_diffusion,gray_scott,additive,multiplicative,mean_fertility,0.0004,0.1448,0.0726,0.5013
graph_diffusion,gray_scott,additive,multiplicative,mean_reversibility,0.0008,0.7321,0.3665,0.5005
graph_diffusion,gray_scott,additive,multiplicative,mean_recursive_closure,0.0008,0.7321,0.3665,0.5005
graph_diffusion,gray_scott,additive,multiplicative,mean_continuity,0.9917,0.9054,0.9486,0.9565
graph_diffusion,gray_scott,additive,multiplicative,mean_reconstruction,0.0,0.9582,0.4791,0.5
coupled_map_lattice,lotka_volterra,additive,branching,cg_rate,0.168,0.0,0.084,0.5
coupled_map_lattice,lotka_volterra,additive,branching,mean_coherence,0.5952,0.5289,0.5621,0.9443
coupled_map_lattice,lotka_volterra,additive,branching,mean_fertility,0.1219,0.1908,0.1564,0.8196
coupled_map_lattice,lotka_volterra,additive,branching,mean_reversibility,0.2613,0.1048,0.183,0.7006
coupled_map_lattice,lotka_volterra,additive,branching,mean_recursive_closure,0.2613,0.1048,0.183,0.7006
coupled_map_lattice,lotka_volterra,additive,branching,mean_continuity,0.846,0.9536,0.8998,0.9436
coupled_map_lattice,lotka_volterra,additive,branching,mean_reconstruction,0.8314,0.0,0.4157,0.5
coupled_map_lattice,cellular_automata,additive,branching,cg_rate,0.168,0.0,0.084,0.5
coupled_map_lattice,cellular_automata,additive,branching,mean_coherence,0.5952,0.5745,0.5849,0.9826
coupled_map_lattice,cellular_automata,additive,branching,mean_fertility,0.1219,0.0026,0.0623,0.5106
coupled_map_lattice,cellular_automata,additive,branching,mean_reversibility,0.2613,0.0845,0.1729,0.6617
coupled_map_lattice,cellular_automata,additive,branching,mean_recursive_closure,0.2613,0.0845,0.1729,0.6617
coupled_map_lattice,cellular_automata,additive,branching,mean_continuity,0.846,0.9465,0.8963,0.9469
coupled_map_lattice,cellular_automata,additive,branching,mean_reconstruction,0.8314,0.0,0.4157,0.5
graph_diffusion,lotka_volterra,additive,branching,cg_rate,0.0,0.0,0.0,1.0
graph_diffusion,lotka_volterra,additive,branching,mean_coherence,0.4913,0.5289,0.5101,0.9645
graph_diffusion,lotka_volterra,additive,branching,mean_fertility,0.0004,0.1908,0.0956,0.501
graph_diffusion,lotka_volterra,additive,branching,mean_reversibility,0.0008,0.1048,0.0528,0.5038
graph_diffusion,lotka_volterra,additive,branching,mean_recursive_closure,0.0008,0.1048,0.0528,0.5038
graph_diffusion,lotka_volterra,additive,branching,mean_continuity,0.9917,0.9536,0.9727,0.9808
graph_diffusion,lotka_volterra,additive,branching,mean_reconstruction,0.0,0.0,0.0,1.0
graph_diffusion,cellular_automata,additive,branching,cg_rate,0.0,0.0,0.0,1.0
graph_diffusion,cellular_automata,additive,branching,mean_coherence,0.4913,0.5745,0.5329,0.9276
graph_diffusion,cellular_automata,additive,branching,mean_fertility,0.0004,0.0026,0.0015,0.5717
graph_diffusion,cellular_automata,additive,branching,mean_reversibility,0.0008,0.0845,0.0426,0.5047
