domain_A,domain_B,operator_A,operator_B,property,val_A,val_B,identity_retention
coupled_map_lattice,gray_scott,additive,multiplicative,recursive_continuity,0.846,0.9054,0.9344
coupled_map_lattice,gray_scott,additive,multiplicative,reconstruction_ability,0.1397,0.3047,0.4583
coupled_map_lattice,gray_scott,additive,multiplicative,org_memory,0.2613,0.7321,0.3569
coupled_map_lattice,gray_scott,additive,multiplicative,transition_smoothness,0.9998,0.9996,0.9999
coupled_map_lattice,gray_scott,additive,multiplicative,closure_persistence,0.2613,0.7321,0.3569
coupled_map_lattice,gray_scott,additive,multiplicative,trajectory_coherence,0.0049,0.0183,0.267
coupled_map_lattice,gray_scott,additive,multiplicative,recursive_identity_score,0.2902,0.4857,0.5975
coupled_map_lattice,graph_diffusion,additive,multiplicative,recursive_continuity,0.846,0.9917,0.8531
coupled_map_lattice,graph_diffusion,additive,multiplicative,reconstruction_ability,0.1397,0.0,0.0
coupled_map_lattice,graph_diffusion,additive,multiplicative,org_memory,0.2613,0.0008,0.0031
coupled_map_lattice,graph_diffusion,additive,multiplicative,transition_smoothness,0.9998,1.0,0.9998
coupled_map_lattice,graph_diffusion,additive,multiplicative,closure_persistence,0.2613,0.0008,0.0031
coupled_map_lattice,graph_diffusion,additive,multiplicative,trajectory_coherence,0.0049,0.0,0.0
coupled_map_lattice,graph_diffusion,additive,multiplicative,recursive_identity_score,0.2902,0.1985,0.684
graph_diffusion,gray_scott,additive,multiplicative,recursive_continuity,0.9917,0.9054,0.9129
graph_diffusion,gray_scott,additive,multiplicative,reconstruction_ability,0.0,0.3047,0.0
graph_diffusion,gray_scott,additive,multiplicative,org_memory,0.0008,0.7321,0.0011
graph_diffusion,gray_scott,additive,multiplicative,transition_smoothness,1.0,0.9996,0.9996
graph_diffusion,gray_scott,additive,multiplicative,closure_persistence,0.0008,0.7321,0.0011
graph_diffusion,gray_scott,additive,multiplicative,trajectory_coherence,0.0,0.0183,0.0
graph_diffusion,gray_scott,additive,multiplicative,recursive_identity_score,0.1985,0.4857,0.4087
coupled_map_lattice,lotka_volterra,additive,branching,recursive_continuity,0.846,0.9536,0.8872
coupled_map_lattice,lotka_volterra,additive,branching,reconstruction_ability,0.1397,0.0,0.0
coupled_map_lattice,lotka_volterra,additive,branching,org_memory,0.2613,0.1048,0.4012
coupled_map_lattice,lotka_volterra,additive,branching,transition_smoothness,0.9998,0.9999,0.9999
coupled_map_lattice,lotka_volterra,additive,branching,closure_persistence,0.2613,0.1048,0.4012
coupled_map_lattice,lotka_volterra,additive,branching,trajectory_coherence,0.0049,0.0,0.0
coupled_map_lattice,lotka_volterra,additive,branching,recursive_identity_score,0.2902,0.2169,0.7474
coupled_map_lattice,cellular_automata,additive,branching,recursive_continuity,0.846,0.9465,0.8938
coupled_map_lattice,cellular_automata,additive,branching,reconstruction_ability,0.1397,0.0,0.0
coupled_map_lattice,cellular_automata,additive,branching,org_memory,0.2613,0.0845,0.3234
coupled_map_lattice,cellular_automata,additive,branching,transition_smoothness,0.9998,1.0,0.9998
coupled_map_lattice,cellular_automata,additive,branching,closure_persistence,0.2613,0.0845,0.3234
coupled_map_lattice,cellular_automata,additive,branching,trajectory_coherence,0.0049,0.0,0.0
coupled_map_lattice,cellular_automata,additive,branching,recursive_identity_score,0.2902,0.2104,0.725
graph_diffusion,lotka_volterra,additive,branching,recursive_continuity,0.9917,0.9536,0.9615
graph_diffusion,lotka_volterra,additive,branching,reconstruction_ability,0.0,0.0,1.0
graph_diffusion,lotka_volterra,additive,branching,org_memory,0.0008,0.1048,0.0076
graph_diffusion,lotka_volterra,additive,branching,transition_smoothness,1.0,0.9999,0.9999
graph_diffusion,lotka_volterra,additive,branching,closure_persistence,0.0008,0.1048,0.0076
graph_diffusion,lotka_volterra,additive,branching,trajectory_coherence,0.0,0.0,1.0
graph_diffusion,lotka_volterra,additive,branching,recursive_identity_score,0.1985,0.2169,0.9152
graph_diffusion,cellular_automata,additive,branching,recursive_continuity,0.9917,0.9465,0.9544
graph_diffusion,cellular_automata,additive,branching,reconstruction_ability,0.0,0.0,1.0
graph_diffusion,cellular_automata,additive,branching,org_memory,0.0008,0.0845,0.0095
graph_diffusion,cellular_automata,additive,branching,transition_smoothness,1.0,1.0,1.0
graph_diffusion,cellular_automata,additive,branching,closure_persistence,0.0008,0.0845,0.0095
graph_diffusion,cellular_automata,additive,branching,trajectory_coherence,0.0,0.0,1.0
graph_diffusion,cellular_automata,additive,branching,recursive_identity_score,0.1985,0.2104,0.9434
coupled_map_lattice,graph_diffusion,additive,synchronization,recursive_continuity,0.846,0.9917,0.8531
coupled_map_lattice,graph_diffusion,additive,synchronization,reconstruction_ability,0.1397,0.0,0.0
coupled_map_lattice,graph_diffusion,additive,synchronization,org_memory,0.2613,0.0008,0.0031
coupled_map_lattice,graph_diffusion,additive,synchronization,transition_smoothness,0.9998,1.0,0.9998
coupled_map_lattice,graph_diffusion,additive,synchronization,closure_persistence,0.2613,0.0008,0.0031
coupled_map_lattice,graph_diffusion,additive,synchronization,trajectory_coherence,0.0049,0.0,0.0
coupled_map_lattice,graph_diffusion,additive,synchronization,recursive_identity_score,0.2902,0.1985,0.684
graph_diffusion,coupled_map_lattice,additive,synchronization,recursive_continuity,0.9917,0.846,0.8531
graph_diffusion,coupled_map_lattice,additive,synchronization,reconstruction_ability,0.0,0.1397,0.0
graph_diffusion,coupled_map_lattice,additive,synchronization,org_memory,0.0008,0.2613,0.0031
graph_diffusion,coupled_map_lattice,additive,synchronization,transition_smoothness,1.0,0.9998,0.9998
graph_diffusion,coupled_map_lattice,additive,synchronization,closure_persistence,0.0008,0.2613,0.0031
graph_diffusion,coupled_map_lattice,additive,synchronization,trajectory_coherence,0.0,0.0049,0.0
graph_diffusion,coupled_map_lattice,additive,synchronization,recursive_identity_score,0.1985,0.2902,0.684
coupled_map_lattice,gray_scott,additive,recursive_feedback,recursive_continuity,0.846,0.9054,0.9344
coupled_map_lattice,gray_scott,additive,recursive_feedback,reconstruction_ability,0.1397,0.3047,0.4583
