domain,sys_idx,process_regime,geometry_survival,identity_survival,recursive_continuity,reconstruction_ability,org_memory,trajectory_coherence,geo_without_id,id_without_geo
branching,0,CH,1.0,0.3567,1.0,0.0,0.6268,0.0,False,False
branching,1,CH,1.0,0.3316,1.0,0.0,0.5263,0.0,False,False
branching,2,CH,1.0,0.3157,1.0,0.0,0.4627,0.0,False,False
branching,3,CH,1.0,0.2831,1.0,0.0,0.3323,0.0,False,False
branching,4,CH,1.0,0.3144,1.0,0.0,0.4575,0.0,False,False
branching,5,CL,0.6333,0.1267,0.6333,0.0,0.0,0.0,False,False
branching,6,CG,1.0,0.4426,1.0,0.0,0.7302,0.4,False,False
branching,7,CH,1.0,0.2992,1.0,0.0,0.3968,0.0,False,False
branching,8,CH,1.0,0.2991,1.0,0.0,0.3963,0.0,False,False
branching,9,CH,1.0,0.2987,1.0,0.0,0.3947,0.0,False,False
branching,10,CH,1.0,0.2991,1.0,0.0,0.3962,0.0,False,False
branching,11,CH,1.0,0.3164,1.0,0.0,0.4656,0.0,False,False
branching,12,CH,1.0,0.2996,1.0,0.0,0.3986,0.0,False,False
branching,13,CH,1.0,0.2987,1.0,0.0,0.3949,0.0,False,False
branching,14,CG,1.0,0.4,1.0,0.0,0.2,1.0,False,False
branching,15,CG,1.0,0.6073,1.0,0.6,0.5986,0.14,False,False
branching,16,CH,1.0,0.2817,1.0,0.0,0.3268,0.0,False,False
branching,17,CH,1.0,0.2998,1.0,0.0,0.3991,0.0,False,False
branching,18,CH,1.0,0.3162,1.0,0.0,0.4649,0.0,False,False
branching,19,CH,1.0,0.3155,1.0,0.0,0.462,0.0,False,False
branching,20,CH,1.0,0.2991,1.0,0.0,0.3962,0.0,False,False
branching,21,CH,1.0,0.2828,1.0,0.0,0.3311,0.0,False,False
branching,22,CH,1.0,0.3156,1.0,0.0,0.4625,0.0,False,False
branching,23,CG,1.0,0.3948,1.0,0.0,0.6593,0.2,False,False
branching,24,CH,1.0,0.3155,1.0,0.0,0.4618,0.0,False,False
branching,25,CH,1.0,0.3158,1.0,0.0,0.463,0.0,False,False
branching,26,CH,1.0,0.3304,1.0,0.0,0.5217,0.0,False,False
branching,27,CL,1.0,0.2,1.0,0.0,0.0,0.0,False,False
branching,28,CG,1.0,0.4245,1.0,0.0,0.7299,0.28,False,False
branching,29,CG,1.0,0.4,1.0,0.0,0.2,1.0,False,False
branching,30,CG,1.0,0.4,1.0,0.0,0.2,1.0,False,False
branching,31,CH,1.0,0.2822,1.0,0.0,0.3289,0.0,False,False
branching,32,CH,1.0,0.2991,1.0,0.0,0.3965,0.0,False,False
branching,33,CH,1.0,0.2991,1.0,0.0,0.3966,0.0,False,False
branching,34,CG,1.0,0.4333,1.0,0.0,0.3333,1.0,False,False
branching,35,CH,1.0,0.3157,1.0,0.0,0.4628,0.0,False,False
branching,36,CH,1.0,0.2825,1.0,0.0,0.3302,0.0,False,False
