recursive_closure,recursive_identity_score,recursive_continuity,reconstruction_ability,org_memory,trajectory_coherence,closure_persistence,operator_continuity,operator_reversibility,compositional_stability,transition_smoothness,null_observer_continuity,null_recursive_identity
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,1e-06,1.0,0.00016658325000000002,0.0005
0.4196,0.6973,1.0,1.0,0.4196,0.02,0.4196,1.0,0.4196,0.139823,0.9999,0.33808296528000004,0.4196
0.0611,0.2086,0.9667,0.0,0.0611,0.0,0.0611,0.9667,0.0611,0.123792,0.9998,0.02091192714,0.0611
0.8621,0.8105,0.9667,1.0,0.8621,0.04,0.8621,0.9667,0.8621,0.176048,0.9998,0.8120899238399999,0.8621
0.06,0.215,1.0,0.0,0.06,0.0,0.06,1.0,0.06,0.013739,1.0,0.0211788,0.06
0.2659,0.2665,1.0,0.0,0.2659,0.0,0.2659,1.0,0.2659,0.105697,0.9997,0.11208873573000003,0.2659
0.003,0.2007,1.0,0.0,0.003,0.0,0.003,1.0,0.003,0.001553,1.0,0.0010019970000000001,0.003
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,1e-06,1.0,0.00016658325000000002,0.0005
0.095,0.2237,1.0,0.0,0.095,0.0,0.095,1.0,0.095,0.022461,1.0,0.034640325000000007,0.095
0.153,0.2316,0.9667,0.0,0.153,0.0,0.153,0.9667,0.153,0.121397,1.0,0.057047595300000004,0.153
0.0173,0.0377,0.1667,0.0,0.0173,0.0,0.0173,0.1667,0.0173,0.022209,0.9999,0.0010600056,0.0173
0.195,0.2488,1.0,0.0,0.195,0.0,0.195,1.0,0.195,0.03772,0.9999,0.07759732500000001,0.195
0.028,0.207,1.0,0.0,0.028,0.0,0.028,1.0,0.028,0.008981,1.0,0.009585072,0.028
0.002,0.2005,1.0,0.0,0.002,0.0,0.002,1.0,0.002,0.000976,0.9999,0.0006673320000000001,0.002
0.018,0.2045,1.0,0.0,0.018,0.0,0.018,1.0,0.018,0.008196,1.0,0.006101892,0.018
0.405,0.3013,1.0,0.0,0.405,0.0,0.405,1.0,0.405,0.002136,1.0,0.18948532500000004,0.405
0.0128,0.0432,0.2,0.0,0.0128,0.0,0.0128,0.2,0.0128,0.026099,0.9999,0.00090703872,0.0128
0.0,0.16,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.002514,0.9993,0.0,0.0
0.3938,0.648,0.7333,1.0,0.3938,0.04,0.3938,0.7333,0.3938,0.054344,0.9998,0.27893810934,0.3938
0.0556,0.0672,0.2667,0.0,0.0556,0.0,0.0556,0.2667,0.0556,0.069711,0.9991,0.00596732004,0.0556
0.9965,0.4491,1.0,0.0,0.9965,0.0,0.9965,1.0,0.9965,0.032049,0.9998,0.6625075792500001,0.9965
0.8842,0.421,1.0,0.0,0.8842,0.0,0.8842,1.0,0.8842,0.127965,0.9999,0.55478121012,0.8842
0.2109,0.2527,1.0,0.0,0.2109,0.0,0.2109,1.0,0.2109,0.158745,0.9998,0.08504114373,0.2109
0.45,0.5457,0.8667,0.7,0.45,0.08,0.45,0.8667,0.45,0.079826,0.9997,0.302202495,0.45
0.255,0.6127,1.0,0.88,0.255,0.02,0.255,1.0,0.255,0.055994,0.9997,0.181293525,0.255
0.1266,0.2316,1.0,0.0,0.1266,0.0,0.1266,1.0,0.1266,0.001322,1.0,0.04749497748,0.1266
0.4999,0.185,0.3,0.0,0.4999,0.0,0.4999,0.3,0.4999,0.028786,0.9997,0.13315671333,0.4999
0.6991,0.7347,0.7333,1.0,0.6991,0.1,0.6991,0.7333,0.6991,0.072954,0.9995,0.5662634497200001,0.6991
0.7029,0.3757,1.0,0.0,0.7029,0.0,0.7029,1.0,0.7029,0.109741,0.9999,0.39859048053,0.7029
0.1197,0.2299,1.0,0.0,0.1197,0.0,0.1197,1.0,0.1197,0.108996,1.0,0.04463135397,0.1197
0.5,0.6553,0.8,0.92,0.5,0.04,0.5,0.8,0.5,0.057037,0.9998,0.36963,0.5
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,1e-06,1.0,0.00016658325000000002,0.0005
0.8528,0.4132,1.0,0.0,0.8528,0.0,0.8528,1.0,0.8528,0.132989,0.9998,0.52616259072,0.8528
0.0132,0.2033,1.0,0.0,0.0132,0.0,0.0132,1.0,0.0132,0.000253,1.0,0.00445362192,0.0132
0.25,0.2625,1.0,0.0,0.25,0.0,0.25,1.0,0.25,0.030218,1.0,0.1040625,0.25
0.326,0.2815,1.0,0.0,0.326,0.0,0.326,1.0,0.326,0.169561,0.9971,0.143947908,0.326
0.0063,0.0416,0.2,0.0,0.0063,0.0,0.0063,0.2,0.0063,0.011021,0.9999,0.00043279677,0.0063
0.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0072,0.9819,0.0,0.0
0.6952,0.7761,1.0,1.0,0.6952,0.04,0.6952,1.0,0.6952,0.154079,0.9999,0.6239431123200001,0.6952
0.1575,0.2934,1.0,0.0,0.1575,0.36,0.1575,1.0,0.1575,0.064701,0.9999,0.06070798125,0.1575
0.0132,0.2033,1.0,0.0,0.0132,0.0,0.0132,1.0,0.0132,0.00027,1.0,0.00445362192,0.0132
0.7359,0.396,1.0,0.0,0.7359,0.08,0.7359,1.0,0.7359,0.112826,0.9999,0.42539045373000006,0.7359
0.1566,0.2258,0.9333,0.0,0.1566,0.0,0.1566,0.9333,0.1566,0.115066,1.0,0.05683588721999999,0.1566
0.1,0.225,1.0,0.0,0.1,0.0,0.1,1.0,0.1,0.050763,1.0,0.03663,0.1
