domain,sys_idx,process_regime,recursive_continuity,reconstruction_ability,org_memory,transition_continuity,transition_smoothness,closure_persistence,adaptive_continuity,recovery_identity,trajectory_coherence,recursive_identity_score,process_regime_tg,dominant_operator,operator_continuity,operator_rupture,operator_curvature,transition_smoothness_tg,recursive_closure,operator_reversibility,compositional_stability,operator_neighborhood_entropy,collapse_available,recovery_possible,recovery_steps_mean,recovery_probability,recovery_entropy,collapse_regime_shifts,self_prediction,internal_continuity,self_model_consistency,closure_adaptation,forecast_stability,self_alignment,temporal_self_coherence,perturbation_anticipation,self_prediction_norm,internal_continuity_norm,self_model_consistency_norm,closure_adaptation_norm,forecast_stability_norm,self_alignment_norm,temporal_self_coherence_norm,perturbation_anticipation_norm,self_reference_composite,passive_persistence,active_continuity,observer_continuity,perspective_continuity,temporal_alignment,self_referential_closure
branching,0,CH,1.0,0.0,0.6268,0.390851,0.9858,0.6268,0.0,0.0,0.0,0.3567,CH,op_diffusion,1.0,0.0,0.0,0.9858,0.6268,0.6268,0.390851,0.0,,,,,,,0.6268,0.9858,0.0,0.0,0.2449854068,0.1959239810957835,0.0,,0.62679999993732,0.98579999990142,0.0,0.0,0.3031630642403288,0.1959239809756565,0.0,,0.3016695778649608,0.6884141301407217,0.20893333333333333,0.05118561766074667,,0.0,0.39287824000000005
branching,1,CH,1.0,0.0,0.5263,0.319525,0.9989,0.5263,0.0,0.0,0.0,0.3316,CH,op_diffusion,1.0,0.0,0.0,0.9989,0.5263,0.5263,0.319525,0.0,,,,,,,0.5263,0.9989,0.0,0.0,0.1681660075,0.1645411353882795,0.0,,0.52629999994737,0.99889999990011,0.0,0.0,0.2081010571228935,0.1645411352673668,0.0,,0.2711203131768201,0.7280779191676745,0.17543333333333333,0.02950192324908333,,0.0,0.27699169
branching,2,CH,1.0,0.0,0.4627,0.314781,0.9996,0.4627,0.0,0.0,0.0,0.3157,CH,op_diffusion,1.0,0.0,0.0,0.9996,0.4627,0.4627,0.314781,0.0,,,,,,,0.4627,0.9996,0.0,0.0,0.1456491687,0.144661165398267,0.0,,0.46269999995373,0.99959999990004,0.0,0.0,0.1802370551940507,0.1446611652768567,0.0,,0.2553140314749539,0.7443880941376361,0.15423333333333333,0.02246395678583,,0.0,0.21409129
branching,3,CH,1.0,0.0,0.3323,0.150372,0.9985,0.3323,0.0,0.0,0.0,0.2831,CH,op_diffusion,1.0,0.0,0.0,0.9985,0.3323,0.3323,0.150372,0.0,,,,,,,0.3323,0.9985,0.0,0.0,0.0499686156,0.1039009753558514,0.0,,0.3322999999667699,0.99849999990015,0.0,0.0,0.0618348611822012,0.1039009752334208,0.0,,0.2137908337546488,0.7850298524959832,0.11076666666666667,0.005534856987960001,,0.0,0.11042329
branching,4,CH,1.0,0.0,0.4575,0.319854,0.9989,0.4575,0.0,0.0,0.0,0.3144,CH,op_diffusion,1.0,0.0,0.0,0.9989,0.4575,0.4575,0.319854,0.0,,,,,,,0.4575,0.9989,0.0,0.0,0.146333205,0.1430357590468823,0.0,,0.45749999995425,0.99889999990011,0.0,0.0,0.1810835323106609,0.1430357589254314,0.0,,0.2543598987272075,0.7448198971613924,0.1525,0.022315813762499997,,0.0,0.20930625000000003
branching,5,CL,0.6333,0.0,0.0,0.006258,0.9698,0.0,0.0,0.0,0.0,0.1267,CL,op_diffusion,0.6333,0.3667,0.032636,0.9698,0.0,0.0,0.006258,0.9481,,,,,,,0.0,0.6141743399999999,0.0,0.0,0.0,0.3668417105067716,0.0,,0.0,0.6141743399385825,0.0,0.0,0.0,0.3668417103909228,0.0,,0.1401451500470722,0.8338872334843495,0.0,0.0,,0.0,0.0
branching,6,CG,1.0,0.0,0.7302,0.598816,0.999,0.7302,0.0,0.0,0.4,0.4426,CG,op_diffusion,1.0,0.0,0.0,0.999,0.7302,0.7302,0.598816,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7302,0.999,0.0,0.0,0.4372554432,0.3033258315449706,0.29208,-2.0,0.7301999999269799,0.9989999999001,0.0,0.0,0.541092229728171,0.3033258314275319,0.3650999999543625,0.0,0.3673397576171431,0.632027582140474,0.24339999999999998,0.10642797487487998,-0.10642797487487998,0.08859540887765502,0.53319204
branching,7,CH,1.0,0.0,0.3968,0.255801,0.9997,0.3968,0.0,0.0,0.0,0.2992,CH,op_diffusion,1.0,0.0,0.0,0.9997,0.3968,0.3968,0.255801,0.0,,,,,,,0.3968,0.9997,0.0,0.0,0.1015018368,0.1240310078614616,0.0,,0.39679999996032,0.99969999990003,0.0,0.0,0.1256058810696056,0.1240310077395349,0.0,,0.2351624126670701,0.76460813605673,0.13226666666666667,0.01342530961408,,0.0,0.15745024
branching,8,CH,1.0,0.0,0.3963,0.268445,0.9996,0.3963,0.0,0.0,0.0,0.2991,CH,op_diffusion,1.0,0.0,0.0,0.9996,0.3963,0.3963,0.268445,0.0,,,,,,,0.3963,0.9996,0.0,0.0,0.1063847535,0.1239059766036626,0.0,,0.3962999999603699,0.99959999990004,0.0,0.0,0.1316483633894231,0.1239059764817328,0.0,,0.2359220485330808,0.7637723202863325,0.1321,0.01405342593735,,0.0,0.15705369
branching,9,CH,1.0,0.0,0.3947,0.265348,0.9995,0.3947,0.0,0.0,0.0,0.2987,CH,op_diffusion,1.0,0.0,0.0,0.9995,0.3947,0.3947,0.265348,0.0,,,,,,,0.3947,0.9995,0.0,0.0,0.1047328556,0.1234058515724674,0.0,,0.39469999996053,0.99949999990005,0.0,0.0,0.1296041827350831,0.1234058514505251,0.0,,0.2353157191494554,0.7643019387101194,0.13156666666666667,0.013779352701773332,,0.0,0.15578809
