domain,sys_idx,half_life,initial_identity,process_regime,recursive_continuity,reconstruction_ability,org_memory,transition_continuity,transition_smoothness,closure_persistence,adaptive_continuity,recovery_identity,trajectory_coherence,recursive_identity_score,process_regime_tg,dominant_operator,operator_continuity,operator_rupture,operator_curvature,transition_smoothness_tg,recursive_closure,operator_reversibility,compositional_stability,operator_neighborhood_entropy,collapse_available,recovery_possible,recovery_steps_mean,recovery_probability,recovery_entropy,collapse_regime_shifts,self_prediction,internal_continuity,self_model_consistency,closure_adaptation,forecast_stability,self_alignment,temporal_self_coherence,perturbation_anticipation,self_prediction_norm,internal_continuity_norm,self_model_consistency_norm,closure_adaptation_norm,forecast_stability_norm,self_alignment_norm,temporal_self_coherence_norm,perturbation_anticipation_norm,self_reference_composite,passive_persistence,active_continuity,observer_continuity,perspective_continuity,temporal_alignment,self_referential_closure,local_future_prediction,self_state_anticipation,recursive_correction,continuity_adaptation,reconstruction_anticipation,local_future_prediction_norm,self_state_anticipation_norm,recursive_correction_norm,continuity_adaptation_norm,reconstruction_anticipation_norm,internal_modeling_composite,perspective_drift,recursive_alignment,identity_frame_continuity,closure_persistence_through_change,observer_level,reactive_condition,adaptive_condition,observer_like_condition,self_model_drift
branching,0,100,0.4093041029775005,CH,1.0,0.0,0.6268,0.390851,0.9858,0.6268,0.0,0.0,0.0,0.3567,CH,op_diffusion,1.0,0.0,0.0,0.9858,0.6268,0.6268,0.390851,0.0,,,,,,,0.6268,0.9858,0.0,0.0,0.2449854068,0.1959239810957835,0.0,,0.62679999993732,0.98579999990142,0.0,0.0,0.3031630642403288,0.1959239809756565,0.0,,0.3016695778649608,0.6884141301407217,0.2089333333333333,0.0511856176607466,,0.0,0.39287824,1.0,0.3567,0.0,,0.0,0.9999999999,0.4122746185376474,0.0,,0.0,0.3530686546094118,0.6091489999999999,0.07657708393526808,0.003919645339885532,0.15355685298224,0,0.0,0.0,1.0,0.0
branching,1,100,0.3237224170614007,CH,1.0,0.0,0.5263,0.319525,0.9989,0.5263,0.0,0.0,0.0,0.3316,CH,op_diffusion,1.0,0.0,0.0,0.9989,0.5263,0.5263,0.319525,0.0,,,,,,,0.5263,0.9989,0.0,0.0,0.1681660075,0.1645411353882795,0.0,,0.52629999994737,0.99889999990011,0.0,0.0,0.2081010571228935,0.1645411352673668,0.0,,0.2711203131768201,0.7280779191676745,0.1754333333333333,0.0295019232490833,,0.0,0.27699169,1.0,0.3316,0.0,,0.0,0.9999999999,0.383263985161435,0.0,,0.0,0.3458159962653587,0.6804749999999999,0.05257500628494001,0.0015510638002383722,0.08850576974725,0,0.0,0.0,1.0,0.0
branching,2,100,0.3103532211841949,CH,1.0,0.0,0.4627,0.314781,0.9996,0.4627,0.0,0.0,0.0,0.3157,CH,op_diffusion,1.0,0.0,0.0,0.9996,0.4627,0.4627,0.314781,0.0,,,,,,,0.4627,0.9996,0.0,0.0,0.1456491687,0.144661165398267,0.0,,0.46269999995373,0.99959999990004,0.0,0.0,0.1802370551940507,0.1446611652768567,0.0,,0.2553140314749539,0.7443880941376361,0.1542333333333333,0.02246395678583,,0.0,0.21409129,1.0,0.3157,0.0,,0.0,0.9999999999,0.3648867313494121,0.0,,0.0,0.341221682812353,0.685219,0.045536586305231885,0.0010229319069349472,0.06739187035749,0,0.0,0.0,1.0,0.0
branching,3,100,0.2713954874418697,CH,1.0,0.0,0.3323,0.150372,0.9985,0.3323,0.0,0.0,0.0,0.2831,CH,op_diffusion,1.0,0.0,0.0,0.9985,0.3323,0.3323,0.150372,0.0,,,,,,,0.3323,0.9985,0.0,0.0,0.0499686156,0.1039009753558514,0.0,,0.3322999999667699,0.99849999990015,0.0,0.0,0.0618348611822012,0.1039009752334208,0.0,,0.2137908337546488,0.7850298524959832,0.1107666666666666,0.00553485698796,,0.0,0.11042329,1.0,0.2831,0.0,,0.0,0.9999999999,0.3272075820241323,0.0,,0.0,0.331801895481033,0.849628,0.015623797466210086,8.647548458432463e-05,0.01660457096388,0,0.0,0.0,0.0,0.0
branching,4,100,0.2806685160441903,CH,1.0,0.0,0.4575,0.319854,0.9989,0.4575,0.0,0.0,0.0,0.3144,CH,op_diffusion,1.0,0.0,0.0,0.9989,0.4575,0.4575,0.319854,0.0,,,,,,,0.4575,0.9989,0.0,0.0,0.146333205,0.1430357590468823,0.0,,0.45749999995425,0.99889999990011,0.0,0.0,0.1810835323106609,0.1430357589254314,0.0,,0.2543598987272075,0.7448198971613924,0.1525,0.0223158137624999,,0.0,0.20930625,1.0,0.3144,0.0,,0.0,0.9999999999,0.363384188584907,0.0,,0.0,0.3408460471212268,0.6801459999999999,0.04575055967418149,0.0010209609692191724,0.0669474412875,0,0.0,0.0,1.0,0.0
branching,5,61,0.1283675610149827,CL,0.6333,0.0,0.0,0.006258,0.9698,0.0,0.0,0.0,0.0,0.1267,CL,op_diffusion,0.6333,0.3667,0.032636,0.9698,0.0,0.0,0.006258,0.9481,,,,,,,0.0,0.6141743399999999,0.0,0.0,0.0,0.3668417105067716,0.0,,0.0,0.6141743399385825,0.0,0.0,0.0,0.3668417103909228,0.0,,0.1401451500470722,0.8338872334843495,0.0,0.0,,0.0,0.0,0.6333,0.08023911,0.0,,0.0,0.63329999993667,0.0927405339698635,0.0,,0.0,0.1815101334766334,0.993742,0.0022956954243513765,0.0,0.0,0,0.0,0.0,0.0,0.054656608518358164
branching,6,100,0.4588371335118699,CG,1.0,0.0,0.7302,0.598816,0.999,0.7302,0.0,0.0,0.4,0.4426,CG,op_diffusion,1.0,0.0,0.0,0.999,0.7302,0.7302,0.598816,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7302,0.999,0.0,0.0,0.4372554432,0.3033258315449706,0.29208,-2.0,0.7301999999269799,0.9989999999001,0.0,0.0,0.541092229728171,0.3033258314275319,0.3650999999543625,0.0,0.3673397576171431,0.632027582140474,0.2433999999999999,0.1064279748748799,-0.1064279748748799,0.088595408877655,0.53319204,1.0,0.4426,0.0,-0.1064279748748799,0.0,0.9999999999,0.5115580212076332,0.0,0.0474619385444948,0.0,0.3118039919304256,0.401184,0.18163636114243312,0.019331190080031483,0.31928392462463995,0,0.0,0.0,1.0,0.0
branching,7,100,0.2960707808171695,CH,1.0,0.0,0.3968,0.255801,0.9997,0.3968,0.0,0.0,0.0,0.2992,CH,op_diffusion,1.0,0.0,0.0,0.9997,0.3968,0.3968,0.255801,0.0,,,,,,,0.3968,0.9997,0.0,0.0,0.1015018368,0.1240310078614616,0.0,,0.39679999996032,0.99969999990003,0.0,0.0,0.1256058810696056,0.1240310077395349,0.0,,0.2351624126670701,0.76460813605673,0.1322666666666666,0.01342530961408,,0.0,0.15745024,1.0,0.2992,0.0,,0.0,0.9999999999,0.3458159962614637,0.0,,0.0,0.3364539990403659,0.744199,0.03172725584196974,0.0004259482328835722,0.040275928842239996,0,0.0,0.0,0.0,0.0
branching,8,100,0.3089128286367172,CH,1.0,0.0,0.3963,0.268445,0.9996,0.3963,0.0,0.0,0.0,0.2991,CH,op_diffusion,1.0,0.0,0.0,0.9996,0.3963,0.3963,0.268445,0.0,,,,,,,0.3963,0.9996,0.0,0.0,0.1063847535,0.1239059766036626,0.0,,0.3962999999603699,0.99959999990004,0.0,0.0,0.1316483633894231,0.1239059764817328,0.0,,0.2359220485330808,0.7637723202863325,0.1321,0.01405342593735,,0.0,0.15705369,1.0,0.2991,0.0,,0.0,0.9999999999,0.3457004160488094,0.0,,0.0,0.3364251039872024,0.731555,0.03326193988937021,0.0004674442087678518,0.04216027781205,0,0.0,0.0,1.0,0.0
branching,9,100,0.2563631341756404,CH,1.0,0.0,0.3947,0.265348,0.9995,0.3947,0.0,0.0,0.0,0.2987,CH,op_diffusion,1.0,0.0,0.0,0.9995,0.3947,0.3947,0.265348,0.0,,,,,,,0.3947,0.9995,0.0,0.0,0.1047328556,0.1234058515724674,0.0,,0.39469999996053,0.99949999990005,0.0,0.0,0.1296041827350831,0.1234058514505251,0.0,,0.2353157191494554,0.7643019387101194,0.1315666666666666,0.0137793527017733,,0.0,0.15578809,1.0,0.2987,0.0,,0.0,0.9999999999,0.3452380951981926,0.0,,0.0,0.3363095237745481,0.7346520000000001,0.03274549590305108,0.0004512117374426134,0.04133805810532,0,0.0,0.0,0.0,0.0
