sys_idx_a,domain_a,sys_idx_b,domain_b,observer_level_a,observer_level_b,continuity_alignment,recursive_synchronization,mutual_closure_reinforcement,interaction_stability,co_stabilization_probability
382,nonlinear_oscillator,481,population,0,0,0.9894984165187428,0.7196,0.11563208000000001,0.7915987332149943,0.7013755609201211
330,population,154,gray_scott,3,3,0.9690524738504125,0.9218999999999999,0.374784805,0.930290374896396,0.8291398156240426
466,kuramoto,322,nonlinear_oscillator,3,0,0.9305555248633146,0.33140000000000003,0.2960549799999999,0.9305555248633146,0.6838243109179888
65,gray_scott,41,gray_scott,3,3,0.8027680053312609,0.532,0.6413588100000001,0.8027680053312609,0.7163325651987565
314,branching,299,population,0,3,0.9936684239970642,0.8502000000000001,0.23114002,0.0,0.5143685311991193
411,coupled_map_lattice,266,population,3,0,0.7807138704915326,0.6798000000000001,0.72469522,0.6089568189833955,0.6978002508424785
119,nonlinear_oscillator,465,kuramoto,0,3,0.9694409008984978,0.6496999999999999,0.116321545,0.9694409008984978,0.7348688495390987
114,kuramoto,154,nonlinear_oscillator,0,0,0.9763099506482509,0.7079,0.09616020499999998,0.0,0.4537050261944753
302,nonlinear_oscillator,136,population,0,3,0.9733327811528593,0.3932,0.57563272,0.7202662580531158,0.7018462557617925
395,coupled_map_lattice,456,gray_scott,0,3,0.9404847235249063,0.5202,0.37104001999999997,0.9216750290544081,0.7368959297737943
120,nonlinear_oscillator,475,population,0,0,0.9938657240916207,0.8187,0.07547984499999999,0.8746018372006262,0.739376237387674
60,coupled_map_lattice,327,branching,3,0,0.9124254415945738,0.6245,0.380700125,0.9124254415945738,0.7484952899567443
73,kuramoto,253,nonlinear_oscillator,3,0,0.9651528375785245,0.7201000000000001,0.15460550499999998,0.0,0.4644869522735574
271,kuramoto,103,nonlinear_oscillator,0,0,0.9999244169318346,0.9313,0.09362632499999998,0.9999244169318346,0.8049399151591008
15,gray_scott,145,coupled_map_lattice,0,0,0.9303446910595334,0.2502,0.53105002,0.0,0.4353534113178601
196,nonlinear_oscillator,37,branching,0,0,0.9992877110858833,0.915,0.026612500000000004,0.0,0.48810881332576506
181,kuramoto,299,coupled_map_lattice,0,3,0.837257470967261,0.3360000000000001,0.49091299999999993,0.837257470967261,0.6677370825803566
113,gray_scott,220,branching,3,0,0.9974175546105,0.8833,0.353454445,0.0,0.54657615538315
414,branching,359,kuramoto,0,0,0.9101395383979466,0.7837999999999999,0.40068729999999997,0.0,0.5099393215193839
169,nonlinear_oscillator,115,kuramoto,0,3,0.8921424443013743,0.32389999999999997,0.40345286500000005,0.8921424443013743,0.6807560395808245
236,branching,16,nonlinear_oscillator,0,0,0.9951431944008113,0.7842,0.062447569999999994,0.0,0.4678724723202434
406,coupled_map_lattice,425,kuramoto,0,3,0.9594064370887013,0.6335,0.188226125,0.5948319909949948,0.6306167534251088
384,branching,177,branching,0,0,0.9712001205718434,0.6666,0.11778889000000001,0.0,0.44823781417155295
385,branching,407,population,0,0,0.9679652904439408,0.9714,0.17184898,0.9437661581828423,0.8021692305880348
134,nonlinear_oscillator,273,kuramoto,0,0,0.999026347913913,0.9301,0.026773525,0.999026347913913,0.7907905137483477
492,nonlinear_oscillator,395,nonlinear_oscillator,0,0,0.9996388386666134,0.9299999999999999,0.02525,0.0,0.490941651599984
13,gray_scott,325,nonlinear_oscillator,3,0,0.8606597237404169,0.2146999999999999,0.47640054500000006,0.0,0.396418026122125
473,coupled_map_lattice,1,population,3,0,0.9813240040010859,0.9453,0.278846045,0.7379556510088165,0.7606131055029708
227,population,354,nonlinear_oscillator,0,0,0.9844242586995717,0.8561000000000001,0.108828605,0.8072278921336488,0.7304813662499662
150,kuramoto,296,coupled_map_lattice,3,3,0.9667022278142107,0.6918,0.39037706000000005,0.9667022278142107,0.7964567486885263
398,kuramoto,126,coupled_map_lattice,3,3,0.949328795100355,0.7064999999999999,0.362299625,0.949328795100355,0.7833572020602129
360,gray_scott,340,kuramoto,3,0,0.9915812371272944,0.7097,0.328816085,0.9915812371272944,0.8026519592763767
106,gray_scott,332,branching,3,0,0.9204892466471799,0.3667,0.440564445,0.0,0.437599662994154
182,gray_scott,290,population,3,3,0.9981809910435834,0.85,0.33625000000000005,0.9482719414914041,0.8211858797604963
212,coupled_map_lattice,135,coupled_map_lattice,0,3,0.8237291678194042,0.3801000000000001,0.512029505,0.796298986531018,0.6644343473051267
67,branching,39,kuramoto,3,3,0.9289725292427184,0.8142,0.45954266,0.7896266498563107,0.7703282857297088
484,nonlinear_oscillator,298,nonlinear_oscillator,0,0,0.99947673481352,0.985,0.0189625,0.0,0.500635520444056
421,kuramoto,103,coupled_map_lattice,3,0,0.918471805086114,0.6733,0.354153285,0.789885752374058,0.7179979242380516
285,population,404,gray_scott,3,3,0.9048355685256113,0.9652000000000001,0.8452314000000001,0.7803301942964871,0.8676360088466295
