sys_idx_a,domain_a,sys_idx_b,domain_b,observer_level_a,observer_level_b,continuity_alignment,recursive_synchronization,mutual_closure_reinforcement,interaction_stability,co_stabilization_probability,external_continuity_prediction,reciprocal_reconstruction,mutual_anticipation,co_adaptive_continuity,recursive_predictive_coupling,shared_closure,manifold_convergence,continuity_transfer_efficiency,closure_compatibility,reconstruction_compatibility,temporal_compatibility,operator_compatibility,continuity_preservation_compatibility,compatibility_composite
155,kuramoto,382,branching,0,0,0.9774914475710055,0.8210999999999999,0.091782605,0.0,0.47582395527130167,0.2829348994994275,0.0,0.062222957999999995,0.2829689424054,0.06222295800000001,0.07536269696549999,0.029607173984240086,0.0,0.639845472204726,0.0,0.9774914475710055,0.0,0.47582395527130167,0.41863217500940664
14,population,404,gray_scott,0,3,0.9041991184225701,0.44819999999999993,0.46787162,0.7088921088432949,0.6671416921797595,0.5659382282206866,0.7088921088432949,0.14146536599999995,0.135168,0.14146536599999998,0.20970006008399997,0.09437744365806901,0.40118914407840045,0.4453775205587999,0.7088921088432949,0.9041991184225701,0.3177254431835647,0.6671416921797595,0.6086671766375978
191,coupled_map_lattice,191,nonlinear_oscillator,0,0,0.9908920953391567,0.9791,0.046527904999999994,0.0,0.5023932096017469,0.21348770194082128,0.0,0.045341631449999996,0.19916155349999998,0.045341631449999996,0.04555547178549999,0.022779327752745007,0.0,0.828494914320845,0.0,0.9908920953391567,0.0,0.5023932096017469,0.46435604385234974
242,gray_scott,210,kuramoto,3,3,0.97263016703654,0.9845,0.7089398650000001,0.97263016703654,0.922266073221924,0.8189059691364149,0.97263016703654,0.6978330340300001,0.074672,0.6978330340300001,0.6979512970925,0.6435877320593895,0.796492649548371,0.3709979619974649,0.97263016703654,0.97263016703654,0.9575543994474737,0.922266073221924,0.8392157537479885
368,population,126,population,3,0,0.9665021916053299,0.9,0.36250000000000004,0.0,0.542450657481599,0.5799013149631981,0.0,0.32175000000000004,0.0244313875,0.32175000000000004,0.32625000000000004,0.1745334990447045,0.0,0.63241324875,0.0,0.9665021916053299,0.0,0.542450657481599,0.4282732195673858
352,gray_scott,326,branching,0,0,0.8572806126363333,0.8333,0.38720444499999995,0.0,0.5012850727909,0.5286420897821948,0.0,0.311079223,0.44874214,0.311079223,0.3226574640185,0.15593937094529162,0.0,0.7185854912639,0.0,0.8572806126363333,0.0,0.5012850727909,0.4154302353382267
401,coupled_map_lattice,280,nonlinear_oscillator,0,0,0.9006964987029106,0.9875,0.025240625000000003,0.07205571989623284,0.494373790579743,0.14298556916908706,0.07205571989623284,0.02484796875,0.22427249999999999,0.02484796875,0.024925117187500005,0.0122841844991445,0.010302928121251163,0.790568275390625,0.07205571989623284,0.9006964987029106,0.07115502339752994,0.494373790579743,0.46576986159340833
20,kuramoto,141,branching,3,0,0.9893636409552279,0.583,0.4993672900000001,0.0,0.5132825502865683,0.6680183303729699,0.0,0.24044248656999997,0.022900415,0.24044248657,0.29113113007,0.12341493270389356,0.0,0.45617297227469,0.0,0.9893636409552279,0.0,0.5132825502865683,0.39176383270329723
99,gray_scott,401,gray_scott,0,0,0.9268042029643034,1.0,1.0,0.0,0.6780412608892911,0.9268042029643034,0.0,1.0,0.11583900000000001,1.0,1.0,0.6780412608892911,0.0,0.11583900000000003,0.0,0.9268042029643034,0.0,0.6780412608892911,0.3441368927707189
353,kuramoto,70,branching,3,0,0.9974915292723933,0.8399,0.358590905,0.3391471199526137,0.6406897757675022,0.5919613480467019,0.3391471199526137,0.29041633851,0.035100000000000006,0.29041633851,0.3011805011095,0.1860667787991909,0.20076198631330572,0.625459807285451,0.3391471199526137,0.9974915292723933,0.2848496660482002,0.6406897757675022,0.577527579665232
