domain_a,domain_b,observer_level_a,observer_level_b,base_co_stabilization,fail_synchronization,fail_closure_compatibility,fail_temporal_alignment,fail_recursive_alignment,fail_continuity_transfer,fail_all,fail_synchronization_collapse,fail_closure_compatibility_collapse,fail_temporal_alignment_collapse,fail_recursive_alignment_collapse,fail_continuity_transfer_collapse,fail_all_collapse
coupled_map_lattice,kuramoto,3,3,0.8539427735890894,0.11118334920669372,0.5065347209556605,0.001968165128309972,0.8539427735890894,0.12472451310945686,0.008539427735890894,0.8697999999,0.40682825989999993,0.9976952025484824,0.0,0.8539427734890894,0.99
branching,population,3,3,0.7135210109027539,0.00535140765312272,0.36012966254608547,0.20617051071788872,0.26164815469803987,0.20440877797441817,0.007135210109027539,0.9924999999,0.4952781249,0.7110519416141092,0.6333,0.7135210108027539,0.99
gray_scott,gray_scott,3,3,0.8495744135521439,0.1260768430560956,0.4587266172271883,0.018061729029958836,0.7079503588130015,0.1277977294746321,0.008495744135521439,0.8515999999,0.46005127989999983,0.9787402624869066,0.16670000000000007,0.8495744134521439,0.99
coupled_map_lattice,kuramoto,3,3,0.8802462704338196,0.20782614453744944,0.23431873608821063,0.028306329640105096,0.8802462704338196,0.10541277390919512,0.008802462704338196,0.7638999999,0.7338032049000001,0.9678427156230328,0.0,0.8802462703338196,0.99
gray_scott,gray_scott,3,3,0.8601329204892916,0.009375448919346588,0.5028805783475552,0.02975512368747751,0.6307354705947975,0.12030427966586689,0.008601329204892916,0.9890999999,0.4153455049,0.965406365715486,0.26670000000000005,0.8601329203892916,0.99
gray_scott,branching,3,3,0.8282482995828229,0.33593751039361774,0.26899721560143575,0.03544351450799936,0.8282482995828229,0.1422530539038102,0.00828248299582823,0.5943999999,0.6752215299,0.9572066558713712,0.0,0.8282482994828229,0.99
gray_scott,gray_scott,3,3,0.6837623807817015,0.35610344797948634,0.2633741101434333,0.08840366800960323,0.20512871423451043,0.2162313874778172,0.006837623807817015,0.47919999990000006,0.6148163199,0.8707099564200402,0.7,0.6837623806817015,0.99
gray_scott,population,3,3,0.8377682346536294,0.0006702146714997461,0.0026785797050701537,0.13390218114543304,0.08377682346536285,0.1359126197427476,0.008377682346536294,0.9991999999,0.9968027199,0.8401679896579104,0.9000000000000001,0.8377682345536294,0.99
kuramoto,coupled_map_lattice,3,3,0.8203858381475848,0.16891744415662627,0.4820878217651676,0.02858643602024899,0.7930669897372702,0.14735291479650817,0.008203858381475849,0.7940999999,0.4123645249000001,0.965154888479308,0.03330000000000011,0.8203858380475848,0.99
gray_scott,kuramoto,3,3,0.8194175116083756,0.2399254474808741,0.40297457792135405,0.024370274763076565,0.764762363584097,0.14797245335985498,0.008194175116083757,0.7071999999,0.5082182499,0.9702590261767265,0.06669999999999998,0.8194175115083756,0.99
