sys_idx_a,domain_a,sys_idx_b,domain_b,process_regime_a,process_regime_b,observer_level_a,observer_level_b,continuity_alignment,recursive_synchronization,mutual_closure_reinforcement,interaction_stability,perturbation_sharing,recursive_interference,co_stabilization_probability,external_continuity_prediction,reciprocal_reconstruction,mutual_anticipation,co_adaptive_continuity,recursive_predictive_coupling,external_continuity_prediction_norm,reciprocal_reconstruction_norm,mutual_anticipation_norm,co_adaptive_continuity_norm,recursive_predictive_coupling_norm,mutual_modeling_composite,shared_closure,continuity_overlap,manifold_convergence,synchronization_geometry,co_generated_transitions,shared_closure_norm,continuity_overlap_norm,manifold_convergence_norm,synchronization_geometry_norm,co_generated_transitions_norm,shared_space_composite,perturbation_response_encoding,continuity_transfer_efficiency,signaling_persistence,alignment_transmission,closure_information_retention,perturbation_response_encoding_norm,continuity_transfer_efficiency_norm,signaling_persistence_norm,alignment_transmission_norm,closure_information_retention_norm,signal_transfer_composite
244,coupled_map_lattice,136,kuramoto,CG,CG,3,3,0.9976952026484824,0.8698,0.40682826,0.9976952026484824,1.0,1.0,0.8539427735890894,0.6330376060804621,0.9976952026484824,0.346486778352,1.0595616,0.346486778352,0.5428769035798181,0.9970111819902904,0.2008332972642925,0.0936007804453718,0.2008332972642926,0.4070310921088131,0.353859220548,0.9953957173877964,0.2958798805178549,0.24899231757114781,0.347581259732396,0.20286720181490342,0.9952288933352035,0.21599797221834902,0.9198069831539463,0.40285940653467006,0.5473520914114145,0.4058906033038295,0.6315785826825568,0.3474080527188232,0.34568819654291844,0.3749356418985918,0.29724593421123063,0.612600393924043,0.22266065282553593,0.29431772302123704,0.04871129745758048,0.2951072002879254
481,branching,74,population,CG,CG,3,3,0.7110519417141092,0.9925,0.495278125,0.6754993446284038,0.975,0.3667,0.7135210109027539,0.5004028039813043,0.6754993446284038,0.4915356249999999,0.82452259,0.4915356249999999,0.3773584866873433,0.5628067005399014,0.3782102877423802,0.0728333788169427,0.3782102877423802,0.3538838283057896,0.49156353906250005,0.4803151206246348,0.3507209960447169,0.44718761649109423,0.2525035469148836,0.3727506578873448,0.4405279727794694,0.27709493201444096,0.9412924078771273,0.2772826524954255,0.4617897246107615,0.35216847246977334,0.3380217661395867,0.3533913484280205,0.3495073605779082,0.40530524237737875,0.23362938923400836,0.30281877992379463,0.2297919983647713,0.29844086693094857,0.05265894090425676,0.22346799507155596
51,gray_scott,26,gray_scott,CG,CG,3,3,0.9787402625869066,0.8516,0.4600512799999999,0.9787402625869066,1.0,0.8332999999999999,0.8495744135521439,0.6598666850360924,0.9787402625869066,0.3824024639999999,0.83531378,0.3824024639999999,0.5763576085315942,0.97146671977735,0.244753785971516,0.073786858738334,0.244753785971516,0.4222237517980621,0.3917796700479999,0.9579325016086869,0.3248793490936947,0.45599579625659065,0.35871049632162455,0.24964901001362105,0.954883983411902,0.24830547268883585,0.9422472614197246,0.41755868110065114,0.5625288817269469,0.4502707105906424,0.6458380925845766,0.3908477964099131,0.37427268802923996,0.32725895711494757,0.34979986398788976,0.6276480226738036,0.27443543339016563,0.32517734855820185,0.042513963634342726,0.32391492644888076
37,coupled_map_lattice,334,kuramoto,CG,CG,3,3,0.9678427157230328,0.7639,0.7338032050000001,0.9678427157230328,1.0,1.0,0.8802462704338196,0.8211661521552072,0.9678427157230328,0.53926114924,0.09565506,0.5392611492400001,0.7776474059348144,0.9567807343205949,0.4365727639309971,0.0084326449582055,0.4365727639309972,0.5232012626151218,0.5605522682995001,0.9367195223781353,0.47468261540836554,0.4113615201323518,0.4605459601032264,0.4578608699653585,0.9320392884634585,0.41519712052316293,0.9374086684512387,0.5520609383469903,0.6589133771500418,0.7102060867334654,0.7947596787617289,0.6459275344336337,0.5219199751643654,0.05361966085732478,0.6576095187955185,0.7848004603814882,0.5784588078505966,0.48457637074192805,0.006944500829619608,0.5024779317198301
399,gray_scott,47,gray_scott,CG,CG,3,3,0.965406365815486,0.9891,0.415345505,0.965406365815486,1.0,0.7333,0.8601329204892916,0.62215613244979,0.965406365815486,0.41075948151,0.20659182,0.41075948151,0.5292976298122923,0.95349740828798,0.2794309484660556,0.0182347124970223,0.2794309484660556,0.4119783295058812,0.4108182389955,0.932009451157064,0.3533077524498635,0.7599271181979398,0.3543561237361933,0.2731365660058045,0.9269669155986491,0.2799767652989976,0.9751950335120654,0.4118075123046006,0.5734165585440234,0.40097719453984776,0.6006334907981699,0.35725234222774965,0.39654981826882246,0.08487168768327533,0.29142758552005826,0.5799449760658507,0.23439382355425498,0.3492275891427049,0.011006847944820868,0.29320016444553787
246,gray_scott,320,branching,CG,CG,3,3,0.9572066559713712,0.5944,0.67522153,0.9572066559713712,1.0,1.0,0.8282482995828229,0.7622236601500029,0.9572066559713712,0.35245890124,0.06108462,0.35245890124,0.704091538168637,0.942447139725292,0.2081364727746051,0.0053780957922967,0.208136472774605,0.4136379438470872,0.401351677432,0.916244582235895,0.2919234856248601,0.40318226572803983,0.3425949236342851,0.2614578313598713,0.9099894030346612,0.21159026283110347,0.9365219937634269,0.39627355288722993,0.5431666087752587,0.6463265427711729,0.7296055608344432,0.559251084064212,0.3373760062232842,0.024516414702296298,0.5819647925251773,0.7160452938417847,0.47515124162942873,0.2853439380309165,0.003161466573335778,0.4123333465201287
73,gray_scott,97,gray_scott,CG,CG,3,3,0.8707099565200402,0.4792,0.61481632,0.6791537660856314,0.89,0.3,0.6837623807817015,0.6439770838422217,0.6791537660856314,0.22963264,0.0664202,0.22963264,0.5565285622101316,0.5677315502371865,0.0579349849730679,0.0058495329923624,0.057934984973068,0.2491959230771633,0.294619980544,0.5913459461388417,0.15701416063158738,0.27233291699982093,0.17039079764433493,0.1297847673963732,0.5600993592961173,0.061291540311599585,0.9223372282947315,0.1688297647148249,0.36846853200272933,0.5353266912550111,0.4373594617642873,0.4203882707066444,0.19994342598998205,0.01956871803172859,0.4505212526504254,0.40764684027708126,0.30964401070969666,0.13697264499573789,0.002518331924549354,0.2614606161114981
264,gray_scott,136,population,CG,CG,3,3,0.8401679897579104,0.9992,0.99680272,0.6217243124208537,0.87,0.0999999999999999,0.8377682346536294,0.8388237209742978,0.6217243124208537,0.99600495808,1.2740949999999998,0.99600495808,0.7996827450075928,0.4903372401373342,0.995114552464793,0.1125563626719665,0.995114552464793,0.678561090549296,0.9960052778240001,0.5223528657502476,0.8344213154369438,0.4484699091392018,0.5684769269341253,0.9950717796390316,0.4857992877266849,0.8159719895532944,0.9414314152214698,0.6946140149124292,0.7865776974105819,0.8374817374476172,0.5215171011650473,0.835089655032336,0.8368114834189854,1.2690053444491691,0.808326495811427,0.49645584723877856,0.8039165673342622,0.8245311337699045,0.1649284470579158,0.6196316982424576
28,kuramoto,469,coupled_map_lattice,CG,CG,3,3,0.965154888579308,0.7941,0.4123645250000001,0.965154888579308,1.0,0.9667,0.8203858381475848,0.6117634261259944,0.965154888579308,0.310625809992,0.59763088,0.310625809992,0.516328301470723,0.953158507150013,0.1569797211047855,0.0527858502482551,0.1569797211047855,0.3672464202157124,0.32745866930250006,0.9315239589485363,0.25483301548055937,0.5464603455721694,0.30128376225536735,0.17029729452233827,0.9264440790237805,0.17026880280145631,0.9520540998009994,0.341710591728152,0.5121549735753452,0.39799563718043435,0.5904464613795298,0.3382980164644558,0.29980201903268605,0.19569941269888208,0.287896892025357,0.5691949125778432,0.2118026208039879,0.2447793131472647,0.025412975634037552,0.26781734283769804
90,gray_scott,355,kuramoto,CG,CG,3,3,0.9702590262767266,0.7072,0.50821825,0.950853845751192,0.99,0.9333,0.8194175116083756,0.6769497226332721,0.950853845751192,0.329097167776,0.70032226,0.329097167776,0.5976759751597281,0.933885829581964,0.1795679314179704,0.0618593786478073,0.1795679314179703,0.390511409245088,0.3594119464,0.9225745265100324,0.269667982296374,0.4228158133014913,0.31999188721829,0.20971750446725795,0.9168062506076343,0.1867960262617127,0.9386503747630629,0.36641991147707714,0.5236780135153489,0.49310334438106196,0.6436802471460495,0.41644293376896335,0.3193094975567703,0.25170418657384686,0.40052131028416627,0.6253709137632287,0.30494165897266595,0.2658394562920778,0.0326928500836379,0.32587323787915534
