sim_idx,sys_idx_a,domain_a,sys_idx_b,domain_b,observer_level_a,observer_level_b,recursive_closure_a,recursive_closure_b,reconstruction_a,reconstruction_b,operator_continuity_a,operator_continuity_b,coupling_strength,phase_sync_time,final_synchronization,mean_order_parameter,closure_correlation,final_closure_diff,transition_synchronization,phase_jumps_a,phase_jumps_b,closure_sign_changes_a,closure_sign_changes_b,continuity_a,continuity_b,closure_stability_a,closure_stability_b,persistence_gain,collapse_suppression,recursive_reinforcement,continuity_amplification,continuity_damping,higher_order_continuity,emergent_sync_bonus,collective_closure_emergent,metastable_co_continuity
0,357,kuramoto,10,nonlinear_oscillator,3,0,0.6888,0.1875,1.0,0.0,1.0,1.0,0.4892029593751602,0,0.9999451048821733,0.998587064639202,0.6092606173205268,0.0169210314421835,0.0,0,0,14,2,0.8432693300300697,0.9102458759588796,0.8445674325538018,0.91208634438689,0.0118875539965775,1.0,0.6092606173205266,1.7535152059889492,-0.7535152059889492,0.08969922892329363,0.12318750188769867,0.6092271718871518,0.9999451048821733
1,108,branching,170,population,0,0,0.3333,0.45,0.0,0.85,1.0,0.8667,0.4402346930723707,61,0.9156609179382824,0.8945171225114339,0.955023691740534,0.007558717378658,0.0,0,0,12,11,0.8956615841029739,0.8457058966370737,0.8973670603911188,0.8464615870893978,0.1068434484307357,1.0,0.955023691740534,1.7413674807400477,-0.7413674807400477,0.019999333835308497,0.044977177568258586,0.8744778702319447,0.9156609179382824
2,281,kuramoto,322,population,0,0,0.2584,0.75,1.0,0.0,1.0,0.4,0.6816601238360043,10,0.3241132383590484,0.633679342618714,-0.0924361073305782,0.200067568247014,0.0,0,0,4,9,0.8233021691851226,0.7636693877968511,0.8358972078849705,0.7652988141159666,-0.453110379876418,0.3241132383590484,-0.0924361073305782,1.5869715569819736,-0.5869715569819736,-0.4991889308260742,-0.4693725401319384,-0.02995976608821827,0.3241132383590484
3,233,gray_scott,300,nonlinear_oscillator,3,0,0.7926,0.2525,1.0,0.0,0.7667,1.0,0.4493205464846341,67,0.7827049534375036,0.6992686851054347,0.4434946188194446,0.0422286304006629,0.0,0,0,14,8,0.7897078087638979,0.9245388299401684,0.7965484500488965,0.926458485497287,0.4408552671750048,0.7827049534375036,0.4434946188194447,1.7142466387040662,-0.7142466387040662,-0.14183387650266488,-0.07441836591452955,0.34712543497285675,0.7827049534375036
4,375,population,345,branching,0,0,0.5,0.2667,0.8,0.0,0.8,1.0,0.2998654979770838,12,0.6497317804546895,0.6507698187551323,0.7264884254967825,0.0317970921999164,0.0,0,0,12,8,0.874583721160422,0.8952390667305278,0.8793338132954038,0.8971670403498482,-0.2149512254969789,0.6497317804546895,0.7264884254967828,1.7698227878909498,-0.7698227878909498,-0.2455072862758383,-0.23517961349078542,0.47202261817774854,0.6497317804546895
5,181,kuramoto,367,branching,0,0,0.285,0.6,1.0,0.0,0.8667,1.0,0.2464019154027709,0,0.782737714700857,0.8774971897184028,0.7673394009913667,0.0190658640399415,0.0,0,0,6,13,0.8339708451801273,0.8510245305258218,0.83651956913136,0.8527157496204442,-0.2047528983976723,0.782737714700857,0.7673394009913668,1.6849953757059493,-0.6849953757059493,-0.06828681582496487,-0.059759973152117674,0.6006254891319068,0.782737714700857
6,364,gray_scott,366,nonlinear_oscillator,0,0,1.0,0.13,0.0,1.0,0.9667,1.0,0.1328510354391902,0,0.9581466461438304,0.9458241228718296,0.3005045660136572,0.0247617193980362,0.0,0,0,15,0,0.7485193542708758,0.8375990736818335,0.7499702753398654,0.837824438695649,0.036015205928498,1.0,0.3005045660136572,1.5861184279527092,-0.5861184279527092,0.12054757246199688,0.1650874321674758,0.2879274420768929,0.9581466461438304
7,389,branching,210,kuramoto,3,3,0.5874,0.8342,0.9,1.0,1.0,1.0,0.3807985915294039,15,0.9999998744794636,0.9784946596052512,0.943169175857702,0.0251693906658623,0.0,0,0,13,15,0.8416552910401583,0.7590512590493478,0.8442029241076073,0.7615727212936713,0.1980767196282463,1.0,0.9431691758577022,1.600706550089506,-0.6007065500895061,0.15834458343930524,0.19964659943471053,0.9431690574706011,0.9999998744794636
8,76,branching,141,gray_scott,3,3,0.5893,0.9,0.9,0.86,1.0,0.9667,0.2906210232009662,61,0.997855682651147,0.8405225081811765,0.5623565600910202,0.0045652980366168,0.0,0,0,12,16,0.820117433872685,0.798071376545831,0.8221702665201743,0.7999614274624163,0.758990849175375,1.0,0.5623565600910203,1.618188810418516,-0.618188810418516,0.177738248778462,0.18876127744188897,0.5611506891629757,0.997855682651147
9,320,coupled_map_lattice,448,gray_scott,3,3,0.7883,0.5442,1.0,1.0,1.0,0.5,0.2147703274747915,21,0.6938550662077259,0.6501760659522765,0.3945436390042233,0.0031434071841163,0.0,0,0,14,9,0.8186144904246803,0.8029536916723282,0.8225436925331144,0.8068080389453034,0.3124144492535893,0.6938550662077259,0.3945436390042232,1.6215681820970085,-0.6215681820970085,-0.1247594242169544,-0.11692902484077838,0.27375610276311246,0.6938550662077259
