perturbation_type,K,base_c,base_r,post_c,post_r,recovery_c,recovery_r,cascade_depth,final_c_range,irreversible,branching
temporal_disruption,0.1445627427526076,0.16330348704874997,0.27324803816760246,0.3375979223110059,0.7486615406961792,1.0,1.0,0.9939137019063795,0.3042810644866947,0,0
closure_collapse,0.1445627427526076,0.16330348704874997,0.27324803816760246,0.39091642557751416,0.5999513728289676,1.0,1.0,0.9939137019063795,0.4041703570455594,0,0
coupling_fragmentation,0.1445627427526076,0.16330348704874997,0.27324803816760246,0.38723547229675226,0.5782410540612846,1.0,1.0,0.9939137019063795,0.444241939732967,0,0
desync_shock,0.1445627427526076,0.16330348704874997,0.27324803816760246,0.20809411053503574,0.5410236737988374,1.0,1.0,0.9939137019063795,0.04334174727298845,0,0
all_disruption,0.1445627427526076,0.16330348704874997,0.27324803816760246,0.14984340751968683,0.4108972986973955,0.9119916455286629,1.0,0.9939137019063795,0.16947933420459632,0,0
temporal_disruption,0.17876087133653507,0.2341424986911183,0.28806074240698093,0.44599980923864646,0.7737707042718804,1.0,1.0,0.9957472596167586,0.2047592775483748,0,0
closure_collapse,0.17876087133653507,0.2341424986911183,0.28806074240698093,0.2998173019486263,0.3352915854612972,1.0,1.0,0.9161269004618495,0.15008699329277556,0,0
coupling_fragmentation,0.17876087133653507,0.2341424986911183,0.28806074240698093,0.12441356858884943,0.1593762500685016,0.5290986073609701,0.5513590283529715,0.9957472596167586,0.1308137866985519,0,0
desync_shock,0.17876087133653507,0.2341424986911183,0.28806074240698093,0.15403941225706183,0.36222333139824775,0.6550896291163727,1.0,0.9957472596167586,0.1858501016697525,0,0
all_disruption,0.17876087133653507,0.2341424986911183,0.28806074240698093,0.20670941797090917,0.43601124770023475,0.8790814894012049,1.0,0.9957472596167586,0.2685163885588121,0,0
temporal_disruption,0.38543201690331086,0.4837760707768329,0.746342127826873,0.3227243897979251,0.42624553457163733,0.6657184816915016,0.5703485976510881,0.6148177202040864,0.16240168255120713,0,0
closure_collapse,0.38543201690331086,0.4837760707768329,0.746342127826873,0.355304682341902,0.5041936010769552,0.7329253726829822,0.6746489757549907,0.7025335357838621,0.11277441294635032,0,0
coupling_fragmentation,0.38543201690331086,0.4837760707768329,0.746342127826873,0.3034897735564966,0.46781528888533325,0.6260411597259065,0.6259720567949916,0.4214310184433969,0.04610752137902058,0,0
desync_shock,0.38543201690331086,0.4837760707768329,0.746342127826873,0.3206258290384009,0.2585510077023374,0.6613895535821556,0.3459607027027286,0.4259495594037099,0.048701525262856094,0,0
all_disruption,0.38543201690331086,0.4837760707768329,0.746342127826873,0.1869382708487081,0.5165805090982278,0.38561777719174034,0.6912235907272409,0.895169928477703,0.08950384672558276,1,0
temporal_disruption,0.626164537729216,0.5360952026702476,0.5170230643222324,0.47079459672030327,0.8666337935005741,0.8765570691744757,1.0,0.8653157853290486,0.2138118883180592,0,0
closure_collapse,0.626164537729216,0.5360952026702476,0.5170230643222324,0.3891367755370069,0.7539595972813609,0.7245210413393312,1.0,0.9118896540807648,0.21936819181505268,0,0
coupling_fragmentation,0.626164537729216,0.5360952026702476,0.5170230643222324,0.2506516852419391,0.43956391706192366,0.46668017885057894,0.8485412085599651,0.9547409603104838,0.25946681122793097,0,0
desync_shock,0.626164537729216,0.5360952026702476,0.5170230643222324,0.3330156581981888,0.5941991332496783,0.6200309675874084,1.0,0.6839030203307341,0.15546963090332638,0,0
all_disruption,0.626164537729216,0.5360952026702476,0.5170230643222324,0.13123806330296778,0.40441317889366685,0.2443478598403011,0.7806856619845494,0.9974918079895878,0.13060058913207595,1,0
temporal_disruption,0.8499013104054259,0.5524462856054305,0.9692300593016898,0.5981584292543132,0.9864908859729308,1.0,1.0,0.8811937874465987,0.0077175769582347176,0,0
closure_collapse,0.8499013104054259,0.5524462856054305,0.9692300593016898,0.9189293506852882,0.9817365584967216,1.0,1.0,0.6420209202103514,0.01211364788675695,0,0
coupling_fragmentation,0.8499013104054259,0.5524462856054305,0.9692300593016898,0.23018398475362364,0.30644295082925405,0.41591025315459274,0.3158456573174122,0.6966879085546394,0.0881838669819297,0,0
desync_shock,0.8499013104054259,0.5524462856054305,0.9692300593016898,0.8018551146039034,0.8947170223054802,1.0,0.9221699675533047,0.0,0.08851723666783218,0,0
all_disruption,0.8499013104054259,0.5524462856054305,0.9692300593016898,0.23598594083298172,0.4882449701962333,0.42639357598150657,0.5032259777105248,0.8675639812356374,0.1059209896897916,0,0
temporal_disruption,0.29132092466383963,0.3879027961541018,0.49338338591877795,0.7876276893106243,0.870338498155971,1.0,1.0,0.9952558820219107,0.137114879058312,0,0
closure_collapse,0.29132092466383963,0.3879027961541018,0.49338338591877795,0.2621934782880726,0.6199719587575147,0.67418769132269,1.0,0.9974286633835264,0.3330038315186872,0,0
coupling_fragmentation,0.29132092466383963,0.3879027961541018,0.49338338591877795,0.18174192489999183,0.34217513299567187,0.46731966624373933,0.6921250647607476,0.9974286633835264,0.24624502178103144,0,0
desync_shock,0.29132092466383963,0.3879027961541018,0.49338338591877795,0.34119040375385723,0.33034428087479745,0.8773153783616957,0.6681945435137854,0.9974286633835264,0.1409003802121606,0,0
