sim,transition_type,pre_shared_c,trans_shared_c,post_shared_c,pre_overlap,post_overlap,pre_c_range,post_c_range,fragmentation_change,shared_survives,reorganization,pre_order,post_order
0,closure_reorg,0.5458819379861304,0.6171578025284223,0.6909947310532394,0.9626210581619886,0.9270322166851128,0.05129693115036482,0.1520263718144339,0.10072944066406908,1,0.8,0.9158920579404201,0.7533152323865027
1,closure_reorg,0.924737035431493,0.9365624167394686,0.9613084308944058,0.9934643314340746,0.9837091028541897,0.015184944356631869,0.03803383990169873,0.02284889554506686,1,0.0,0.9807309848666753,0.9804949301765552
2,coupling_weaken,0.6992020812241738,0.7191422713327821,0.46721496070739227,0.981347180339999,0.936179628101528,0.046431151909742896,0.15982991103980276,0.11339875913005987,1,0.4,0.9107354313012567,0.36157896170008563
3,fragmentation,0.4012037121174161,0.44686521581183336,0.1934036443337838,0.9161464990544127,0.8673464637247327,0.14782368761725173,0.27741196411693886,0.12958827649968713,0,1.0,0.7201640647750444,0.47787294783806966
4,fragmentation,0.2543710447203019,0.23311978257848662,0.3060648293366623,0.8733435424461116,0.8855571850643824,0.20186809953336785,0.24554148292444175,0.043673383391073906,1,0.6,0.3790938337198475,0.48948438624759744
5,coupling_strengthen,0.23626632262474948,0.29747426667385507,0.7273435287135226,0.8912218051251916,0.8570309497940052,0.2571619277056315,0.2598008507387062,0.0026389230330746694,1,0.8,0.624979583825041,0.8702610068609385
6,coupling_strengthen,0.2865373016017149,0.2764885779562612,0.6508930403881175,0.8711714950608871,0.9273533800596546,0.22325997949460907,0.1690221313834277,-0.054237848111181375,1,1.0,0.5189868852705208,0.8026873711214112
7,fragmentation,0.266283494972174,0.29867100086263454,0.18042881104139824,0.893455280016115,0.9392148036425148,0.1774701436747453,0.08615246174789463,-0.09131768192685068,0,0.4,0.52702363768538,0.13738734604667802
8,fragmentation,0.3429353282071869,0.44959482124226247,0.2487182924577674,0.9171369467558106,0.918314696208978,0.13961408416538312,0.21454763035557634,0.07493354619019321,0,0.8,0.7999970924673991,0.4004974579764449
9,coupling_weaken,0.5579819250433142,0.527195992804106,0.31889964859724707,0.8342815837949817,0.8523469364694917,0.3990690453314511,0.28653375108200807,-0.11253529424944303,1,0.8,0.6809896189816359,0.5952648272512778
10,topology_change,0.6186069940799119,0.6264263538628048,0.8920417679913226,0.8920988131172091,0.9637990930102406,0.20308642306217234,0.07159738172343189,-0.13148904133874045,1,0.6,0.7983424120552662,0.9537170897297483
11,fragmentation,0.4591196752160129,0.46459280865406266,0.3880358846036195,0.8078048384951122,0.8832792938783451,0.3806136551767146,0.253065142417342,-0.12754851275937257,1,0.4,0.7592850622882383,0.44749897072831035
12,topology_change,0.5866229753662444,0.5487721754746065,0.33813362346494774,0.806759496574011,0.7635639594502823,0.42955001437744417,0.4737942983436805,0.04424428396623631,1,1.0,0.6734872312104713,0.7744761052796292
13,fragmentation,0.6213298678006445,0.6392135746535635,0.29013095592433774,0.9403790736161923,0.857450719362415,0.1337591265721102,0.2465797169270986,0.1128205903549884,0,0.6,0.8501724740213815,0.6755621332840682
14,coupling_weaken,0.6908729715880837,0.6935540520045393,0.23760820600083388,0.9219812984304492,0.8299927600467376,0.15462271945036488,0.3586872533806847,0.2040645339303198,0,1.0,0.8406123538184687,0.5465896647052947
15,topology_change,0.8012398715712638,0.8187111673939232,0.8585465169346485,0.955061367091495,0.9596143878950585,0.10322250334999072,0.09911909239724537,-0.004103410952745357,1,0.8,0.9316954901521579,0.9254439261490817
16,coupling_weaken,0.2050096458577026,0.2781120536165496,0.3214285083670901,0.9260945942440671,0.9080923033410805,0.1750779148662863,0.17414087444023166,-0.0009370404260546361,1,0.6,0.6797097345343086,0.31437452003167043
17,fragmentation,0.5748968630038109,0.5921387676406247,0.35104447872792693,0.8361110272831899,0.9563910029265607,0.3211004322590088,0.07986449583899846,-0.24123593642001034,1,1.0,0.8655826667291484,0.3801348863479766
18,closure_reorg,0.42146652932711676,0.3319528790644594,0.6400643981602112,0.8442077087052889,0.850417391039739,0.37447568347361754,0.3877447900007998,0.013269106527182273,1,0.0,0.43082358243502883,0.712136639638542
19,coupling_strengthen,0.20549688068680635,0.21685757709560755,0.6868864807793962,0.9516197727584179,0.9503322655331033,0.07915038976597327,0.11439343772150234,0.03524304795552907,1,1.0,0.31458649959500223,0.8393834680830747
20,topology_change,0.6068023831551007,0.5946245364398429,0.5078759019102276,0.9183989312279829,0.9018604864539147,0.1945937591519531,0.2128593421114368,0.018265582959483717,1,0.6,0.7155647222409229,0.682258635323754
21,closure_reorg,0.2698242232218587,0.31396192392000605,0.29547817342481997,0.8761689863593823,0.7595263459969093,0.3072238333267875,0.42317368290125407,0.11594984957446658,0,0.8,0.5949173945975869,0.3862074512427088
22,coupling_strengthen,0.3115472737248689,0.3495475045026339,0.7103263666284776,0.906485973628514,0.967491009348607,0.1392285571781467,0.07307893251327102,-0.06614962466487567,1,0.8,0.6460244171727035,0.8651280261355232
23,bifurcation,0.5073819420437117,0.49709069000198597,0.4467520757741462,0.8313670070474428,0.8682012282946587,0.3061508655713142,0.20463729134944036,-0.10151357422187385,1,0.0,0.7116959179326998,0.8261660033883617
24,coupling_weaken,0.7338613482466446,0.7405132714710182,0.28437207072992043,0.95559114788483,0.9397389104260809,0.09928946556288365,0.07310526253621,-0.026184203026673653,0,0.8,0.8738138529588259,0.2047092345491122
25,coupling_strengthen,0.294937183147332,0.3787311066905321,0.643429565143669,0.9446631367547484,0.9608412001681296,0.11253865746003222,0.0687683099322981,-0.04377034752773412,1,1.0,0.7950249472105168,0.8215387521924993
26,coupling_strengthen,0.2726658472480584,0.27304293919622064,0.8337255970358078,0.8631916015611129,0.9813907632616199,0.33837130233685253,0.03958383906100449,-0.29878746327584804,1,0.8,0.5470228550290521,0.962604884318613
27,topology_change,0.5176298829997409,0.548182198625146,0.5641910238682568,0.913714631344058,0.9101762024879101,0.22030209713694293,0.18131013264113138,-0.03899196449581155,1,0.4,0.7193439603470603,0.7351233203859797
28,bifurcation,0.36725489780680326,0.5057064367588118,0.5887255079691874,0.9654946484250514,0.9503190075250709,0.04650758143137512,0.10524267961602884,0.05873509818465372,1,0.8,0.9002709972344551,0.697427007530188
29,coupling_strengthen,0.2677077771619904,0.2637871340564615,0.5241369997138602,0.9830432704404793,0.9919794004062285,0.032265277365000844,0.01673265306611027,-0.015532624298890574,1,1.0,0.3268835215685666,0.9142399603087551
30,bifurcation,0.5204648240918428,0.42172029026767904,0.524574146241817,0.940916265101468,0.9444009653965125,0.13718891117722432,0.13182588347825586,-0.005363027698968459,1,0.0,0.49637941504333083,0.530637712093442
31,topology_change,0.5128102912704237,0.526201782176499,0.6549949428854682,0.8678284283379452,0.9268709849886995,0.2789283302953058,0.1341470433425398,-0.144781286952766,1,0.8,0.7430678430397261,0.8187036153894579
32,coupling_strengthen,0.19247951083430495,0.16583827278531088,0.7022428662449726,0.9284938122147308,0.9223655183448077,0.09587506461355755,0.1730055313433585,0.07713046672980095,1,0.8,0.24907440336717243,0.8423100936077997
33,fragmentation,0.5848507222999983,0.6508636417635992,0.5114688056370564,0.9762331874294642,0.938658898200136,0.04700963859620122,0.13317381687345942,0.0861641782772582,1,0.8,0.9186148065303928,0.743316113703889
