transition_type,pre_order,post_order,pre_closure,post_closure,r_drop,c_drop,r_recovery,c_recovery,continuity_survives,c_curvature,closure_deformation,bifurcation_point,c_delta,transformation_cluster
fragmentation,0.8897029914354578,0.547818875578607,0.3547988818887582,0.2557845824839584,0.0556840737186918,0.0,0.6150410191120403,0.7217127302953217,0,0.00010826837349,0.3339665729128125,0,-0.0990142994047998,4
coupling_strengthen,0.8501861847316787,0.9851417362891182,0.6334735253353893,0.7925199606963811,0.035501469190278,0.101706840415187,1.0,1.0,1,1.929547403077357e-05,0.2077435650520367,0,0.1590464353609918,3
topology_change,0.2869330059668368,0.2514786746690039,0.2523147517297486,0.3005942418717574,0.0,0.2124301953287893,0.8733930096849278,1.0,1,0.0001681920529495,1.601594374697483,1,0.0482794901420087,0
fragmentation,0.6804071897623075,0.4208964598400951,0.4354231313770039,0.2674064950893107,0.0654603984599393,0.0385247708741682,0.617687142377988,0.6150143651699523,0,7.849497985205359e-05,0.0008675789773608,0,-0.1680166362876931,4
coupling_weaken,0.9194659157071742,0.4895200321974162,0.8182617056003705,0.4869667633069505,0.0271387945291081,0.0833190676546065,0.531817663037885,0.595617688427606,1,6.251063905994865e-05,0.7272942459951409,0,-0.3312949422934199,1
bifurcation,0.8542266931774768,0.4404048499226004,0.5081600667016791,0.4875585973044765,0.1299456318949501,0.0,0.514956856978279,0.9595383244985056,1,4.193313636035093e-05,1.7641367899163414,0,-0.0206014693972026,1
bifurcation,0.3900283719601062,0.9252358637185596,0.4629193568305508,0.520586768421386,0.1913279760843556,0.1327509414492737,1.0,1.0,1,0.0001591991082945,0.094356127437438,0,0.0576674115908351,2
topology_change,0.2860287959017997,0.9034864104385844,0.1950132049980507,0.3746685719577783,0.1280448432770559,0.1443935113134308,1.0,1.0,1,6.987551888320962e-05,0.4730036258939392,0,0.1796553669597276,2
closure_reorg,0.8651422024306469,0.7770011691089108,0.558465724426989,0.7120851066934863,0.0,0.1220268726390383,0.8970826810290731,1.0,1,0.0002290821859779,0.4702271706024622,0,0.1536193822664973,3
coupling_weaken,0.9827487687127204,0.5056904943991547,0.7683043654810681,0.4304901912804029,0.007486219525072,0.0,0.5140443479902633,0.5608835860570994,1,3.692581467011668e-05,0.255345508354079,0,-0.3378141742006652,1
closure_reorg,0.6616664385906571,0.7839424503520784,0.3515377508958733,0.4922672924681353,0.0,0.1657165611436996,1.0,1.0,1,0.000209024059694,0.4755509362557459,0,0.1407295415722619,0
coupling_weaken,0.952212201024194,0.8331564652387676,0.8338711748903143,0.4935138111954054,0.0183661133520561,0.0019127071084755,0.8740514067524202,0.5923234938137311,1,3.004959936321853e-05,0.7651663099313475,0,-0.3403573636949088,1
topology_change,0.9696622984916812,0.9451430946071372,0.8309881122456287,0.8942683232749519,0.0015994417214975,0.0116931780604524,0.9737094930706608,1.0,1,1.120655408166696e-05,0.1591232623139194,0,0.0632802110293231,3
closure_reorg,0.4514191483433151,0.5046339748856191,0.2386369738440224,0.1504549088267585,0.0,0.0334897817164797,1.0,0.6320181163919187,0,0.0002076556959582,4.677636278926826,0,-0.0881820650172638,0
fragmentation,0.8065297498297699,0.8448753259705158,0.5328490018905309,0.4509243270833716,0.1543339632926498,0.1797036442518592,1.0,0.8465396122929186,1,8.090732753186678e-05,0.6806498928389778,0,-0.0819246748071592,2
closure_reorg,0.9254301168698632,0.9210739643905644,0.7556857448673634,0.8416665712300059,0.0019594209527514,0.0148200823704814,0.99421850349879,1.0,1,2.613875186715987e-05,1.1908026705645034,0,0.0859808263626424,3
topology_change,0.5493365737504626,0.8073330488389558,0.5195597652300858,0.6188145231262927,0.1127348299701304,0.1319691939271691,1.0,1.0,1,2.2428887889689038e-05,0.3531430312212385,0,0.0992547578962068,3
fragmentation,0.8207995255815591,0.7002379010886121,0.5151616400056241,0.323846261239908,0.0540647820534853,0.015139907719639,0.852078736104256,0.629349870394027,1,6.310350745685843e-05,0.5138456872583409,0,-0.1913153787657161,1
closure_reorg,0.6180878858153227,0.4174342628090894,0.3774722095519408,0.4529909134116184,0.0,0.0019559761176068,0.6742730270991159,1.0,1,0.0001823106743991,0.1813063984782944,0,0.0755187038596775,0
fragmentation,0.9250666825293048,0.2910847780049784,0.8379922059765745,0.1125593222781515,0.0273108871046112,0.0290680397616724,0.3143237776462897,0.1353520586594367,0,7.531377185858665e-05,0.7982622839026099,0,-0.725432883698423,4
bifurcation,0.8245335244669707,0.3094599589721521,0.332496019768693,0.3868125721512399,0.0691578322947886,0.0,0.3748605596265322,1.0,1,0.0001388973544903,0.032242721031406,0,0.0543165523825469,1
coupling_weaken,0.965656567346984,0.5970991640690939,0.8982635864511787,0.2592379972378997,0.0137764271399721,0.0064698258740644,0.6176952438318908,0.2893901200479978,0,3.831595824989861e-05,0.8342949327508409,0,-0.639025589213279,4
