param,value,mean_closure,survival_rate,K,alpha
K,0.0,0.26757259598187655,0.35,,
K,0.1,0.2894694214502934,0.475,,
K,0.2,0.30979999200113123,0.575,,
K,0.30000000000000004,0.32808250185302446,0.525,,
K,0.4,0.3834969027197935,0.75,,
K,0.5,0.4850994059587924,0.8,,
K,0.6000000000000001,0.4722040041311385,0.85,,
K,0.7000000000000001,0.5168505745161774,0.85,,
K,0.8,0.5417398870262017,0.875,,
K,0.9,0.5881160436004272,0.95,,
K,1.0,0.6221211584026162,0.95,,
alpha,0.0,0.5273830796211965,0.95,,
alpha,0.05,0.5163383855029962,1.0,,
alpha,0.1,0.5099524579767205,0.975,,
alpha,0.15000000000000002,0.536419376070414,0.875,,
alpha,0.2,0.5776554745885717,0.925,,
alpha,0.25,0.5616236100274014,0.925,,
alpha,0.30000000000000004,0.5840343510648732,0.925,,
alpha,0.35000000000000003,0.563557256961648,0.8,,
alpha,0.4,0.6764206068202415,0.95,,
alpha,0.45,0.591497229993651,0.875,,
alpha,0.5,0.5683970026866995,0.775,,
beta,0.0,0.5365571494952469,0.925,,
beta,0.05,0.5374801845607939,0.925,,
beta,0.1,0.5629267604263589,0.875,,
beta,0.15000000000000002,0.5552940128906825,0.925,,
beta,0.2,0.5466048740106695,0.925,,
beta,0.25,0.5748988531652018,0.975,,
beta,0.30000000000000004,0.5214517657826516,0.85,,
beta,0.35000000000000003,0.5538922395711955,0.95,,
beta,0.4,0.5687906386151754,0.975,,
beta,0.45,0.5370818171052141,0.875,,
beta,0.5,0.531449903038453,0.85,,
,,0.5090053788051483,0.925,0.0,0.0
,,0.32524389376842666,0.575,0.0,0.1
,,0.27130740573230855,0.325,0.0,0.2
,,0.21842695061950304,0.2,0.0,0.30000000000000004
,,0.23718515104608606,0.25,0.0,0.4
,,0.26381323753219627,0.325,0.0,0.5
,,0.48041833192661637,0.975,0.2,0.0
,,0.3467252445730825,0.625,0.2,0.1
,,0.33305626951444667,0.45,0.2,0.2
,,0.309840747773233,0.4,0.2,0.30000000000000004
,,0.2678567740050084,0.325,0.2,0.4
,,0.2721837158697669,0.4,0.2,0.5
,,0.49726199469438714,0.95,0.4,0.0
,,0.3927038813945871,0.8,0.4,0.1
,,0.4024401469554825,0.75,0.4,0.2
,,0.3869648721750011,0.625,0.4,0.30000000000000004
,,0.35952156428569537,0.525,0.4,0.4
,,0.4192849994157689,0.7,0.4,0.5
,,0.4893593258821617,0.95,0.6000000000000001,0.0
,,0.4604367303307228,0.975,0.6000000000000001,0.1
,,0.48747450237307544,0.9,0.6000000000000001,0.2
,,0.4450647933994306,0.7,0.6000000000000001,0.30000000000000004
,,0.48345789547826046,0.775,0.6000000000000001,0.4
,,0.470278162371052,0.675,0.6000000000000001,0.5
,,0.5028779407034014,0.975,0.8,0.0
,,0.5353436332708361,0.975,0.8,0.1
,,0.5521876669355272,0.95,0.8,0.2
,,0.5585857143120603,0.9,0.8,0.30000000000000004
,,0.6229618726279256,0.925,0.8,0.4
,,0.6592794763807539,0.925,0.8,0.5
,,0.4596747399693334,0.825,1.0,0.0
,,0.5678589398413338,1.0,1.0,0.1
,,0.6121681431905206,0.95,1.0,0.2
,,0.643711800260181,0.925,1.0,0.30000000000000004
,,0.7082783014262048,0.95,1.0,0.4
,,0.6970461954158393,0.95,1.0,0.5
