op_A,op_B,A_preserves,B_preserves,comp_preserves,closed
additive,multiplicative,False,False,False,False
additive,multiplicative,False,False,False,False
additive,multiplicative,False,False,False,False
additive,branching,False,False,False,False
additive,branching,False,False,False,False
additive,branching,False,False,False,False
additive,branching,False,False,False,False
additive,synchronization,False,False,False,False
additive,synchronization,False,False,False,False
additive,recursive_feedback,False,False,False,False
additive,recursive_feedback,False,False,False,False
additive,recursive_feedback,False,False,False,False
additive,recursive_feedback,False,False,False,False
additive,competitive_exclusion,False,False,False,False
additive,competitive_exclusion,False,False,False,False
additive,competitive_exclusion,False,False,False,False
additive,diffusion,False,False,False,False
additive,diffusion,False,False,False,False
additive,diffusion,False,False,False,False
additive,hierarchical_nesting,False,False,False,False
additive,hierarchical_nesting,False,False,False,False
additive,hierarchical_nesting,False,False,False,False
additive,constraint_propagation,False,False,False,False
additive,constraint_propagation,False,False,False,False
additive,constraint_propagation,False,False,False,False
additive,resonance_locking,False,False,False,False
additive,resonance_locking,False,False,False,False
additive,resonance_locking,False,False,False,False
additive,resonance_locking,False,False,False,False
multiplicative,branching,False,False,False,False
multiplicative,branching,False,False,False,False
multiplicative,branching,False,False,False,False
multiplicative,branching,False,False,False,False
multiplicative,synchronization,False,False,False,False
multiplicative,synchronization,False,False,False,False
multiplicative,synchronization,False,False,False,False
multiplicative,recursive_feedback,False,False,False,False
multiplicative,recursive_feedback,False,False,False,False
multiplicative,recursive_feedback,False,False,False,False
multiplicative,competitive_exclusion,False,False,False,False
multiplicative,competitive_exclusion,False,False,False,False
multiplicative,competitive_exclusion,False,False,False,False
multiplicative,diffusion,False,False,False,False
multiplicative,diffusion,False,False,False,False
multiplicative,diffusion,False,False,False,False
multiplicative,diffusion,False,False,False,False
multiplicative,hierarchical_nesting,False,False,False,False
multiplicative,hierarchical_nesting,False,False,False,False
multiplicative,hierarchical_nesting,False,False,False,False
multiplicative,hierarchical_nesting,False,False,False,False
multiplicative,constraint_propagation,False,False,False,False
multiplicative,constraint_propagation,False,False,False,False
multiplicative,constraint_propagation,False,False,False,False
multiplicative,constraint_propagation,False,False,False,False
multiplicative,resonance_locking,False,False,False,False
multiplicative,resonance_locking,False,False,False,False
multiplicative,resonance_locking,False,False,False,False
branching,synchronization,False,False,False,False
branching,synchronization,False,False,False,False
branching,synchronization,False,False,False,False
branching,synchronization,False,False,False,False
branching,recursive_feedback,False,False,False,False
branching,recursive_feedback,False,False,False,False
branching,recursive_feedback,False,False,False,False
branching,recursive_feedback,False,False,False,False
branching,competitive_exclusion,False,False,False,False
branching,competitive_exclusion,False,False,False,False
branching,competitive_exclusion,False,False,False,False
branching,competitive_exclusion,False,False,False,False
branching,diffusion,False,False,False,False
branching,diffusion,False,False,False,False
branching,diffusion,False,False,False,False
branching,hierarchical_nesting,False,False,False,False
branching,hierarchical_nesting,False,False,False,False
branching,hierarchical_nesting,False,False,False,False
branching,hierarchical_nesting,False,False,False,False
branching,constraint_propagation,False,False,False,False
branching,constraint_propagation,False,False,False,False
branching,constraint_propagation,False,False,False,False
branching,resonance_locking,False,False,False,False
branching,resonance_locking,False,False,False,False
branching,resonance_locking,False,False,False,False
branching,resonance_locking,False,False,False,False
synchronization,recursive_feedback,False,False,False,False
synchronization,recursive_feedback,False,False,False,False
synchronization,recursive_feedback,False,False,False,False
synchronization,recursive_feedback,False,False,False,False
synchronization,competitive_exclusion,False,False,False,False
synchronization,competitive_exclusion,False,False,False,False
synchronization,competitive_exclusion,False,False,False,False
synchronization,diffusion,False,False,False,False
synchronization,diffusion,False,False,False,False
synchronization,diffusion,False,False,False,False
synchronization,hierarchical_nesting,False,False,False,False
synchronization,hierarchical_nesting,False,False,False,False
synchronization,hierarchical_nesting,False,False,False,False
synchronization,constraint_propagation,False,False,False,False
synchronization,constraint_propagation,False,False,False,False
synchronization,constraint_propagation,False,False,False,False
synchronization,resonance_locking,False,False,False,False
synchronization,resonance_locking,False,False,False,False
synchronization,resonance_locking,False,False,False,False
synchronization,resonance_locking,False,False,False,False
recursive_feedback,competitive_exclusion,False,False,False,False
recursive_feedback,competitive_exclusion,False,False,False,False
recursive_feedback,competitive_exclusion,False,False,False,False
recursive_feedback,competitive_exclusion,False,False,False,False
recursive_feedback,diffusion,False,False,False,False
recursive_feedback,diffusion,False,False,False,False
recursive_feedback,diffusion,False,False,False,False
recursive_feedback,diffusion,False,False,False,False
recursive_feedback,hierarchical_nesting,False,False,False,False
recursive_feedback,hierarchical_nesting,False,False,False,False
recursive_feedback,hierarchical_nesting,False,False,False,False
recursive_feedback,hierarchical_nesting,False,False,False,False
recursive_feedback,constraint_propagation,False,False,False,False
recursive_feedback,constraint_propagation,False,False,False,False
recursive_feedback,constraint_propagation,False,False,False,False
recursive_feedback,constraint_propagation,False,False,False,False
recursive_feedback,resonance_locking,False,False,False,False
recursive_feedback,resonance_locking,False,False,False,False
competitive_exclusion,diffusion,False,False,False,False
competitive_exclusion,diffusion,False,False,False,False
competitive_exclusion,diffusion,False,False,False,False
competitive_exclusion,diffusion,False,False,False,False
competitive_exclusion,hierarchical_nesting,False,False,False,False
competitive_exclusion,hierarchical_nesting,False,False,False,False
competitive_exclusion,hierarchical_nesting,False,False,False,False
competitive_exclusion,hierarchical_nesting,False,False,False,False
competitive_exclusion,constraint_propagation,False,False,False,False
competitive_exclusion,constraint_propagation,False,False,False,False
competitive_exclusion,constraint_propagation,False,False,False,False
competitive_exclusion,constraint_propagation,False,False,False,False
competitive_exclusion,resonance_locking,False,False,False,False
competitive_exclusion,resonance_locking,False,False,False,False
competitive_exclusion,resonance_locking,False,False,False,False
competitive_exclusion,resonance_locking,False,False,False,False
diffusion,hierarchical_nesting,False,False,False,False
diffusion,hierarchical_nesting,False,False,False,False
diffusion,hierarchical_nesting,False,False,False,False
diffusion,constraint_propagation,False,False,False,False
diffusion,constraint_propagation,False,False,False,False
diffusion,resonance_locking,False,False,False,False
diffusion,resonance_locking,False,False,False,False
diffusion,resonance_locking,False,False,False,False
diffusion,resonance_locking,False,False,False,False
hierarchical_nesting,constraint_propagation,False,False,False,False
hierarchical_nesting,constraint_propagation,False,False,False,False
hierarchical_nesting,constraint_propagation,False,False,False,False
hierarchical_nesting,resonance_locking,False,False,False,False
hierarchical_nesting,resonance_locking,False,False,False,False
hierarchical_nesting,resonance_locking,False,False,False,False
hierarchical_nesting,resonance_locking,False,False,False,False
constraint_propagation,resonance_locking,False,False,False,False
constraint_propagation,resonance_locking,False,False,False,False
constraint_propagation,resonance_locking,False,False,False,False
constraint_propagation,resonance_locking,False,False,False,False
