recording,N,T,alpha,PR,LC,mean_IPR,r_mean,alpha_PR
Calais_0713_2_MEC,69,4560,0.03803,28.94,-1.3113,0.05612,0.5000,1.10
Goa_1207_1_MEC,63,1200,0.05344,29.69,-1.3109,0.04760,0.5000,1.59
Goa_1209_1_MEC,106,1200,0.03483,30.80,-1.3093,0.02839,0.5000,1.07
Goa_1209_1_MEC_18c25cb3,165,24000,0.01520,57.42,-1.3043,0.03486,0.5000,0.87
Goa_1210_1_MEC,258,24000,0.01011,90.61,-1.3021,0.01927,0.5000,0.92
Goa_1210_1_MEC_90a0e9b0,192,1200,0.02651,53.12,-1.3058,0.01601,0.5000,1.41
Goa_1211_1_MEC,137,1200,0.02997,38.66,-1.3175,0.02463,0.5000,1.16
Goa_1211_1_MEC_a16d6c04,204,24000,0.01115,74.95,-1.3058,0.02973,0.5000,0.84
Hanover_0615_2_MEC,72,24000,0.03844,29.57,-1.3399,0.08695,0.5000,1.14
Kerala_1207_1_MEC,227,24000,0.01419,58.46,-1.3096,0.02854,0.5000,0.83
Kerala_1207_1_MEC_a631b804,165,1200,0.03162,30.26,-1.3070,0.02069,0.5000,0.96
Kerala_1208_1_MEC,153,1200,0.03277,45.68,-1.3087,0.02293,0.5000,1.50
Kerala_1209_1_MEC,98,1200,0.04240,22.03,-1.3113,0.04051,0.5000,0.93
Kerala_1210_2_MEC,46,1200,0.08200,14.59,-1.3530,0.09463,0.5000,1.20
Kerala_1211_1_MEC,113,1200,0.03772,25.26,-1.3128,0.03382,0.5000,0.95
Kerala_1213_1_MEC,146,1200,0.03104,20.49,-1.3107,0.02547,0.5000,0.64
Mumbai_1125_1_MEC,37,1200,0.10372,17.79,-1.3834,0.09975,0.5000,1.85
Mumbai_1129_1_MEC,156,20800,0.01989,55.01,-1.3012,0.04097,0.5000,1.09
Mumbai_1129_1_MEC_075a63ad,106,1200,0.04525,10.95,-1.3140,0.04707,0.5000,0.50
Mumbai_1130_1_MEC,153,1200,0.03075,28.04,-1.3142,0.02220,0.5000,0.86
Mumbai_1130_1_MEC_50ee2840,204,16000,0.01574,23.32,-1.3111,0.03717,0.5000,0.37
