system,pc1,pc2,effective_rank,tau_m1,tau_m2,tau_m3,tau_m4,temporal_corr,phase_corr,pc1_ratio,replay_displacement,abl_full_pc1,abl_no_m1_pc1,abl_no_m2_pc1,abl_no_m3_pc1,abl_no_m4_pc1,m2_contribution
primes,0.9371952071819848,0.0618789682583989,1.2708332295456253,0.5787192726761472,0.6008900427976224,0.04752606872689077,0.5493236138117762,-0.5458647494895071,-0.8387880171574871,1.2918539471609274,0.0163562760962471,0.9399794848909668,0.911380200211586,0.9283696854027372,0.9772712002207776,0.9342564390775648,0.0116097994882296
fibonacci,0.8616359149001074,0.0729267099974229,1.6727529759106894,0.6688422145428248,0.6642841026565587,0.018154281611656886,0.3332373704469311,-0.938981678448358,-0.9710957711736478,1.5174533894074036,0.3323081759590897,0.0,0.0,0.0,0.0,0.0,0.0
modular_arithmetic,0.900348967623832,0.0533830848751643,1.5200027165389507,0.6609093549330964,0.6687066718654368,0.14529715570706084,0.30808918856072864,-0.9738061560736556,-0.8558312695440369,1.2745074378770191,0.3303993663918432,0.0,0.0,0.0,0.0,0.0,0.0
additive_recurrence,0.8563820935462279,0.1237012917498013,1.6034830079016904,-0.07525426652341932,0.9956700150145693,-0.049467625304102064,0.023042799692801052,0.9061629635199708,0.9924479481365742,2.5362174652342766,1.0949588914424848,0.0,0.0,0.0,0.0,0.0,0.0
lorenz,0.5072003857573868,0.4244522776958004,2.4472070955596648,0.930292045742598,0.24311767269974377,0.0813997231265029,0.2623444146995345,-0.2708404201520495,0.9604737565959997,1.5155028420594068,0.8634073666864136,0.506579762031862,0.8068488105657408,0.8844175103135322,0.5423181775268177,0.4931846672086486,-0.37783774828167027
logistic_map,0.8825631243816553,0.0844950941401579,1.5616924876491949,-0.0560841392121278,0.9949141320074155,-0.033933402266050114,0.07647851640438777,0.9856758441448594,0.9978946870660276,2.8543437521975763,0.8976007310046259,0.8835491901903513,0.9069070231394646,0.6967308196432912,0.8863214964068069,0.962738728725217,0.18681837054706008
henon_map,0.9542735238609682,0.0332217052072616,1.2431429305000044,-0.061728459063725136,0.9932225930070897,-0.048536835845907136,0.08568928549100543,0.9909836258897342,0.9967576131832832,2.117004847041648,0.908317613006328,0.956862036194979,0.9684076867164793,0.7649866435103296,0.9609270434702092,0.9881495870046396,0.19187539268464937
ising_magnetization,0.7220448546232198,0.2643445062651218,1.922539375728059,-0.00885268776756022,0.9914052772835282,-0.13046335800062603,0.0040642727344900875,0.9009748451528112,0.9646786207550544,2.195229574391619,1.0138724505518224,0.6374161854273539,0.6094797174256916,0.9566161749079342,0.9541763294279746,0.6035406078127136,-0.31919998948058026
reaction_diffusion,0.6292919187221929,0.2122459786024665,2.633415431174447,0.7128026607531589,0.03448339566767833,0.5325400152370593,0.45510921152812994,-0.0290838656584459,0.3679757475085228,1.4888571664921972,1.215825627370613,0.0,0.0,0.0,0.0,0.0,0.0
cfg_expansion,0.9316931956647468,0.067452460852183,1.289191085833841,0.5746575620573651,0.6097986433448661,0.054442225640641745,0.5430933115150095,-0.360740499541276,-0.8873026273559909,1.277645685223587,0.0161288294647248,0.9343497689067998,0.9046520455710262,0.92849274993399,0.9767010142416366,0.932892087548128,0.005857018972809769
lambda_reduction,0.9350281398998138,0.0640743478991097,1.2780424909856631,0.5740946782004478,0.6087701105541975,0.04920331326316065,0.5453377732393765,-0.4164871352960328,-0.8657195213619072,1.2853324624008735,0.0161669954503619,0.0,0.0,0.0,0.0,0.0,0.0
rewrite_system,0.8605089621573792,0.0747501308855614,1.6740742097697594,0.6701755599327536,0.6631880048191005,0.02017771397340975,0.3326247870975473,-0.9466905249444856,-0.9676023009713768,1.5529298195838768,0.3323081759590897,0.0,0.0,0.0,0.0,0.0,0.0
iid_gaussian,0.92866508956883,0.0597116223715373,1.342714602143987,-0.006273074230929155,0.9995754274417068,0.023135535750975572,-0.016563827454361246,0.9894667060486734,0.9985263381918056,2.991490431338198,1.0003565200871187,0.9303784471925428,0.9240513471259174,0.6787453397329466,0.9550069818553572,0.954746624248472,0.2516331074595962
colored_noise,0.8123428575937076,0.1824164586814518,1.6612853986287848,-0.0009278807663340293,0.9997383011796932,0.006732892326943851,0.02184345102172812,0.9907841432264062,0.9981765787936904,2.627010519773995,0.9966494826801494,0.0,0.0,0.0,0.0,0.0,0.0
