system,pc1_variance,pc2_variance,effective_rank,tau_axis,sample_count,category
primes,0.9371952071819849,0.061878968258398996,1.2708332295456253,"[0.5787192726761472, 0.6008900427976224, 0.04752606872689077, 0.5493236138117762]",400,arithmetic
fibonacci,0.8616359149001074,0.07292670999742293,1.6727529759106894,"[0.6688422145428248, 0.6642841026565587, 0.018154281611656886, 0.3332373704469311]",400,arithmetic
modular_arithmetic,0.900348967623832,0.0533830848751643,1.5200027165389507,"[0.6609093549330964, 0.6687066718654368, 0.14529715570706084, 0.30808918856072864]",400,arithmetic
additive_recurrence,0.8563820935462279,0.1237012917498013,1.6034830079016904,"[-0.07525426652341932, 0.9956700150145693, -0.049467625304102064, 0.023042799692801052]",400,arithmetic
lorenz,0.5072003857573868,0.42445227769580046,2.4472070955596648,"[0.930292045742598, 0.24311767269974377, 0.0813997231265029, 0.2623444146995345]",400,dynamical
logistic_map,0.8825631243816553,0.08449509414015793,1.5616924876491949,"[-0.0560841392121278, 0.9949141320074155, -0.033933402266050114, 0.07647851640438777]",400,dynamical
henon_map,0.9542735238609682,0.033221705207261656,1.2431429305000044,"[-0.061728459063725136, 0.9932225930070897, -0.048536835845907136, 0.08568928549100543]",400,dynamical
ising_magnetization,0.7220448546232198,0.26434450626512185,1.922539375728059,"[-0.00885268776756022, 0.9914052772835282, -0.13046335800062603, 0.0040642727344900875]",400,dynamical
reaction_diffusion,0.6292919187221929,0.2122459786024665,2.633415431174447,"[0.7128026607531589, 0.03448339566767833, 0.5325400152370593, 0.45510921152812994]",400,dynamical
cfg_expansion,0.9316931956647467,0.06745246085218307,1.2891910858338407,"[0.5746575620573651, 0.6097986433448661, 0.054442225640641745, 0.5430933115150095]",400,symbolic
lambda_reduction,0.9350281398998138,0.0640743478991097,1.2780424909856631,"[0.5740946782004478, 0.6087701105541975, 0.04920331326316065, 0.5453377732393765]",400,symbolic
rewrite_system,0.8605089621573792,0.07475013088556144,1.6740742097697594,"[0.6701755599327536, 0.6631880048191005, 0.02017771397340975, 0.3326247870975473]",400,symbolic
iid_gaussian,0.9286650895688299,0.059711622371537314,1.342714602143987,"[-0.006273074230929155, 0.9995754274417068, 0.023135535750975572, -0.016563827454361246]",400,random_control
colored_noise,0.8123428575937076,0.1824164586814518,1.6612853986287848,"[-0.0009278807663340293, 0.9997383011796932, 0.006732892326943851, 0.02184345102172812]",400,random_control
