system,category,ablation,pc1,n_metrics
constant,control,full,0.9785629309960822,4
constant,control,no_m1,0.9768825549164496,3
constant,control,no_m2,0.9846287272675124,3
constant,control,no_m3,0.8674642563537488,3
constant,control,no_m4,0.9878131385009614,3
constant,control,m1_only,1.0,1
constant,control,m2_only,1.0,1
constant,control,m3_only,1.0,1
constant,control,m4_only,1.0,1
linear_ramp,control,full,0.7751859582199189,4
linear_ramp,control,no_m1,0.6505960945425293,3
linear_ramp,control,no_m2,0.9628978638322911,3
linear_ramp,control,no_m3,0.757174491657837,3
linear_ramp,control,no_m4,0.7696811342105122,3
linear_ramp,control,m1_only,1.0,1
linear_ramp,control,m2_only,1.0,1
linear_ramp,control,m3_only,1.0,1
linear_ramp,control,m4_only,1.0,1
iid_gaussian,control,full,0.9303784471925427,4
iid_gaussian,control,no_m1,0.9240513471259174,3
iid_gaussian,control,no_m2,0.6787453397329466,3
iid_gaussian,control,no_m3,0.9550069818553573,3
iid_gaussian,control,no_m4,0.9547466242484719,3
iid_gaussian,control,m1_only,1.0,1
iid_gaussian,control,m2_only,1.0,1
iid_gaussian,control,m3_only,1.0,1
iid_gaussian,control,m4_only,1.0,1
primes,arithmetic,full,0.9399794848909667,4
primes,arithmetic,no_m1,0.9113802002115861,3
primes,arithmetic,no_m2,0.9283696854027372,3
primes,arithmetic,no_m3,0.9772712002207777,3
primes,arithmetic,no_m4,0.9342564390775647,3
primes,arithmetic,m1_only,1.0,1
primes,arithmetic,m2_only,1.0,1
primes,arithmetic,m3_only,1.0,1
primes,arithmetic,m4_only,1.0,1
lorenz,dynamical,full,0.506579762031862,4
lorenz,dynamical,no_m1,0.8068488105657408,3
lorenz,dynamical,no_m2,0.8844175103135322,3
lorenz,dynamical,no_m3,0.5423181775268177,3
lorenz,dynamical,no_m4,0.4931846672086486,3
lorenz,dynamical,m1_only,1.0,1
lorenz,dynamical,m2_only,1.0,1
lorenz,dynamical,m3_only,1.0,1
lorenz,dynamical,m4_only,1.0,1
logistic_map,dynamical,full,0.8835491901903513,4
logistic_map,dynamical,no_m1,0.9069070231394646,3
logistic_map,dynamical,no_m2,0.6967308196432912,3
logistic_map,dynamical,no_m3,0.8863214964068069,3
logistic_map,dynamical,no_m4,0.962738728725217,3
logistic_map,dynamical,m1_only,1.0,1
logistic_map,dynamical,m2_only,1.0,1
logistic_map,dynamical,m3_only,1.0,1
logistic_map,dynamical,m4_only,1.0,1
henon_map,dynamical,full,0.956862036194979,4
henon_map,dynamical,no_m1,0.9684076867164791,3
henon_map,dynamical,no_m2,0.7649866435103296,3
henon_map,dynamical,no_m3,0.9609270434702092,3
henon_map,dynamical,no_m4,0.9881495870046397,3
henon_map,dynamical,m1_only,1.0,1
henon_map,dynamical,m2_only,1.0,1
henon_map,dynamical,m3_only,1.0,1
henon_map,dynamical,m4_only,1.0,1
ising_magnetization,dynamical,full,0.6374161854273539,4
ising_magnetization,dynamical,no_m1,0.6094797174256916,3
ising_magnetization,dynamical,no_m2,0.9566161749079342,3
ising_magnetization,dynamical,no_m3,0.9541763294279746,3
ising_magnetization,dynamical,no_m4,0.6035406078127136,3
ising_magnetization,dynamical,m1_only,1.0,1
ising_magnetization,dynamical,m2_only,1.0,1
ising_magnetization,dynamical,m3_only,1.0,1
ising_magnetization,dynamical,m4_only,1.0,1
cfg_expansion,symbolic,full,0.9343497689067998,4
cfg_expansion,symbolic,no_m1,0.9046520455710262,3
cfg_expansion,symbolic,no_m2,0.92849274993399,3
cfg_expansion,symbolic,no_m3,0.9767010142416366,3
cfg_expansion,symbolic,no_m4,0.9328920875481279,3
cfg_expansion,symbolic,m1_only,1.0,1
cfg_expansion,symbolic,m2_only,1.0,1
cfg_expansion,symbolic,m3_only,1.0,1
cfg_expansion,symbolic,m4_only,1.0,1
