n_features,features,agreement
1,pc1,0.5714285714285714
1,pc2,0.5714285714285714
1,effective_rank,0.5
1,tau_m1,0.5
1,tau_m2,0.07142857142857142
1,tau_m3,0.7142857142857143
1,tau_m4,0.07142857142857142
1,temporal_corr,0.2857142857142857
1,phase_corr,0.5714285714285714
1,pc1_ratio,0.21428571428571427
1,replay_displacement,0.0
1,abl_full_pc1,0.2857142857142857
1,abl_no_m1_pc1,0.21428571428571427
1,abl_no_m2_pc1,0.07142857142857142
1,abl_no_m3_pc1,0.21428571428571427
1,abl_no_m4_pc1,0.2857142857142857
1,m2_contribution,0.2857142857142857
2,pc1+pc2,0.5714285714285714
2,pc1+effective_rank,0.5
2,pc1+tau_m1,0.14285714285714285
2,pc1+tau_m2,0.14285714285714285
2,pc1+tau_m3,0.42857142857142855
2,pc1+tau_m4,0.5
2,pc1+temporal_corr,0.0
2,pc1+phase_corr,0.35714285714285715
2,pc1+pc1_ratio,0.0
2,pc1+replay_displacement,0.35714285714285715
2,pc1+abl_full_pc1,0.14285714285714285
2,pc1+abl_no_m1_pc1,0.14285714285714285
2,pc1+abl_no_m2_pc1,0.6428571428571429
2,pc1+abl_no_m3_pc1,0.42857142857142855
2,pc1+abl_no_m4_pc1,0.14285714285714285
2,pc1+m2_contribution,0.21428571428571427
2,pc2+effective_rank,0.5714285714285714
2,pc2+tau_m1,0.07142857142857142
2,pc2+tau_m2,0.14285714285714285
2,pc2+tau_m3,0.35714285714285715
2,pc2+tau_m4,0.07142857142857142
2,pc2+temporal_corr,0.0
2,pc2+phase_corr,0.0
2,pc2+pc1_ratio,0.0
2,pc2+replay_displacement,0.2857142857142857
2,pc2+abl_full_pc1,0.2857142857142857
2,pc2+abl_no_m1_pc1,0.6428571428571429
2,pc2+abl_no_m2_pc1,0.6428571428571429
2,pc2+abl_no_m3_pc1,0.6428571428571429
2,pc2+abl_no_m4_pc1,0.2857142857142857
2,pc2+m2_contribution,0.7857142857142857
2,effective_rank+tau_m1,0.14285714285714285
2,effective_rank+tau_m2,0.14285714285714285
2,effective_rank+tau_m3,0.5
2,effective_rank+tau_m4,0.5
2,effective_rank+temporal_corr,0.5
2,effective_rank+phase_corr,0.0
2,effective_rank+pc1_ratio,0.0
2,effective_rank+replay_displacement,0.5
2,effective_rank+abl_full_pc1,0.14285714285714285
2,effective_rank+abl_no_m1_pc1,0.14285714285714285
2,effective_rank+abl_no_m2_pc1,0.21428571428571427
2,effective_rank+abl_no_m3_pc1,0.42857142857142855
2,effective_rank+abl_no_m4_pc1,0.14285714285714285
2,effective_rank+m2_contribution,0.5714285714285714
2,tau_m1+tau_m2,0.07142857142857142
2,tau_m1+tau_m3,0.5
2,tau_m1+tau_m4,0.2857142857142857
2,tau_m1+temporal_corr,0.5
2,tau_m1+phase_corr,0.07142857142857142
2,tau_m1+pc1_ratio,0.5
2,tau_m1+replay_displacement,0.5
2,tau_m1+abl_full_pc1,0.07142857142857142
2,tau_m1+abl_no_m1_pc1,0.07142857142857142
2,tau_m1+abl_no_m2_pc1,0.07142857142857142
2,tau_m1+abl_no_m3_pc1,0.5714285714285714
2,tau_m1+abl_no_m4_pc1,0.07142857142857142
2,tau_m1+m2_contribution,0.0
2,tau_m2+tau_m3,0.8571428571428571
2,tau_m2+tau_m4,0.5
2,tau_m2+temporal_corr,0.5
2,tau_m2+phase_corr,0.07142857142857142
2,tau_m2+pc1_ratio,0.14285714285714285
2,tau_m2+replay_displacement,0.5
2,tau_m2+abl_full_pc1,0.14285714285714285
2,tau_m2+abl_no_m1_pc1,0.35714285714285715
2,tau_m2+abl_no_m2_pc1,0.35714285714285715
2,tau_m2+abl_no_m3_pc1,0.14285714285714285
2,tau_m2+abl_no_m4_pc1,0.14285714285714285
2,tau_m2+m2_contribution,0.9285714285714286
2,tau_m3+tau_m4,0.5
2,tau_m3+temporal_corr,0.5
2,tau_m3+phase_corr,0.0
2,tau_m3+pc1_ratio,0.07142857142857142
2,tau_m3+replay_displacement,0.8571428571428571
2,tau_m3+abl_full_pc1,0.14285714285714285
2,tau_m3+abl_no_m1_pc1,0.14285714285714285
2,tau_m3+abl_no_m2_pc1,0.14285714285714285
2,tau_m3+abl_no_m3_pc1,0.14285714285714285
2,tau_m3+abl_no_m4_pc1,0.14285714285714285
2,tau_m3+m2_contribution,0.5
2,tau_m4+temporal_corr,0.2857142857142857
2,tau_m4+phase_corr,0.9285714285714286
2,tau_m4+pc1_ratio,0.07142857142857142
2,tau_m4+replay_displacement,0.9285714285714286
2,tau_m4+abl_full_pc1,0.42857142857142855
2,tau_m4+abl_no_m1_pc1,0.42857142857142855
2,tau_m4+abl_no_m2_pc1,0.42857142857142855
2,tau_m4+abl_no_m3_pc1,0.35714285714285715
2,tau_m4+abl_no_m4_pc1,0.35714285714285715
2,tau_m4+m2_contribution,0.07142857142857142
2,temporal_corr+phase_corr,0.9285714285714286
2,temporal_corr+pc1_ratio,0.5
2,temporal_corr+replay_displacement,0.9285714285714286
2,temporal_corr+abl_full_pc1,0.35714285714285715
2,temporal_corr+abl_no_m1_pc1,0.35714285714285715
2,temporal_corr+abl_no_m2_pc1,0.07142857142857142
2,temporal_corr+abl_no_m3_pc1,0.35714285714285715
2,temporal_corr+abl_no_m4_pc1,0.35714285714285715
2,temporal_corr+m2_contribution,0.14285714285714285
2,phase_corr+pc1_ratio,0.2857142857142857
2,phase_corr+replay_displacement,0.0
2,phase_corr+abl_full_pc1,0.42857142857142855
2,phase_corr+abl_no_m1_pc1,0.7142857142857143
2,phase_corr+abl_no_m2_pc1,0.42857142857142855
2,phase_corr+abl_no_m3_pc1,0.21428571428571427
2,phase_corr+abl_no_m4_pc1,0.42857142857142855
2,phase_corr+m2_contribution,0.0
2,pc1_ratio+replay_displacement,0.2857142857142857
2,pc1_ratio+abl_full_pc1,0.35714285714285715
