r,regime,full_pc1,no_m2_pc1,m2_only_pc1,m2_contribution
3.5,periodic,0.7156371534604558,0.9631486492648768,1.0,-0.247511495804421
3.52,periodic,0.7247166528913429,0.9569464395949814,1.0,-0.23222978670363847
3.54,periodic,0.721100935184636,0.9603816557464034,1.0,-0.2392807205617674
3.56,periodic,0.6387868054297852,0.929006800499335,1.0,-0.2902199950695499
3.58,chaotic,0.6385296945470307,0.9081892130513929,1.0,-0.2696595185043622
3.6,chaotic,0.9119272505445757,0.8522063270458811,1.0,0.05972092349869462
3.62,chaotic,0.9079404725281425,0.8784881670390393,1.0,0.02945230548910316
3.64,chaotic,0.9071276170789543,0.9051142980339357,1.0,0.002013319045018558
3.66,chaotic,0.8527317730435084,0.9263860160088608,1.0,-0.07365424296535239
3.68,chaotic,0.6270511435615477,0.9770712192164782,1.0,-0.35002007565493054
3.7,chaotic,0.5860230199261656,0.9816571804841645,1.0,-0.39563416055799894
3.72,chaotic,0.6424441594239321,0.9478827620703463,1.0,-0.3054386026464142
3.74,chaotic,0.7399626576164474,0.8613356631459871,1.0,-0.12137300552953967
3.76,chaotic,0.7672900179712833,0.7122040017984028,1.0,0.05508601617288045
3.78,chaotic,0.73957617117356,0.7443142629283361,1.0,-0.00473809175477613
3.8,chaotic,0.7615683395982266,0.5965394975842125,1.0,0.16502884201401402
3.82,chaotic,0.786345977857025,0.5872984116266194,1.0,0.19904756623040554
3.84,chaotic,0.6600665786773063,0.999598630766801,1.0,-0.33953205208949466
3.86,chaotic,0.6122941565574525,0.9297950591967606,1.0,-0.3175009026393082
3.88,chaotic,0.8298257243943946,0.5470430793481534,1.0,0.2827826450462412
3.9,chaotic,0.8828608072869052,0.7162975701851424,1.0,0.1665632371017628
3.92,chaotic,0.8959572517213289,0.8010548726055913,1.0,0.09490237911573762
3.94,chaotic,0.8275050265775729,0.898112150352672,1.0,-0.07060712377509915
3.96,chaotic,0.9224844143528969,0.6770756465074864,1.0,0.24540876784541044
3.98,chaotic,0.8842950999104547,0.7651831323271007,1.0,0.11911196758335407
4.0,chaotic,0.6210800816727085,0.9241848071795917,1.0,-0.3031047255068833
