system,m2_mean,m2_std,m2_cv,scale_test
logistic_r4.0_n=64,0.0,0.0,0.0,window_size=64
logistic_r4.0_n=128,0.0,0.0,0.0,window_size=128
logistic_r4.0_n=256,0.0,0.0,0.0,window_size=256
logistic_r4.0_n=512,0.0,0.0,0.0,window_size=512
logistic_r4.0_n=1024,0.0,0.0,0.0,window_size=1024
logistic_r4.0_coarse_2,0.0,0.0,0.0,coarse_grain=2
logistic_r4.0_coarse_4,0.0,0.0,0.0,coarse_grain=4
logistic_r4.0_coarse_8,0.0,0.0,0.0,coarse_grain=8
logistic_r4.0_subsample_2,0.0,0.0,0.0,subsample=2
logistic_r4.0_subsample_4,0.0,0.0,0.0,subsample=4
logistic_r4.0_subsample_8,0.0,0.0,0.0,subsample=8
logistic_r3.5_n=64,0.9999999999019128,0.0,0.0,window_size=64
logistic_r3.5_n=128,0.9999999999509146,1.1102230246251565e-16,1.1102230246796523e-16,window_size=128
logistic_r3.5_n=256,0.9999999999754475,0.0,0.0,window_size=256
logistic_r3.5_n=512,0.9999999999877227,2.220446049250313e-16,2.220446049277574e-16,window_size=512
logistic_r3.5_n=1024,0.9999999999938634,2.220446049250313e-16,2.220446049263939e-16,window_size=1024
logistic_r3.5_coarse_2,0.0,0.0,0.0,coarse_grain=2
logistic_r3.5_coarse_4,0.0,0.0,0.0,coarse_grain=4
logistic_r3.5_coarse_8,0.0,0.0,0.0,coarse_grain=8
logistic_r3.5_subsample_2,0.0,0.0,0.0,subsample=2
logistic_r3.5_subsample_4,0.0,0.0,0.0,subsample=4
logistic_r3.5_subsample_8,0.0,0.0,0.0,subsample=8
iid_gaussian_n=64,-0.019858460410344513,0.1676847642852742,8.443996202138871,window_size=64
iid_gaussian_n=128,0.016136758422536458,0.13086576666268007,8.109792762337824,window_size=128
iid_gaussian_n=256,-0.03336702412463205,0.09515451334877335,2.851753065941797,window_size=256
iid_gaussian_n=512,0.027464250173012895,0.06972602956898373,2.5387923984721925,window_size=512
iid_gaussian_n=1024,0.014159388831592762,0.040785932389934325,2.8804867833653804,window_size=1024
iid_gaussian_coarse_2,0.1980855554141606,0.0,0.0,coarse_grain=2
iid_gaussian_coarse_4,-0.03137602692922657,0.0,0.0,coarse_grain=4
iid_gaussian_coarse_8,0.2018869264265215,0.0,0.0,coarse_grain=8
iid_gaussian_subsample_2,-0.021615032874283662,0.0,0.0,subsample=2
iid_gaussian_subsample_4,0.17418356523266945,0.0,0.0,subsample=4
iid_gaussian_subsample_8,-0.03848817335562767,0.0,0.0,subsample=8
